igbo,english,domain,source
Ahụ Ike,Health,health,manual
Ọbara,Blood,health,manual
Obi,Heart,health,manual
Ụbụrụ,Brain,health,manual
Akụrụ,Kidney,health,manual
Imeju,Liver,health,manual
Akpa Ume,Lungs,health,manual
Ọkpụkpụ,Bone,health,manual
Akwara,Muscle,health,manual
Anya,Eye,health,manual
Ntị,Ear,health,manual
Imi,Nose,health,manual
Ọnụ, Mouth,health,manual
Ezé,Tooth,health,manual
Akpụkpọ Ahụ,Skin,health,manual
Nyocha,Diagnosis,health,manual
Ọgwụgwọ,Treatment,health,manual
Nlekọta,Care,health,manual
Nnyocha Ahụ Ike,Medical Checkup,health,manual
Nyocha Laboratory,Laboratory Test,health,manual
Nsonaazụ Test,Test Result,health,manual
Mgbali Ọbara,Blood Pressure,health,manual
Ọkwa Shuga,Blood Sugar Level,health,manual
Nchekwa Ahụ Ike,Health Safety,health,manual
Mmetụta Ọgwụ,Side Effect,health,manual
Nlekọta Mberede,Emergency Care,health,manual
Ahụ́ Ọma,Wellness,health,manual
Mgbochi Ọrịa,Disease Prevention,health,manual
Nlekọta Ahụike Obodo,Community Healthcare,health,manual
Nkwado Ahụ Ike,Health Promotion,health,manual
