id,igbo,english,domain
HEA001,Ahụike dị ezigbo mkpa.,Health is very important.,health
HEA002,Ọ dị mkpa ilekọta ahụike anyị.,It is important to take care of our health.,health
HEA003,Ọrịa nwere ike imetụta mmadụ.,Disease can affect a person.,health
HEA004,Onye ọrịa gara ụlọ ọgwụ.,The patient went to the hospital.,health
HEA005,Ụlọ ọgwụ ahụ dị nso.,The hospital is nearby.,health
HEA006,Dọkịta na-enyocha onye ọrịa.,The doctor examines the patient.,health
HEA007,Nọọsụ na-enyere onye ọrịa aka.,The nurse helps the patient.,health
HEA008,Onye ọrịa nwere ahụ ọkụ.,The patient has a fever.,health
HEA009,Ahụ ọkụ nwere ike ịbụ ihe ịrịba ama nke ọrịa.,Fever can be a sign of illness.,health
HEA010,Ọ na-arịa isi.,He has a headache.,health
HEA011,Isi na-arịa ya nke ukwuu.,He has a severe headache.,health
HEA012,Ọ na-enwe ihe mgbu n'afọ.,He has stomach pain.,health
HEA013,Onye ọrịa nwere ụkwara.,The patient has a cough.,health
HEA014,Ọ na-asụ ụkwara kemgbe ụnyaahụ.,He has been coughing since yesterday.,health
HEA015,Ọ na-enwe ihe mgbu n'ahụ.,He has pain in his body.,health
HEA016,Ọ chọrọ izu ike.,He needs to rest.,health
HEA017,Izu ike na-enyere onye ọrịa aka.,Rest helps the patient.,health
HEA018,Ịṅụ mmiri dị mkpa.,Drinking water is important.,health
HEA019,Mmiri na-enyere ahụ aka.,Water helps the body.,health
HEA020,Ọ na-aṅụ mmiri kwa ụbọchị.,He drinks water every day.,health
HEA021,Nri dị mma na-enyere ahụike aka.,Healthy food helps health.,health
HEA022,Anyị kwesịrị iri nri na-edozi ahụ.,We should eat nutritious food.,health
HEA023,Mkpụrụ osisi dị mma maka ahụike.,Fruits are good for health.,health
HEA024,Akwụkwọ nri nwere ọtụtụ vitamin.,Vegetables contain many vitamins.,health
HEA025,Ọ dị mkpa iri nri dị iche iche.,It is important to eat different foods.,health
HEA026,Ịdị ọcha na-enyere aka igbochi ọrịa.,Cleanliness helps prevent disease.,health
HEA027,Anyị kwesịrị ịsa aka mgbe niile.,We should wash our hands regularly.,health
HEA028,Ọ na-asa aka ya tupu o rie nri.,He washes his hands before eating.,health
HEA029,Ịsa aka na-egbochi mgbasa ọrịa.,Handwashing prevents the spread of disease.,health
HEA030,Ọ dị mkpa idobe gburugburu ebe obibi ọcha.,It is important to keep the environment clean.,health
HEA031,Omume ahụike dị mkpa.,Healthy habits are important.,health
HEA032,Mmega ahụ na-eme ka ahụ sie ike.,Exercise makes the body strong.,health
HEA033,Ọ na-eme mmega ahụ kwa ụtụtụ.,He exercises every morning.,health
HEA034,Ije ije bụ ezigbo mmega ahụ.,Walking is good exercise.,health
HEA035,Ụra zuru oke dị mkpa.,Adequate sleep is important.,health
HEA036,Ọ na-ehi ụra awa asatọ kwa abalị.,He sleeps for eight hours every night.,health
HEA037,Enweghị ụra nwere ike imetụta ahụike.,Lack of sleep can affect health.,health
HEA038,Ọ dị mkpa izere nrụgide dị ukwuu.,It is important to avoid too much stress.,health
HEA039,Nrụgide nwere ike imetụta ahụ na uche.,Stress can affect the body and mind.,health
HEA040,Ọ na-ezu ike mgbe ọ gwụrụ ike.,He rests when he is tired.,health
HEA041,Dọkịta nyere onye ọrịa ọgwụ.,The doctor gave the patient medicine.,health
HEA042,Onye ọrịa kwesịrị ịṅụ ọgwụ ya.,The patient should take his medicine.,health
HEA043,Ọ na-aṅụ ọgwụ ugboro abụọ n'ụbọchị.,He takes the medicine twice a day.,health
HEA044,Ọ dị mkpa ịgbaso ntụziaka dọkịta.,It is important to follow the doctor's instructions.,health
HEA045,Onye ọrịa kwesịrị ịṅụ ọgwụ n'oge.,The patient should take the medicine on time.,health
HEA046,Ọ naghị aṅụ ọgwụ ya mgbe niile.,He does not always take his medicine.,health
HEA047,Dọkịta nyere ya ọgwụ maka ụkwara.,The doctor gave him medicine for the cough.,health
HEA048,Ọgwụ ahụ nyere aka belata ihe mgbu.,The medicine helped reduce the pain.,health
HEA049,Ọ dịghị mma ịṅụ ọgwụ n'enweghị ndụmọdụ.,It is not good to take medicine without advice.,health
HEA050,Onye ọrịa kwesịrị ịgwa dọkịta ihe niile.,The patient should tell the doctor everything.,health
HEA051,Dọkịta jụrụ onye ọrịa ajụjụ.,The doctor asked the patient questions.,health
HEA052,Onye ọrịa kọwara ihe mgbaàmà ya.,The patient described his symptoms.,health
HEA053,Ọrịa ahụ malitere n'ụtụtụ.,The illness started in the morning.,health
HEA054,Ọ na-enwe ahụ ọkụ kemgbe ụbọchị abụọ.,He has had a fever for two days.,health
HEA055,Dọkịta mere nyocha.,The doctor conducted an examination.,health
HEA056,Nsonaazụ nyocha ahụ dị mma.,The test result is good.,health
HEA057,Onye ọrịa chọrọ nyocha ọzọ.,The patient needs another test.,health
HEA058,Ụlọ ọgwụ nwere akụrụngwa.,The hospital has equipment.,health
HEA059,Ndị ọrụ ahụike na-arụsi ọrụ ike.,Health workers work hard.,health
HEA060,Ndị ọrụ ahụike na-elekọta ndị ọrịa.,Health workers care for patients.,health
HEA061,Ụmụaka chọrọ nlekọta pụrụ iche.,Children need special care.,health
HEA062,Nne na-elekọta nwa ya.,The mother takes care of her child.,health
HEA063,Nwa ahụ nwere ahụ ọkụ.,The child has a fever.,health
HEA064,Nne kpọgara nwa ahụ ụlọ ọgwụ.,The mother took the child to the hospital.,health
HEA065,Ụmụaka kwesịrị iri nri dị mma.,Children should eat healthy food.,health
HEA066,Ịgba ọgwụ mgbochi ọrịa na-echebe ụmụaka.,Vaccination protects children from disease.,health
HEA067,Nwa ahụ nwetara ọgwụ mgbochi ọrịa.,The child received a vaccination.,health
HEA068,Ọ dị mkpa ịgba ọgwụ mgbochi ọrịa.,It is important to get vaccinated.,health
HEA069,Ọrịa ụfọdụ nwere ike igbochi.,Some diseases can be prevented.,health
HEA070,Ọtụtụ ọrịa na-agbasa site na nje.,Many diseases spread through germs.,health
HEA071,Ịdị ọcha na-enyere aka igbochi nje.,Cleanliness helps prevent germs.,health
HEA072,Anyị kwesịrị izere ịkekọrịta ihe ụfọdụ.,We should avoid sharing certain items.,health
HEA073,Ọ dị mkpa ịkpachara anya n'oge ọrịa.,It is important to be careful during an outbreak.,health
HEA074,Ndị mmadụ kwesịrị ịgbaso ndụmọdụ ahụike.,People should follow health advice.,health
HEA075,Ọrịa shuga chọrọ nlekọta mgbe niile.,Diabetes requires regular care.,health
HEA076,Ọbara mgbali elu nwere ike ịdị ize ndụ.,High blood pressure can be dangerous.,health
HEA077,Onye ọrịa kwesịrị ịlele ahụike ya.,The patient should check his health.,health
HEA078,Nyocha ahụike mgbe niile dị mkpa.,Regular health checkups are important.,health
HEA079,Ọ gara nyocha ahụike.,He went for a medical checkup.,health
HEA080,Dọkịta nyochara ọbara ya.,The doctor tested his blood.,health
HEA081,Ahụ mmadụ chọrọ ezigbo nri.,The human body needs good food.,health
HEA082,Vitamin na-enyere ahụ aka.,Vitamins help the body.,health
HEA083,Ígwè dị mkpa maka ahụ.,Iron is important for the body.,health
HEA084,Ọ dị mkpa ịṅụ mmiri zuru oke.,It is important to drink enough water.,health
HEA085,Ịṅụ mmanya na-aba n'anya nwere ike imerụ ahụike.,Drinking alcohol can harm health.,health
HEA086,Ise siga na-emebi ahụike.,Smoking damages health.,health
HEA087,Ọ dị mkpa izere ihe ndị na-emebi ahụ.,It is important to avoid things that harm the body.,health
HEA088,Ahụike uche dịkwa mkpa.,Mental health is also important.,health
HEA089,Ịgwa mmadụ okwu nwere ike inye aka.,Talking to someone can help.,health
