id,igbo,english,domain,source
MON001,Onye ọrụ ugbo na-arụsi ọrụ ike n'ubi.,the farmer works hard.,agriculture,baseline_model_round_1
MON002,Ọka dị n'ubi ahụ toro nke ọma.,the maize is ready for a good.,agriculture,baseline_model_round_1
MON003,E nwere ọtụtụ osisi n'ugbo anyị.,many we will a person love.,agriculture,baseline_model_round_1
MON004,Mmiri ozuzo nyere ihe ọkụkụ aka ito.,the crops.,agriculture,baseline_model_round_1
MON005,Onye ọrụ ugbo kụrụ akwụkwọ nri n'ubi.,the farmer raises cattle.,agriculture,baseline_model_round_1
MON006,A na-akụ ji mgbe oge ruru.,this soil is not help.,agriculture,baseline_model_round_1
MON007,Ụmụ nwoke na-enyere nna ha aka n'ubi.,they helped the students.,agriculture,baseline_model_round_1
MON008,Ehi na-ata ahịhịa n'ala ubi.,weeds damage farm.,agriculture,baseline_model_round_1
MON009,Ọrụ ugbo chọrọ ndidi na ike.,farming requires patience.,agriculture,baseline_model_round_1
MON010,A na-egbute ihe ubi mgbe ha tozuru.,they gave good for the body.,agriculture,baseline_model_round_1
MON011,Ọtụtụ ndị mmadụ na-adabere n'ọrụ ugbo.,many people depend on farming.,agriculture,baseline_model_round_1
MON012,Onye ọrụ ugbo zụtara mkpụrụ ọhụrụ.,the farmer bought a new seeds.,agriculture,baseline_model_round_1
MON013,A na-echekwa ọka n'ebe kpọrọ nkụ.,this place of a place of worship is a place of worship in a place of worship.,agriculture,baseline_model_round_1
MON014,Ọkụ nwere ike imebi ihe ọkụkụ.,can damage crops.,agriculture,baseline_model_round_1
MON015,Nne m na-akụ akwụkwọ nri n'azụ ụlọ.,my mother is at home.,agriculture,baseline_model_round_1
MON016,Ewu na ọkụkọ bụ anụ ụlọ ndị a na-ahụkarị.,this is a person ' s names.,agriculture,baseline_model_round_1
MON017,Ọrụ ugbo bụ isi iyi nri maka ọtụtụ ezinụlọ.,farming is a good for many people together.,agriculture,baseline_model_round_1
MON018,A na-eji mmiri agba ihe ọkụkụ mmiri n'oge ọkọchị.,this soil during the dry season.,agriculture,baseline_model_round_1
MON019,Onye ọrụ ugbo gara ahịa ree ihe ubi ya.,the farmer went to the farm.,agriculture,baseline_model_round_1
MON020,Ala ọma na-enyere ihe ọkụkụ aka ito ngwa ngwa.,good governance helps a person.,agriculture,baseline_model_round_1
MON021,Onye ahịa ahụ meghere ụlọ ahịa ya n'ụtụtụ.,the customer takes the customer is satisfied.,business,baseline_model_round_1
MON022,Ọtụtụ ndị mmadụ na-azụ ahịa n'ahịa a.,many people saw the market.,business,baseline_model_round_1
MON023,Ọnụahịa ngwaahịa ahụ gbagoro n'izu a.,a person achieve their studies.,business,baseline_model_round_1
MON024,Onye ahịa chọrọ ịmata ọnụ ahịa ihe ahụ.,the customer want to the customer is satisfied.,business,baseline_model_round_1
MON025,Ụlọ ọrụ ahụ nwere ọtụtụ ndị ọrụ.,the company has many young people.,business,baseline_model_round_1
MON026,Ha na-eme atụmatụ ịmalite azụmahịa ọhụrụ.,they discussed the business.,business,baseline_model_round_1
MON027,Onye ahịa ahụ rere ngwaahịa ya niile.,the customer paid for the product.,business,baseline_model_round_1
MON028,Azụmahịa ọma chọrọ atụmatụ siri ike.,business requires good planning.,business,baseline_model_round_1
MON029,Ọ na-ere uwe n'ahịa obodo.,he returned the market.,business,baseline_model_round_1
MON030,Onye ahịa ahụ nwetara uru n'azụmahịa ya.,the customer has a question.,business,baseline_model_round_1
MON031,Ụlọ ahịa ahụ na-emeghe kwa ụbọchị.,the market day.,business,baseline_model_round_1
MON032,Ọtụtụ ndị mmadụ na-eji ekwentị eme azụmahịa.,many people use this business.,business,baseline_model_round_1
MON033,Onye ahịa ahụ nyere onye ahịa akwụkwọ nnata.,the customer gave the customer.,business,baseline_model_round_1
MON034,Ọ dị mkpa ịkwado ndị ahịa nke ọma.,it is important to avoid too good for planting.,business,baseline_model_round_1
MON035,Ụlọ ọrụ ahụ chọrọ ịgbasa azụmahịa ya.,the company want to the company are fresh.,business,baseline_model_round_1
MON036,Ọtụtụ ụlọ ọrụ na-eji teknụzụ arụ ọrụ.,many young people use technology responsibly.,business,baseline_model_round_1
MON037,Onye ahịa ahụ debere ego n'ụlọ akụ.,the customer paid the shop.,business,baseline_model_round_1
MON038,Ahịa ngwaahịa ahụ dị elu taa.,the customer is high.,business,baseline_model_round_1
MON039,Ha nwere nzukọ gbasara azụmahịa ha.,they has a business.,business,baseline_model_round_1
MON040,Onye nwe ụlọ ahịa ahụ na-elekọta ndị ọrụ ya.,the company hired a person for the company.,business,baseline_model_round_1
MON041,Omenala Igbo nwere ọtụtụ ihe pụrụ iche.,many traditions is a person.,culture,baseline_model_round_1
MON042,Ndị obodo na-eme emume kwa afọ.,the community prepared for celebrations.,culture,baseline_model_round_1
MON043,Ezinụlọ ahụ kwadebere maka emume ọdịnala.,the family is traditional for the family.,culture,baseline_model_round_1
MON044,Ndị okenye na-akụziri ụmụaka omenala.,children should know their culture.,culture,baseline_model_round_1
MON045,A na-asọpụrụ ndị okenye n'obodo.,the community prepared the community.,culture,baseline_model_round_1
MON046,Egwu ọdịnala na-atọ ọtụtụ mmadụ ụtọ.,many people use music is traditional music.,culture,baseline_model_round_1
MON047,Ndị mmadụ gbakọtara maka emume ahụ.,people speak for the celebration.,culture,baseline_model_round_1
MON048,Akụkọ ndị nna nna bara uru nke ukwuu.,the stories of ancestors.,culture,baseline_model_round_1
MON049,Ụmụaka na-amụta egwu ọdịnala n'ụlọ akwụkwọ.,the children are playing of the children from school.,culture,baseline_model_round_1
MON050,Omenala na-ejikọta ndị mmadụ ọnụ.,people together brings culture.,culture,baseline_model_round_1
MON051,Ndị obodo na-akwado emume ha nke ọma.,they have a community development.,culture,baseline_model_round_1
MON052,A na-eji egwu eme emume dị iche iche.,music is uses igbo people.,culture,baseline_model_round_1
MON053,Ndị okenye kọọrọ ụmụaka akụkọ n'abalị.,the children learned about a story.,culture,baseline_model_round_1
MON054,Asụsụ bụ akụkụ dị mkpa nke omenala.,learning is an important part of culture.,culture,baseline_model_round_1
MON055,Ọtụtụ ezinụlọ na-echekwa omenala ha.,they many families.,culture,baseline_model_round_1
MON056,Emume ahụ malitere n'ehihie.,the celebration took place in the celebration.,culture,baseline_model_round_1
MON057,Ndị mmadụ yi uwe ọdịnala n'emume ahụ.,people wore traditional clothes.,culture,baseline_model_round_1
MON058,A na-akụziri ụmụaka nkwanye ùgwù.,children good governance makes a person.,culture,baseline_model_round_1
MON059,Omenala na-agbanwe nwayọọ nwayọọ.,culture are an important.,culture,baseline_model_round_1
MON060,Obodo ahụ nwere ọtụtụ akụkọ ihe mere eme.,the town has many places of many places of worship.,culture,baseline_model_round_1
MON061,Kedu ka ị mere taa?,where are you?,daily_conversation,baseline_model_round_1
MON062,A mere m nke ọma.,i am well.,daily_conversation,baseline_model_round_1
MON063,Ebee ka ị na-aga?,where are you doing?,daily_conversation,baseline_model_round_1
MON064,Ana m aga n'ụlọ.,i am going home.,daily_conversation,baseline_model_round_1
MON065,Biko nyere m aka.,please help me.,daily_conversation,baseline_model_round_1
MON066,Achọrọ m ịjụ gị ajụjụ.,i want to learn.,daily_conversation,baseline_model_round_1
MON067,Gịnị ka ị na-eme ugbu a?,what are you doing?,daily_conversation,baseline_model_round_1
MON068,Ana m agụ akwụkwọ.,i am going to school.,daily_conversation,baseline_model_round_1
MON069,Ị nwere oge taa?,do you have time?,daily_conversation,baseline_model_round_1
MON070,"Ee, enwere m oge.","yes, i have time.",daily_conversation,baseline_model_round_1
MON071,Biko chere obere oge.,please for a moment.,daily_conversation,baseline_model_round_1
MON072,A ga m alaghachi echi.,i am not feeling well.,daily_conversation,baseline_model_round_1
MON073,Echegbula onwe gị.,thank you.,daily_conversation,baseline_model_round_1
MON074,Aghọtara m ihe ị kwuru.,you are you doing?,daily_conversation,baseline_model_round_1
MON075,Amaghị m azịza ya.,i am sleepy.,daily_conversation,baseline_model_round_1
MON076,Ka anyị gaa ọnụ.,let us talk.,daily_conversation,baseline_model_round_1
MON077,"Ọ dị mma, enweghị nsogbu.",it is not good.,daily_conversation,baseline_model_round_1
MON078,Kpọọ m mgbe ị rutere.,"no, i do not know.",daily_conversation,baseline_model_round_1
MON079,A hụrụ m gị n'anya.,i am at home.,daily_conversation,baseline_model_round_1
MON080,Ka chi fo.,good morning.,daily_conversation,baseline_model_round_1
MON081,Ụmụ akwụkwọ na-amụ ihe n'ụlọ akwụkwọ.,the students study at home.,education,baseline_model_round_1
MON082,Onye nkuzi na-akọwa ihe ọhụrụ.,the teacher explained the teacher.,education,baseline_model_round_1
MON083,Akwụkwọ a nwere ọtụtụ ihe ọmụma.,many young people has a book.,education,baseline_model_round_1
MON084,Ọmụmụ ihe chọrọ mgbalị.,learning is want.,education,baseline_model_round_1
MON085,Ụmụ akwụkwọ na-akwadebe maka ule.,the students are an important for an examination.,education,baseline_model_round_1
MON086,Onye nkuzi nyere ụmụ akwụkwọ ọrụ ụlọ.,the teacher gave teacher gave them homework.,education,baseline_model_round_1
MON087,Ụlọ akwụkwọ ahụ nwere nnukwu ọbá akwụkwọ.,the student has a big dream.,education,baseline_model_round_1
MON088,Ọ na-agụ akwụkwọ kwa mgbede.,he has a book.,education,baseline_model_round_1
MON089,Ụmụ akwụkwọ na-ajụ ajụjụ n'oge klaasị.,the students study in the classroom.,education,baseline_model_round_1
MON090,Agụmakwụkwọ dị mkpa maka ọdịnihu.,education is important for crops.,education,baseline_model_round_1
MON091,Onye nkuzi dere ihe n'elu bọọdụ.,the teacher gave marks.,education,baseline_model_round_1
MON092,Ụmụ akwụkwọ bịara klaasị n'oge.,the students study in the classroom.,education,baseline_model_round_1
MON093,Akwụkwọ kọmputa dị n'elu tebụl.,the book is on the book.,education,baseline_model_round_1
MON094,Ọ na-amụ sayensị na mgbakọ na mwepụ.,he studies learning about culture.,education,baseline_model_round_1
MON095,Ule ahụ ga-amalite n'izu na-abịa.,the examination will took place in the town.,education,baseline_model_round_1
MON096,Ụmụ akwụkwọ na-arụ ọrụ ọnụ.,the students work together.,education,baseline_model_round_1
MON097,Ọgụgụ na-enyere mmadụ aka ịmụ ihe.,learning helps a person.,education,baseline_model_round_1
MON098,Onye nkuzi jụrụ ajụjụ dị mkpa.,the teacher is important part of the teacher.,education,baseline_model_round_1
MON099,Ụmụ akwụkwọ ahụ gafere ule ha.,the students wrote their examination.,education,baseline_model_round_1
MON100,Ọ chọrọ ịga mahadum n'ọdịnihu.,he wants to go to university.,education,baseline_model_round_1
MON101,Ụtụtụ a dị jụụ nke ukwuu.,the morning is good.,general,baseline_model_round_1
MON102,Anyanwụ na-enwu taa.,the phone is satisfied.,general,baseline_model_round_1
MON103,E nwere ọtụtụ mmadụ n'okporo ụzọ.,many people love has a person.,general,baseline_model_round_1
MON104,Nwa ahụ na-egwu egwu n'èzí.,the family works on time.,general,baseline_model_round_1
MON105,Nne m na-esi nri n'ọnụ ụlọ.,my mother is at home.,general,baseline_model_round_1
MON106,Anyị gara njem n'ụtụtụ.,we went to a good morning.,general,baseline_model_round_1
MON107,Ụlọ ahụ dị nso n'ahịa.,the market is at home.,general,baseline_model_round_1
MON108,Ọtụtụ mmadụ nọ n'ụlọ.,many people speak at home.,general,baseline_model_round_1
MON109,Akwụkwọ ahụ dị n'elu tebụl.,the book is on the book.,general,baseline_model_round_1
MON110,Ọ na-ehi ụra ugbu a.,he wants to a person.,general,baseline_model_round_1
