english,igbo
the farmer went to the farm.,Onye ọrụ ugbo gara n'ubi.
they planted maize.,Ha kụrụ ọka.
it rained well.,Mmiri ozuzo dara nke ọma.
yam is planted during the planting season.,A na-akụ ji n'oge opupu ihe ubi.
the farmer is planting seeds.,Onye ọrụ ugbo na-akụ mkpụrụ.
the farmers work on the farm.,Ndị ọrụ ugbo na-arụ ọrụ n'ubi.
the maize grew well.,Ọka toro nke ọma.
that yam is big.,Ji ahụ buru ibu.
we planted rice on the farm.,Anyị kụrụ osikapa n'ubi.
farming is an important occupation.,Ọrụ ugbo bụ ọrụ dị mkpa.
the farmer uses a hoe to work.,Onye ọrụ ugbo na-eji hoe arụ ọrụ.
he is watering the farm.,Ọ na-agba mmiri n'ubi.
they are planting vegetables.,Ha na-akụ akwụkwọ nri.
the vegetables are fresh.,Akwụkwọ nri ahụ dị ọhụrụ.
the farmer bought maize seeds.,Onye ọrụ ugbo zụtara mkpụrụ ọka.
we will plant crops tomorrow.,Anyị ga-akụ ihe ọkụkụ echi.
domestic animals need food.,Anụ ụlọ chọrọ nri.
livestock farming brings income.,Ọzụzụ anụ ụlọ na-eweta ego.
the farmer raises cattle.,Onye ọrụ ugbo na-azụ ehi.
they have many chickens.,Ha nwere ọtụtụ ọkụkọ.
the chicken laid an egg.,Ọkụkọ ahụ tọrọ akwa.
the cow gives milk.,Ehi ahụ na-enye mmiri ara.
the farmer raises goats.,Onye ọrụ ugbo na-azụ ewu.
the goat ate grass.,Ewu ahụ riri ahịhịa.
they take good care of the livestock.,Ha na-elekọta anụ ụlọ nke ọma.
farming requires patience.,Ọrụ ugbo chọrọ ndidi.
the farmer works hard.,Onye ọrụ ugbo na-arụsi ọrụ ike.
we went to harvest the crops.,Anyị gara ịtụ ihe ubi.
they harvest the crops on time.,Ha na-ewe ihe ubi n'oge.
the harvest began.,Owuwe ihe ubi malitere.
the maize is ready for harvest.,Ọka dị njikere maka owuwe ihe ubi.
they gathered the harvest.,Ha kpọkọtara ihe ubi.
the farmer sold his harvest.,Onye ọrụ ugbo rere ihe ubi ya.
the market for farm produce is good today.,Ahịa ihe ubi dị mma taa.
the price of maize increased.,Ọnụ ahịa ọka mụbara.
the price of yam decreased.,Ọnụ ahịa ji dara.
they sold vegetables at the market.,Ha rere akwụkwọ nri n'ahịa.
the customer bought a bag of rice.,Onye ahịa zụtara akpa osikapa.
that bag of maize is heavy.,Akpa ọka ahụ dị arọ.
we want to buy more food.,Anyị chọrọ ịzụtakwu nri.
water is important for crops.,Mmiri dị mkpa maka ihe ọkụkụ.
plants need sunlight.,Osisi chọrọ ìhè anyanwụ.
grass grows quickly.,Ahịhịa na-eto ngwa ngwa.
they removed weeds from the farm.,Ha wepụrụ ahịhịa n'ubi.
weeds damage crops.,Ahịhịa na-emebi ihe ọkụkụ.
the farmer clears the farm.,Onye ọrụ ugbo na-asacha ubi.
they used fertilizer to improve the soil.,Ha ji fatịlaịza mee ka ala dị mma.
this soil is good for planting.,Ala a dị mma maka ịkụ ihe.
dry soil does not help crops.,Ala kpọrọ nkụ anaghị enyere ihe ọkụkụ aka.
rain helps farmers.,Mmiri ozuzo na-enyere ndị ọrụ ugbo aka.
heavy rain can damage crops.,Oké mmiri ozuzo nwere ike imebi ihe ubi.
sunlight helps crops grow.,Anwụ na-enyere ihe ọkụkụ aka ito.
disasters damage farms.,Ọdachi na-emebi ubi.
diseases can harm crops.,Ọrịa nwere ike imerụ ihe ọkụkụ.
the farmer detects disease in the plants.,Onye ọrụ ugbo na-achọpụta ọrịa n'osisi.
they used chemicals to protect the crops.,Ha ji ọgwụ chebe ihe ọkụkụ.
it is important to save seeds.,Ọ dị mkpa ịchekwa mkpụrụ.
the farmer stored the seeds in a safe place.,Onye ọrụ ugbo debere mkpụrụ n'ebe nchekwa.
they store the harvest in a warehouse.,Ha na-echekwa ihe ubi n'ụlọ nkwakọba ihe.
the warehouse is full of maize.,Ụlọ nkwakọba ihe ahụ jupụtara n'ọka.
agriculture provides jobs for many people.,Ọrụ ugbo na-enye ọtụtụ mmadụ ọrụ.
farmers provide food for the community.,Ndị ọrụ ugbo na-enye obodo nri.
many families depend on farming.,Ọtụtụ ezinụlọ na-adabere n'ọrụ ugbo.
farming is a source of income.,Ọrụ ugbo bụ isi iyi nke ego.
we should support farmers.,Anyị kwesịrị ịkwado ndị ọrụ ugbo.
the government gave farmers seeds.,Gọọmenti nyere ndị ọrụ ugbo mkpụrụ.
they received new farming equipment.,Ha nwetara ngwá ọrụ ugbo ọhụrụ.
a tractor helps farmers.,Traktọ na-enyere ndị ọrụ ugbo aka.
the farmer bought a tractor.,Onye ọrụ ugbo zụtara traktọ.
the tractor ploughs the land.,Traktọ ahụ na-akọ ala.
they used a machine to harvest the crops.,Ha ji igwe ewe ihe ubi.
equipment should be in good condition.,Ngwá ọrụ kwesịrị ịdị mma.
the farmer repaired his machine.,Onye ọrụ ugbo rụziri igwe ya.
training helps farmers.,Ọzụzụ na-enyere ndị ọrụ ugbo aka.
the farmer attended training.,Onye ọrụ ugbo gara ọzụzụ.
they learned new methods of planting.,Ha mụtara ụzọ ọhụrụ e si akụ ihe.
modern methods make farming easier.,Ụzọ ọgbara ọhụrụ na-eme ka ọrụ ugbo dị mfe.
proper planting increases the harvest.,Ịkụ ihe n'ụzọ ziri ezi na-abawanye ihe ubi.
they plant seeds in rows.,Ha na-akụ mkpụrụ n'ahịrị.
the farmer measured holes for the seeds.,Onye ọrụ ugbo tụrụ oghere maka mkpụrụ.
farming requires good planning.,Ọrụ ugbo chọrọ ezigbo atụmatụ.
we organized the farm work well.,Anyị haziri ọrụ ubi nke ọma.
they started working early in the morning.,Ha malitere ịrụ ọrụ n'isi ụtụtụ.
the farmer returned home after sunset.,Onye ọrụ ugbo laghachiri n'ụlọ mgbe anyanwụ dara.
the children helped their parents on the farm.,Ụmụaka nyere nne na nna ha aka n'ubi.
the family works together.,Ezinụlọ ahụ na-arụ ọrụ ọnụ.
the neighbors helped the farmer.,Ndị agbata obi nyere onye ọrụ ugbo aka.
they finished the farm work before the rain started.,Ha rụchara ọrụ ubi tupu mmiri amalite.
the farmer has experience.,Onye ọrụ ugbo nwere ahụmahụ.
experience helps the farmer.,Ahụmahụ na-enyere onye ọrụ ugbo aka.
farming has challenges.,Ọrụ ugbo nwere ihe ịma aka.
farmers face climate change.,Ndị ọrụ ugbo na-eche ihu mgbanwe ihu igwe.
water shortage affects agriculture.,Ụkọ mmiri na-emetụta ọrụ ugbo.
it is important to use water wisely.,Ọ dị mkpa iji mmiri mee ihe nke ọma.
they irrigate during the dry season.,Ha na-agba mmiri n'oge ọkọchị.
irrigation helps crops.,Ịgba mmiri na-enyere ihe ọkụkụ aka.
the farmer takes care of his farm every day.,Onye ọrụ ugbo na-elekọta ubi ya kwa ụbọchị.
we expect a good harvest.,Anyị na-atụ anya ezigbo owuwe ihe ubi.
agriculture helps the community develop.,Ọrụ ugbo na-enyere obodo aka ito eto.
farmers are an important part of the community.,Ndị ọrụ ugbo bụ akụkụ dị mkpa nke obodo.
he works in an office.,Ọ na-arụ ọrụ n'ụlọ ọrụ.
the company sells products.,Ụlọ ọrụ ahụ na-ere ngwaahịa.
the entrepreneur started a new business.,Onye ọchụnta ego malitere azụmahịa ọhụrụ.
the business is doing well.,Azụmahịa ahụ na-aga nke ọma.
many people buy this product.,Ọtụtụ mmadụ na-azụ ngwaahịa a.
the customer bought the product.,Onye ahịa zụtara ngwaahịa ahụ.
