english,igbo
Health is very important.,Ahụike dị ezigbo mkpa.
It is important to take care of our health.,Ọ dị mkpa ilekọta ahụike anyị.
Disease can affect a person.,Ọrịa nwere ike imetụta mmadụ.
The patient went to the hospital.,Onye ọrịa gara ụlọ ọgwụ.
The hospital is nearby.,Ụlọ ọgwụ ahụ dị nso.
The doctor examines the patient.,Dọkịta na-enyocha onye ọrịa.
The nurse helps the patient.,Nọọsụ na-enyere onye ọrịa aka.
The patient has a fever.,Onye ọrịa nwere ahụ ọkụ.
Fever can be a sign of illness.,Ahụ ọkụ nwere ike ịbụ ihe ịrịba ama nke ọrịa.
He has a headache.,Ọ na-arịa isi.
He has a severe headache.,Isi na-arịa ya nke ukwuu.
He has stomach pain.,Ọ na-enwe ihe mgbu n'afọ.
The patient has a cough.,Onye ọrịa nwere ụkwara.
He has been coughing since yesterday.,Ọ na-asụ ụkwara kemgbe ụnyaahụ.
He has pain in his body.,Ọ na-enwe ihe mgbu n'ahụ.
He needs to rest.,Ọ chọrọ izu ike.
Rest helps the patient.,Izu ike na-enyere onye ọrịa aka.
Drinking water is important.,Ịṅụ mmiri dị mkpa.
Water helps the body.,Mmiri na-enyere ahụ aka.
He drinks water every day.,Ọ na-aṅụ mmiri kwa ụbọchị.
Healthy food helps health.,Nri dị mma na-enyere ahụike aka.
We should eat nutritious food.,Anyị kwesịrị iri nri na-edozi ahụ.
Fruits are good for health.,Mkpụrụ osisi dị mma maka ahụike.
Vegetables contain many vitamins.,Akwụkwọ nri nwere ọtụtụ vitamin.
It is important to eat different foods.,Ọ dị mkpa iri nri dị iche iche.
Cleanliness helps prevent disease.,Ịdị ọcha na-enyere aka igbochi ọrịa.
We should wash our hands regularly.,Anyị kwesịrị ịsa aka mgbe niile.
He washes his hands before eating.,Ọ na-asa aka ya tupu o rie nri.
Handwashing prevents the spread of disease.,Ịsa aka na-egbochi mgbasa ọrịa.
It is important to keep the environment clean.,Ọ dị mkpa idobe gburugburu ebe obibi ọcha.
Healthy habits are important.,Omume ahụike dị mkpa.
Exercise makes the body strong.,Mmega ahụ na-eme ka ahụ sie ike.
