english,igbo
Religion is part of the lives of many people.,Okpukpe bụ akụkụ nke ndụ ọtụtụ mmadụ.
People have different beliefs.,Ndị mmadụ nwere nkwenkwe dị iche iche.
Many people pray every day.,Ọtụtụ mmadụ na-ekpe ekpere kwa ụbọchị.
He goes to a place of worship every week.,Ọ na-aga ebe ofufe kwa izu.
The place of worship is near his house.,Ebe ofufe ahụ dị nso n'ụlọ ya.
People gather at the place of worship.,Ndị mmadụ na-ezukọ n'ebe ofufe.
The priest leads the worship service.,Onye ụkọchukwu na-eduzi ofufe.
The priest delivered a sermon.,Onye ụkọchukwu kọrọ ozi ọma.
People listened to the sermon.,Ndị mmadụ gere ozi ọma ahụ ntị.
Prayer is important to many people.,Ekpere dị mkpa nye ọtụtụ ndị mmadụ.
They pray for their family.,Ha na-ekpe ekpere maka ezinụlọ ha.
The mother prays for her children.,Nne na-ekpe ekpere maka ụmụ ya.
The father prays every morning.,Nna ahụ na-ekpe ekpere kwa ụtụtụ.
The children pray before they eat.,Ụmụaka na-ekpe ekpere tupu ha erie nri.
They thanked God for the food.,Ha kelere Chineke maka nri.
He thanks God every day.,Ọ na-ekele Chineke kwa ụbọchị.
People ask for help.,Ndị mmadụ na-arịọ maka enyemaka.
He asks for guidance.,Ọ na-arịọ maka nduzi.
They have faith.,Ha nwere okwukwe.
Faith gives many people hope.,Okwukwe na-enye ọtụtụ mmadụ olileanya.
Hope is important during difficult times.,Olileanya dị mkpa n'oge nsogbu.
People find comfort through religion.,Ndị mmadụ na-enweta nkasi obi site n'okpukpe.
Religion teaches love.,Okpukpe na-akụzi ịhụnanya.
Religion teaches goodness.,Okpukpe na-akụzi ịdị mma.
It is important to respect others.,Ọ dị mkpa ịkwanyere ndị ọzọ ùgwù.
People should help one another.,Ndị mmadụ kwesịrị inyere ibe ha aka.
Love brings people together.,Ịhụnanya na-eme ka ndị mmadụ dịrị n'otu.
The town has many places of worship.,Obodo ahụ nwere ọtụtụ ebe ofufe.
People go to worship in the morning.,Ndị mmadụ na-aga ofufe n'ụtụtụ.
The worship service started on time.,Ofufe ahụ malitere n'oge.
The worship service lasted one hour.,Ofufe ahụ were otu awa.
People sang during the worship service.,Ndị mmadụ bụrụ abụ n'oge ofufe.
They read the holy book.,Ha na-agụ akwụkwọ nsọ.
The leader read a passage from the holy book.,Onye nduzi gụrụ akụkụ akwụkwọ nsọ.
Children learned about religion.,Ụmụaka mụtara ihe n'okpukpe.
Parents teach their children their beliefs.,Ndị nne na nna na-akụziri ụmụ ha nkwenkwe ha.
The family prays together.,Ezinụlọ ahụ na-ekpe ekpere ọnụ.
The family goes to worship together.,Ezinụlọ na-aga ofufe ọnụ.
Friends met at the place of worship.,Ndị enyi zutere n'ebe ofufe.
Members of the community support one another.,Ndị obodo na-akwado ibe ha.
They gave the family food.,Ha nyere ezinụlọ ahụ nri.
People helped the sick person.,Ndị mmadụ nyere onye ọrịa aka.
Charity work is important.,Ịrụ ọrụ ebere dị mkpa.
They gave money to the poor.,Ha nyere ndị ogbenye ego.
People shared food.,Ndị mmadụ kesara nri.
Sharing shows love.,Ịkekọrịta ihe na-egosi ịhụnanya.
He always helps others.,Ọ na-enyere ndị ọzọ aka mgbe niile.
Kindness is important among people.,Obiọma dị mkpa n'etiti ndị mmadụ.
Patience is a good quality.,Ndidi bụ omume ọma.
Truth is important in life.,Eziokwu dị mkpa na ndụ.
People should tell the truth.,Ndị mmadụ kwesịrị ikwu eziokwu.
Forgiving a person is good.,Ịgbaghara mmadụ bụ ihe ọma.
He forgave his friend.,Ọ gbaghara enyi ya.
They asked for forgiveness.,Ha rịọrọ mgbaghara.
It is important to learn to forgive.,Ọ dị mkpa ịmụta ịgbaghara.
People remember special days.,Ndị mmadụ na-echeta ụbọchị pụrụ iche.
Religious celebrations bring families together.,Emume okpukpe na-ejikọta ezinụlọ ọnụ.
