english,igbo
The farmer went to the farm.,Onye ọrụ ugbo gara n'ubi.
They planted maize.,Ha kụrụ ọka.
It rained well.,Mmiri ozuzo dara nke ọma.
Yam is planted during the planting season.,A na-akụ ji n'oge opupu ihe ubi.
The farmer is planting seeds.,Onye ọrụ ugbo na-akụ mkpụrụ.
The farmers work on the farm.,Ndị ọrụ ugbo na-arụ ọrụ n'ubi.
The maize grew well.,Ọka toro nke ọma.
That yam is big.,Ji ahụ buru ibu.
We planted rice on the farm.,Anyị kụrụ osikapa n'ubi.
Farming is an important occupation.,Ọrụ ugbo bụ ọrụ dị mkpa.
The farmer uses a hoe to work.,Onye ọrụ ugbo na-eji hoe arụ ọrụ.
He is watering the farm.,Ọ na-agba mmiri n'ubi.
They are planting vegetables.,Ha na-akụ akwụkwọ nri.
The vegetables are fresh.,Akwụkwọ nri ahụ dị ọhụrụ.
The farmer bought maize seeds.,Onye ọrụ ugbo zụtara mkpụrụ ọka.
We will plant crops tomorrow.,Anyị ga-akụ ihe ọkụkụ echi.
Domestic animals need food.,Anụ ụlọ chọrọ nri.
Livestock farming brings income.,Ọzụzụ anụ ụlọ na-eweta ego.
The farmer raises cattle.,Onye ọrụ ugbo na-azụ ehi.
They have many chickens.,Ha nwere ọtụtụ ọkụkọ.
The chicken laid an egg.,Ọkụkọ ahụ tọrọ akwa.
The cow gives milk.,Ehi ahụ na-enye mmiri ara.
The farmer raises goats.,Onye ọrụ ugbo na-azụ ewu.
The goat ate grass.,Ewu ahụ riri ahịhịa.
They take good care of the livestock.,Ha na-elekọta anụ ụlọ nke ọma.
Farming requires patience.,Ọrụ ugbo chọrọ ndidi.
The farmer works hard.,Onye ọrụ ugbo na-arụsi ọrụ ike.
We went to harvest the crops.,Anyị gara ịtụ ihe ubi.
They harvest the crops on time.,Ha na-ewe ihe ubi n'oge.
The harvest began.,Owuwe ihe ubi malitere.
The maize is ready for harvest.,Ọka dị njikere maka owuwe ihe ubi.
They gathered the harvest.,Ha kpọkọtara ihe ubi.
The farmer sold his harvest.,Onye ọrụ ugbo rere ihe ubi ya.
The market for farm produce is good today.,Ahịa ihe ubi dị mma taa.
The price of maize increased.,Ọnụ ahịa ọka mụbara.
The price of yam decreased.,Ọnụ ahịa ji dara.
They sold vegetables at the market.,Ha rere akwụkwọ nri n'ahịa.
The customer bought a bag of rice.,Onye ahịa zụtara akpa osikapa.
That bag of maize is heavy.,Akpa ọka ahụ dị arọ.
We want to buy more food.,Anyị chọrọ ịzụtakwu nri.
Water is important for crops.,Mmiri dị mkpa maka ihe ọkụkụ.
Plants need sunlight.,Osisi chọrọ ìhè anyanwụ.
Grass grows quickly.,Ahịhịa na-eto ngwa ngwa.
They removed weeds from the farm.,Ha wepụrụ ahịhịa n'ubi.
Weeds damage crops.,Ahịhịa na-emebi ihe ọkụkụ.
The farmer clears the farm.,Onye ọrụ ugbo na-asacha ubi.
They used fertilizer to improve the soil.,Ha ji fatịlaịza mee ka ala dị mma.
This soil is good for planting.,Ala a dị mma maka ịkụ ihe.
Dry soil does not help crops.,Ala kpọrọ nkụ anaghị enyere ihe ọkụkụ aka.
Rain helps farmers.,Mmiri ozuzo na-enyere ndị ọrụ ugbo aka.
Heavy rain can damage crops.,Oké mmiri ozuzo nwere ike imebi ihe ubi.
Sunlight helps crops grow.,Anwụ na-enyere ihe ọkụkụ aka ito.
Disasters damage farms.,Ọdachi na-emebi ubi.
Diseases can harm crops.,Ọrịa nwere ike imerụ ihe ọkụkụ.
The farmer detects disease in the plants.,Onye ọrụ ugbo na-achọpụta ọrịa n'osisi.
They used chemicals to protect the crops.,Ha ji ọgwụ chebe ihe ọkụkụ.
It is important to save seeds.,Ọ dị mkpa ịchekwa mkpụrụ.
The farmer stored the seeds in a safe place.,Onye ọrụ ugbo debere mkpụrụ n'ebe nchekwa.
They store the harvest in a warehouse.,Ha na-echekwa ihe ubi n'ụlọ nkwakọba ihe.
The warehouse is full of maize.,Ụlọ nkwakọba ihe ahụ jupụtara n'ọka.
Agriculture provides jobs for many people.,Ọrụ ugbo na-enye ọtụtụ mmadụ ọrụ.
Farmers provide food for the community.,Ndị ọrụ ugbo na-enye obodo nri.
Many families depend on farming.,Ọtụtụ ezinụlọ na-adabere n'ọrụ ugbo.
Farming is a source of income.,Ọrụ ugbo bụ isi iyi nke ego.
We should support farmers.,Anyị kwesịrị ịkwado ndị ọrụ ugbo.
The government gave farmers seeds.,Gọọmenti nyere ndị ọrụ ugbo mkpụrụ.
They received new farming equipment.,Ha nwetara ngwá ọrụ ugbo ọhụrụ.
A tractor helps farmers.,Traktọ na-enyere ndị ọrụ ugbo aka.
The farmer bought a tractor.,Onye ọrụ ugbo zụtara traktọ.
The tractor ploughs the land.,Traktọ ahụ na-akọ ala.
They used a machine to harvest the crops.,Ha ji igwe ewe ihe ubi.
Equipment should be in good condition.,Ngwá ọrụ kwesịrị ịdị mma.
The farmer repaired his machine.,Onye ọrụ ugbo rụziri igwe ya.
Training helps farmers.,Ọzụzụ na-enyere ndị ọrụ ugbo aka.
The farmer attended training.,Onye ọrụ ugbo gara ọzụzụ.
They learned new methods of planting.,Ha mụtara ụzọ ọhụrụ e si akụ ihe.
Modern methods make farming easier.,Ụzọ ọgbara ọhụrụ na-eme ka ọrụ ugbo dị mfe.
Proper planting increases the harvest.,Ịkụ ihe n'ụzọ ziri ezi na-abawanye ihe ubi.
They plant seeds in rows.,Ha na-akụ mkpụrụ n'ahịrị.
The farmer measured holes for the seeds.,Onye ọrụ ugbo tụrụ oghere maka mkpụrụ.
Farming requires good planning.,Ọrụ ugbo chọrọ ezigbo atụmatụ.
We organized the farm work well.,Anyị haziri ọrụ ubi nke ọma.
They started working early in the morning.,Ha malitere ịrụ ọrụ n'isi ụtụtụ.
The farmer returned home after sunset.,Onye ọrụ ugbo laghachiri n'ụlọ mgbe anyanwụ dara.
The children helped their parents on the farm.,Ụmụaka nyere nne na nna ha aka n'ubi.
The family works together.,Ezinụlọ ahụ na-arụ ọrụ ọnụ.
The neighbors helped the farmer.,Ndị agbata obi nyere onye ọrụ ugbo aka.
They finished the farm work before the rain started.,Ha rụchara ọrụ ubi tupu mmiri amalite.
The farmer has experience.,Onye ọrụ ugbo nwere ahụmahụ.
Experience helps the farmer.,Ahụmahụ na-enyere onye ọrụ ugbo aka.
Farming has challenges.,Ọrụ ugbo nwere ihe ịma aka.
Farmers face climate change.,Ndị ọrụ ugbo na-eche ihu mgbanwe ihu igwe.
Water shortage affects agriculture.,Ụkọ mmiri na-emetụta ọrụ ugbo.
It is important to use water wisely.,Ọ dị mkpa iji mmiri mee ihe nke ọma.
They irrigate during the dry season.,Ha na-agba mmiri n'oge ọkọchị.
Irrigation helps crops.,Ịgba mmiri na-enyere ihe ọkụkụ aka.
The farmer takes care of his farm every day.,Onye ọrụ ugbo na-elekọta ubi ya kwa ụbọchị.
We expect a good harvest.,Anyị na-atụ anya ezigbo owuwe ihe ubi.
Agriculture helps the community develop.,Ọrụ ugbo na-enyere obodo aka ito eto.
Farmers are an important part of the community.,Ndị ọrụ ugbo bụ akụkụ dị mkpa nke obodo.
