english,igbo
The patient should check his health.,Onye ọrịa kwesịrị ịlele ahụike ya.
My name is Chinedu.,Aha m bụ Chinedu.
He finds comfort during difficult times.,Ọ na-enweta nkasi obi n'oge nsogbu.
The computer stopped working.,Kọmputa ahụ kwụsịrị ịrụ ọrụ.
The market for farm produce is good today.,Ahịa ihe ubi dị mma taa.
They wrote down their lessons.,Ha debere ihe ọmụmụ ha.
The family works together.,Ezinụlọ ahụ na-arụ ọrụ ọnụ.
The doctor asked the patient questions.,Dọkịta jụrụ onye ọrịa ajụjụ.
This question is difficult.,Ajụjụ a siri ike.
"No, I do not have time.","Mba, enweghị m oge."
The product arrived on time.,Ngwaahịa ahụ rutere n'oge.
Prayer is important to many people.,Ekpere dị mkpa nye ọtụtụ ndị mmadụ.
The question is difficult.,Ajụjụ ahụ siri ike.
The government builds hospitals.,Gọọmenti na-arụ ụlọ ọgwụ.
People want justice.,Ndị mmadụ chọrọ ikpe ziri ezi.
Thank you.,Ekele dịrị gị.
Children need special care.,Ụmụaka chọrọ nlekọta pụrụ iche.
Rain helps farmers.,Mmiri ozuzo na-enyere ndị ọrụ ugbo aka.
He exercises every morning.,Ọ na-eme mmega ahụ kwa ụtụtụ.
Welcome.,Nnọọ.
The examination was difficult.,Ule ahụ siri ike.
The family takes care of the patient.,Ezinụlọ na-elekọta onye ọrịa.
I do not know.,Amaghị m.
The student presented his work.,Nwa akwụkwọ ahụ gosipụtara ọrụ ya.
Clean water is important.,Mmiri dị ọcha dị mkpa.
The student studies computer science.,Nwa akwụkwọ ahụ na-amụ sayensị kọmputa.
The government builds schools.,Gọọmenti na-arụ ụlọ akwụkwọ.
It is cold today.,Ọ dị oyi taa.
Do not be afraid.,Atụla egwu.
Cleanliness helps prevent germs.,Ịdị ọcha na-enyere aka igbochi nje.
The people attended a community meeting.,Ndị mmadụ gara nzukọ obodo.
A website provides information.,Weebụsaịtị na-enye ozi.
The illness stopped after treatment.,Ọrịa ahụ kwụsịrị mgbe ọgwụgwọ gasịrị.
He wants to become a teacher.,Ọ chọrọ ịghọ onye nkuzi.
The worker repaired the computer.,Onye ọrụ ahụ rụziri kọmputa.
You are right.,Ị kwuru eziokwu.
We should work together.,Anyị kwesịrị ịrụkọ ọrụ ọnụ.
Healthy food helps health.,Nri dị mma na-enyere ahụike aka.
Diseases can harm crops.,Ọrịa nwere ike imerụ ihe ọkụkụ.
The teacher explained the topic.,Onye nkuzi kọwara ihe ahụ.
It is important to save seeds.,Ọ dị mkpa ịchekwa mkpụrụ.
Students study their culture.,Ụmụ akwụkwọ na-amụ banyere omenala ha.
It is important to be careful during an outbreak.,Ọ dị mkpa ịkpachara anya n'oge ọrịa.
The customer ordered a product.,Onye ahịa nyere iwu ngwaahịa.
Working together helps students.,Ịrụkọ ọrụ ọnụ na-enyere ụmụ akwụkwọ aka.
He needs the support of his family.,Ọ chọrọ nkwado nke ezinụlọ ya.
The company opened a new branch.,Ụlọ ọrụ ahụ mepere alaka ọhụrụ.
The company advertises.,Ụlọ ọrụ ahụ na-eme mgbasa ozi.
The patient should take his medicine.,Onye ọrịa kwesịrị ịṅụ ọgwụ ya.
Many people want this product.,Ọtụtụ ndị mmadụ chọrọ ngwaahịa a.
The student did not understand the question.,Nwa akwụkwọ ahụ aghọtaghị ajụjụ ahụ.
Email helps people send messages.,Email na-enyere ndị mmadụ izipu ozi.
The farmer raises cattle.,Onye ọrụ ugbo na-azụ ehi.
The company provides different services.,Ụlọ ọrụ ahụ na-enye ọrụ dị iche iche.
They use paper to write.,Ha na-eji akwụkwọ ede ihe.
No problem.,Enweghị nsogbu.
The government supports agriculture.,Gọọmenti na-akwado ọrụ ugbo.
The mother took the child to the hospital.,Nne kpọgara nwa ahụ ụlọ ọgwụ.
The children dance well.,Ụmụaka na-agba egwu nke ọma.
I remember it.,Ana m echeta ya.
My father went to work.,Nna m gara ọrụ.
Preserving culture helps future generations.,Ịchekwa omenala na-enyere ọgbọ na-abịa aka.
The work is still continuing.,Ọrụ ahụ ka na-aga n'ihu.
What time is it?,Kedu oge ọ bụ?
I am angry.,Iwe na-ewe m.
Elders teach good behavior.,Ndị okenye na-akụzi ezi omume.
Thank you.,Daalụ.
Domestic animals need food.,Anụ ụlọ chọrọ nri.
Tradition teaches us about our ancestors.,Ọdịnala na-akụziri anyị ihe gbasara ndị nna nna anyị.
They planted maize.,Ha kụrụ ọka.
That bag of maize is heavy.,Akpa ọka ahụ dị arọ.
Working together is a good tradition.,Ịrụkọ ọrụ ọnụ bụ omenala dị mma.
The students are doing well.,Ụmụ akwụkwọ na-eme nke ọma.
The community prepares food for visitors.,Ndị obodo na-akwadebe nri maka ndị ọbịa.
What is your name?,Kedu aha gị?
Hope helps a person move forward.,Olileanya na-enyere mmadụ aka ịga n'ihu.
He has been coughing since yesterday.,Ọ na-asụ ụkwara kemgbe ụnyaahụ.
Beliefs give some people strength.,Nkwenkwe na-enye ụfọdụ mmadụ ume.
Modern methods make farming easier.,Ụzọ ọgbara ọhụrụ na-eme ka ọrụ ugbo dị mfe.
He has a new phone.,Ọ nwere ekwentị ọhụrụ.
Illness can affect a family.,Ọrịa nwere ike imetụta ezinụlọ.
Where do you live?,Ebee ka ị bi?
The business grew quickly.,Azụmahịa ahụ toro ngwa ngwa.
Charity work is important.,Ịrụ ọrụ ebere dị mkpa.
Tradition is an important part of Igbo life.,Ọdịnala bụ akụkụ dị mkpa nke ndụ ndị Igbo.
Vaccination protects children from disease.,Ịgba ọgwụ mgbochi ọrịa na-echebe ụmụaka.
The internet helps students.,Ịntanetị na-enyere ụmụ akwụkwọ aka.
Unity makes a community strong.,Ịdị n'otu na-eme ka obodo sie ike.
He went to the market.,Ọ gara ahịa.
They take good care of the livestock.,Ha na-elekọta anụ ụlọ nke ọma.
The plan is for community development.,Atụmatụ ahụ bụ maka mmepe obodo.
Music is part of Igbo culture.,Egwu bụ akụkụ nke omenala Igbo.
The teacher helps the students.,Onye nkuzi na-enyere ụmụ akwụkwọ aka.
I do not know that place.,Amaghị m ebe ahụ.
The price of maize increased.,Ọnụ ahịa ọka mụbara.
The software is easy to use.,Ngwanrọ ahụ dị mfe iji.
Have a good day.,Ka ụbọchị ọma.
The citizens have rights.,Ndị obodo nwere ikike.
Our culture is something we should value.,Omenala anyị bụ ihe anyị kwesịrị iji kpọrọ ihe.
Patience is a good quality.,Ndidi bụ omume ọma.
The assistance helped the farmers.,Enyemaka ahụ nyere ndị ọrụ ugbo aka.
Language helps people communicate.,Asụsụ na-enyere ndị mmadụ aka ịkparịta ụka.
Python is a programming language.,Python bụ asụsụ mmemme.
He works with web technology.,Ọ na-eji teknụzụ webụ arụ ọrụ.
The leader listens to the people.,Onye isi ahụ na-ege ndị mmadụ ntị.
He backs up his files.,Ọ na-echekwa faịlụ ya.
