id,igbo,english,domain,source,level,contributor,verified,date_added
EDU001,Nwa akwụkwọ nọ n'ụlọ akwụkwọ.,The student is in school.,education,manual,basic,groupA,Yes,2026-06-24
EDU002,Onye nkụzi na-akụzi mgbakọ.,The teacher is teaching mathematics.,education,manual,basic,groupA,Yes,2026-06-24
EDU003,Ha na-agụ akwụkwọ n'ọbá akwụkwọ.,They are reading books in the library.,education,manual,basic,groupA,Yes,2026-06-24
EDU004,Akwụkwọ a dị ọhụrụ.,This book is new.,education,manual,basic,groupA,Yes,2026-06-24
EDU005,Ụmụ akwụkwọ na-ede ule.,Students are writing an examination.,education,manual,basic,groupA,Yes,2026-06-24
EDU006,Onye isi ụlọ akwụkwọ bịara.,The principal arrived.,education,manual,basic,groupA,Yes,2026-06-24
EDU007,Anyị mụtara sayensị taa.,We learned science today.,education,manual,basic,groupA,Yes,2026-06-24
EDU008,Klas ahụ dị jụụ.,The classroom is quiet.,education,manual,basic,groupA,Yes,2026-06-24
EDU009,Nwaanyị ahụ gụrụ akụkọ.,The girl read a story.,education,manual,basic,groupA,Yes,2026-06-24
EDU010,Ha gara ụlọ nyocha.,They went to the laboratory.,education,manual,basic,groupA,Yes,2026-06-24
EDU011,Onye nkụzi jụrụ ajụjụ.,The teacher asked a question.,education,manual,basic,groupA,Yes,2026-06-24
EDU012,Ụmụaka na-amụta Bekee.,Children are learning English.,education,manual,basic,groupA,Yes,2026-06-24
EDU013,Ana m ede ihe n'akwụkwọ m.,I am writing in my notebook.,education,manual,basic,groupA,Yes,2026-06-24
EDU014,Ha nụrụ ihe onye nkụzi kwuru.,They heard what the teacher said.,education,manual,basic,groupA,Yes,2026-06-24
EDU015,Ọ gụsịrị akwụkwọ nke ọma.,He graduated successfully.,education,manual,basic,groupA,Yes,2026-06-24
EDU016,Anyị gara ọmụmụ ihe.,We attended a lesson.,education,manual,basic,groupA,Yes,2026-06-24
EDU017,Nwa akwụkwọ ahụ meriri asọmpi.,The student won the competition.,education,manual,basic,groupA,Yes,2026-06-24
EDU018,Ha mụtara akụkọ ihe mere eme.,They studied history.,education,manual,basic,groupA,Yes,2026-06-24
EDU019,Akwụkwọ ndị a bara uru.,These books are useful.,education,manual,basic,groupA,Yes,2026-06-24
EDU020,Ụlọ akwụkwọ meghere n'ụtụtụ.,The school opened in the morning.,education,manual,basic,groupA,Yes,2026-06-24
