english,igbo
the farmer went to the farm.,Onye ọrụ ugbo gara n'ubi.
the farmer went to the farm. today,Onye ọrụ ugbo gara n'ubi.
they planted maize.,Ha kụrụ ọka.
we planted maize.,Ha kụrụ ọka.
they planted maize. today,Ha kụrụ ọka.
it rained well.,Mmiri ozuzo dara nke ọma.
it rained well. tomorrow,Mmiri ozuzo dara nke ọma.
yam is planted during the planting season.,A na-akụ ji n'oge opupu ihe ubi.
yam is planted during the planting season. now,A na-akụ ji n'oge opupu ihe ubi.
the farmer is planting seeds.,Onye ọrụ ugbo na-akụ mkpụrụ.
the farmer is planting seeds. now,Onye ọrụ ugbo na-akụ mkpụrụ.
the farmers work on the farm.,Ndị ọrụ ugbo na-arụ ọrụ n'ubi.
the farmers work on the farm. now,Ndị ọrụ ugbo na-arụ ọrụ n'ubi.
the maize grew well.,Ọka toro nke ọma.
the maize grew well. today,Ọka toro nke ọma.
that yam is big.,Ji ahụ buru ibu.
that yam is big. today,Ji ahụ buru ibu.
we planted rice on the farm.,Anyị kụrụ osikapa n'ubi.
they planted rice on the farm.,Anyị kụrụ osikapa n'ubi.
we planted rice on the farm. later,Anyị kụrụ osikapa n'ubi.
farming is an important occupation.,Ọrụ ugbo bụ ọrụ dị mkpa.
farming is an important occupation. today,Ọrụ ugbo bụ ọrụ dị mkpa.
the farmer uses a hoe to work.,Onye ọrụ ugbo na-eji hoe arụ ọrụ.
the farmer uses a hoe to work. today,Onye ọrụ ugbo na-eji hoe arụ ọrụ.
he is watering the farm.,Ọ na-agba mmiri n'ubi.
she is watering the farm.,Ọ na-agba mmiri n'ubi.
he is watering the farm. today,Ọ na-agba mmiri n'ubi.
they are planting vegetables.,Ha na-akụ akwụkwọ nri.
we are planting vegetables.,Ha na-akụ akwụkwọ nri.
they are planting vegetables. now,Ha na-akụ akwụkwọ nri.
the vegetables are fresh.,Akwụkwọ nri ahụ dị ọhụrụ.
the vegetables are fresh. now,Akwụkwọ nri ahụ dị ọhụrụ.
the farmer bought maize seeds.,Onye ọrụ ugbo zụtara mkpụrụ ọka.
the farmer bought maize seeds. today,Onye ọrụ ugbo zụtara mkpụrụ ọka.
we will plant crops tomorrow.,Anyị ga-akụ ihe ọkụkụ echi.
they will plant crops tomorrow.,Anyị ga-akụ ihe ọkụkụ echi.
we will plant crops tomorrow. now,Anyị ga-akụ ihe ọkụkụ echi.
domestic animals need food.,Anụ ụlọ chọrọ nri.
domestic animals require food.,Anụ ụlọ chọrọ nri.
domestic animals need food. later,Anụ ụlọ chọrọ nri.
livestock farming brings income.,Ọzụzụ anụ ụlọ na-eweta ego.
livestock farming brings income. now,Ọzụzụ anụ ụlọ na-eweta ego.
the farmer raises cattle.,Onye ọrụ ugbo na-azụ ehi.
the farmer raises cattle. later,Onye ọrụ ugbo na-azụ ehi.
they have many chickens.,Ha nwere ọtụtụ ọkụkọ.
we have many chickens.,Ha nwere ọtụtụ ọkụkọ.
they have many chickens. tomorrow,Ha nwere ọtụtụ ọkụkọ.
the chicken laid an egg.,Ọkụkọ ahụ tọrọ akwa.
the chicken laid an egg. today,Ọkụkọ ahụ tọrọ akwa.
the cow gives milk.,Ehi ahụ na-enye mmiri ara.
the cow gives milk. now,Ehi ahụ na-enye mmiri ara.
the farmer raises goats.,Onye ọrụ ugbo na-azụ ewu.
the farmer raises goats. later,Onye ọrụ ugbo na-azụ ewu.
the goat ate grass.,Ewu ahụ riri ahịhịa.
the goat ate grass. tomorrow,Ewu ahụ riri ahịhịa.
they take good care of the livestock.,Ha na-elekọta anụ ụlọ nke ọma.
we take good care of the livestock.,Ha na-elekọta anụ ụlọ nke ọma.
they take good care of the livestock. tomorrow,Ha na-elekọta anụ ụlọ nke ọma.
