id,igbo,english,domain,source,level,contributor,verified,date_added
CUL001,Anyị na-eme emume ọdịnala.,We are celebrating a cultural festival.,culture,manual,basic,groupA,Yes,2026-06-24
CUL002,Ndị mmadụ yi akwa ọdịnala.,People wore traditional clothes.,culture,manual,basic,groupA,Yes,2026-06-24
CUL003,A kụrụ egwu ọdịnala.,Traditional music was played.,culture,manual,basic,groupA,Yes,2026-06-24
CUL004,Ha gbara egwú.,They danced.,culture,manual,basic,groupA,Yes,2026-06-24
CUL005,Omenala anyị bara uru.,Our culture is valuable.,culture,manual,basic,groupA,Yes,2026-06-24
CUL006,A na-asụ Igbo n'ebe a.,Igbo is spoken here.,culture,manual,basic,groupA,Yes,2026-06-24
CUL007,Ha gara ahịa ọdịnala.,They visited the traditional market.,culture,manual,basic,groupA,Yes,2026-06-24
CUL008,Nna ochie kwuru akụkọ.,The elder told a story.,culture,manual,basic,groupA,Yes,2026-06-24
CUL009,Ụmụaka mụtara ilu Igbo.,The children learned Igbo proverbs.,culture,manual,basic,groupA,Yes,2026-06-24
CUL010,Emume ahụ jupụtara n'ọṅụ.,The festival was full of joy.,culture,manual,basic,groupA,Yes,2026-06-24
