english,igbo
The government manages the community.,Gọọmenti na-elekọta obodo.
The government provides public services.,Gọọmenti na-enye ọrụ ọha.
People elect leaders.,Ndị mmadụ na-ahọpụta ndị isi.
Leaders serve the community.,Ndị isi na-eje ozi nye obodo.
The community leader has an important responsibility.,Onye isi obodo nwere ọrụ dị mkpa.
The people elected a new leader.,Ndị mmadụ họpụtara onye isi ọhụrụ.
The leader listens to the people.,Onye isi ahụ na-ege ndị mmadụ ntị.
The citizens have rights.,Ndị obodo nwere ikike.
Everyone should respect the law.,Onye ọ bụla kwesịrị ịkwanyere iwu ùgwù.
Laws help maintain peace.,Iwu na-enyere aka idobe udo.
The police protect the community.,Polis na-echekwa obodo.
The police officers do their work.,Ndị uwe ojii na-arụ ọrụ ha.
The community needs security.,Obodo chọrọ nchekwa.
People want to live in peace.,Ndị mmadụ chọrọ ibi n'udo.
The government builds schools.,Gọọmenti na-arụ ụlọ akwụkwọ.
The government builds hospitals.,Gọọmenti na-arụ ụlọ ọgwụ.
Public hospitals help people.,Ụlọ ọgwụ ọha na-enyere ndị mmadụ aka.
Public schools provide education.,Ụlọ akwụkwọ ọha na-enye agụmakwụkwọ.
The government builds roads.,Gọọmenti na-arụ ụzọ.
Good roads help transportation.,Ụzọ ọma na-enyere njem aka.
Many people use this road.,Ọtụtụ mmadụ na-eji ụzọ a.
The government provides drinking water.,Gọọmenti na-enye mmiri ọṅụṅụ.
Clean water is important.,Mmiri dị ọcha dị mkpa.
The community needs electricity.,Obodo chọrọ ọkụ eletrik.
The government works to improve life.,Gọọmenti na-arụ ọrụ iji meziwanye ndụ.
Leaders should work for the people.,Ndị isi kwesịrị ịrụ ọrụ maka ndị mmadụ.
People expect good governance.,Ndị mmadụ na-atụ anya ezi ọchịchị.
Good governance helps the community.,Ezi ọchịchị na-enyere obodo aka.
The government should listen to the people.,Gọọmenti kwesịrị ige ndị mmadụ ntị.
People can express their opinions.,Ndị mmadụ nwere ike ikwu echiche ha.
The people attended a community meeting.,Ndị mmadụ gara nzukọ obodo.
The leaders called a meeting.,Ndị isi kpọrọ nzukọ.
The meeting took place in the meeting hall.,Nzukọ ahụ mere n'ụlọ nzukọ.
They discussed community problems.,Ha kwurịtara banyere nsogbu obodo.
The people gave advice.,Ndị mmadụ nyere ndụmọdụ.
The leader made a promise.,Onye isi ahụ kwere nkwa.
The government promised to build roads.,Gọọmenti kwere nkwa ịrụ ụzọ.
They started the work.,Ha malitere ọrụ ahụ.
The work is still continuing.,Ọrụ ahụ ka na-aga n'ihu.
The new building is being constructed.,Ụlọ ọhụrụ ahụ na-ewu.
The government collects taxes.,Gọọmenti na-anakọta ụtụ isi.
People pay taxes.,Ndị mmadụ na-akwụ ụtụ isi.
Taxes help the government.,Ụtụ isi na-enyere gọọmenti aka.
The government uses public money for projects.,Gọọmenti na-eji ego ọha arụ ọrụ.
It is important to use public money properly.,Ọ dị mkpa iji ego ọha mee ihe nke ọma.
People want to know how their money is used.,Ndị mmadụ chọrọ ịma otú e si eji ego ha.
Transparency is important in governance.,Nghọta dị mkpa na ọchịchị.
Leaders should be accountable.,Ndị isi kwesịrị ịza ajụjụ.
The government issues licenses.,Gọọmenti na-enye akwụkwọ ikike.
That person needs a license.,Onye ahụ chọrọ akwụkwọ ikike.
He went to a government office.,Ọ gara ụlọ ọrụ gọọmenti.
The office provides public services.,Ụlọ ọrụ ahụ na-enye ọrụ ọha.
People seek important documents.,Ndị mmadụ na-achọ akwụkwọ dị mkpa.
He received his document.,Ọ natara akwụkwọ ya.
It is important to register.,Ọ dị mkpa ịdebanye aha.
People registered their names.,Ndị mmadụ debara aha ha.
The government keeps public records.,Gọọmenti na-echekwa ndekọ obodo.
The record contains important information.,Ndekọ ahụ nwere ozi dị mkpa.
The citizens need jobs.,Ndị obodo chọrọ ọrụ.
The government creates job opportunities.,Gọọmenti na-emepụta ohere ọrụ.
Jobs help families.,Ọrụ na-enyere ezinụlọ aka.
Many young people are looking for jobs.,Ọtụtụ ndị ntorobịa na-achọ ọrụ.
Training helps young people.,Ọzụzụ na-enyere ndị ntorobịa aka.
The government started a training program.,Gọọmenti malitere mmemme ọzụzụ.
