id,igbo,english,domain,source,level,contributor,verified,date_added
AGR001,Onye ọrụ ugbo gara n'ubi.,The farmer went to the farm.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR002,Ha kụrụ ọka.,They planted maize.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR003,Mmiri ozuzo dara nke ọma.,It rained well.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR004,A na-akụ ji n'oge opupu ihe ubi.,Yam is planted during the planting season.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR005,Ehi ahụ na-ata ahịhịa.,The cow is grazing.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR006,Ha na-akọ ala.,They are cultivating the land.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR007,Nri anụmanụ dị mkpa.,Animal feed is important.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR008,A na-azụ ọkụkọ n'ebe a.,Chickens are raised here.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR009,Akwụkwọ nri toro nke ọma.,The vegetables grew well.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR010,Ha chịkọtara mkpụrụ osisi.,They harvested fruits.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR011,A na-eji fatịlaịza eme ka ala dị mma.,Fertilizer improves the soil.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR012,Ubi ahụ buru ibu.,The farm is large.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR013,Ana m akụ ose.,I am planting pepper.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR014,Ha na-azụ ewu.,They are raising goats.,agriculture,manual,basic,groupA,Yes,2026-06-24
AGR015,Osikapa dị njikere maka owuwe ihe ubi.,The rice is ready for harvest.,agriculture,manual,basic,groupA,Yes,2026-06-24
