english,igbo
The student is going to school.,Nwa akwụkwọ na-aga ụlọ akwụkwọ.
The students are studying.,Ụmụ akwụkwọ na-amụ ihe.
The student is reading a book.,Nwa akwụkwọ na-agụ akwụkwọ.
The teacher teaches the students.,Onye nkuzi na-akụzi ụmụ akwụkwọ.
The school is in the town.,Ụlọ akwụkwọ ahụ dị n'obodo.
The children come to school on time.,Ụmụaka na-abịa n'ụlọ akwụkwọ n'oge.
The school opened in the morning.,Ụlọ akwụkwọ ahụ meghere n'ụtụtụ.
The student has a book.,Nwa akwụkwọ ahụ nwere akwụkwọ.
The book is on the table.,Akwụkwọ ahụ dị na tebụl.
The students are in the classroom.,Ụmụ akwụkwọ nọ na klaasị.
The teacher is in the classroom.,Onye nkuzi nọ na klaasị.
The teacher wrote on the board.,Onye nkuzi dere n'elu bọọdụ.
The students are writing.,Ụmụ akwụkwọ na-ede ihe.
The student uses a pencil to write.,Nwa akwụkwọ ahụ na-eji pensụl ede ihe.
They use paper to write.,Ha na-eji akwụkwọ ede ihe.
The teacher asked a question.,Onye nkuzi jụrụ ajụjụ.
The student answered the question.,Nwa akwụkwọ ahụ zara ajụjụ ahụ.
The question is easy.,Ajụjụ ahụ dị mfe.
The question is difficult.,Ajụjụ ahụ siri ike.
The students are learning new things.,Ụmụ akwụkwọ na-amụta ihe ọhụrụ.
Learning is important.,Ọmụmụ ihe dị mkpa.
Education helps people.,Agụmakwụkwọ na-enyere mmadụ aka.
Children should go to school.,Ụmụaka kwesịrị ịga ụlọ akwụkwọ.
Parents support education.,Ndị nne na nna na-akwado agụmakwụkwọ.
The teacher helps the students.,Onye nkuzi na-enyere ụmụ akwụkwọ aka.
The student needs help.,Nwa akwụkwọ ahụ chọrọ enyemaka.
The teacher explained the topic.,Onye nkuzi kọwara ihe ahụ.
The students understood the lesson.,Ụmụ akwụkwọ ghọtara ihe ọmụmụ ahụ.
The student did not understand the question.,Nwa akwụkwọ ahụ aghọtaghị ajụjụ ahụ.
The teacher explained it again.,Onye nkuzi kọwara ya ọzọ.
They study mathematics.,Ha na-amụ mgbakọ na mwepụ.
They study science.,Ha na-amụ sayensị.
The students study the Igbo language.,Ụmụ akwụkwọ na-amụ asụsụ Igbo.
They study English at school.,Ha na-amụ Bekee n'ụlọ akwụkwọ.
History is an important subject.,Akụkọ ihe mere eme bụ isiokwu dị mkpa.
Geography teaches about the world.,Geography na-akụzi banyere ụwa.
The student likes science.,Nwa akwụkwọ ahụ hụrụ sayensị n'anya.
He likes reading.,Ọ masịrị ya ịgụ akwụkwọ.
Reading makes a person knowledgeable.,Ịgụ akwụkwọ na-eme ka mmadụ mara ihe.
The students read books in the library.,Ụmụ akwụkwọ na-agụ akwụkwọ n'ọbá akwụkwọ.
The library has many books.,Ọbá akwụkwọ ahụ nwere ọtụtụ akwụkwọ.
The student borrowed a book.,Nwa akwụkwọ ahụ gbaziri akwụkwọ.
He returned the book.,Ọ laghachiri akwụkwọ ahụ.
The students study at home.,Ụmụ akwụkwọ na-amụ ihe n'ụlọ.
He does homework.,Ọ na-eme ihe omume ụlọ.
The teacher gave them homework.,Onye nkuzi nyere ha ọrụ ụlọ.
They finished their homework.,Ha rụchara ọrụ ụlọ ha.
The student is preparing for an examination.,Nwa akwụkwọ ahụ na-akwadebe maka ule.
The examination will begin tomorrow.,Ule ahụ ga-amalite echi.
The students wrote their examination.,Ụmụ akwụkwọ dere ule ha.
The examination was difficult.,Ule ahụ siri ike.
The student passed the examination.,Nwa akwụkwọ ahụ gafere ule ahụ.
The student failed the examination.,Nwa akwụkwọ ahụ dara ule ahụ.
He studied well.,Ọ gụrụ akwụkwọ nke ọma.
Studying helps students.,Ịgụ akwụkwọ na-enyere ụmụ akwụkwọ aka.
The teacher gave advice.,Onye nkuzi nyere ndụmọdụ.
The students listened to the teacher.,Ụmụ akwụkwọ gere onye nkuzi ntị.
It is important to listen in class.,Ọ dị mkpa ige ntị na klaasị.
The students asked many questions.,Ụmụ akwụkwọ jụrụ ọtụtụ ajụjụ.
The teacher answered their questions.,Onye nkuzi zara ajụjụ ha.
The school has many classrooms.,Ụlọ akwụkwọ ahụ nwere ọtụtụ klaasị.
The classroom is clean.,Klaasị ahụ dị ọcha.
The students are sitting on chairs.,Ụmụ akwụkwọ nọ ọdụ n'oche.
The teacher stood in front of the classroom.,Onye nkuzi guzoro n'ihu klaasị.
The students work together.,Ụmụ akwụkwọ na-arụkọ ọrụ ọnụ.
They did group work.,Ha mere ọrụ otu.
Working together helps students.,Ịrụkọ ọrụ ọnụ na-enyere ụmụ akwụkwọ aka.
The student presented his work.,Nwa akwụkwọ ahụ gosipụtara ọrụ ya.
The teacher checked the students' work.,Onye nkuzi nyochara ọrụ ụmụ akwụkwọ.
The teacher gave marks.,Onye nkuzi nyere akara.
The student got a high mark.,Nwa akwụkwọ ahụ nwetara akara dị elu.
His work is good.,Ọrụ ya dị mma.
The students compete in their studies.,Ụmụ akwụkwọ na-asọmpi n'ọmụmụ ihe.
Hard work brings success.,Ọrụ siri ike na-eweta ihe ịga nke ọma.
He wants to go to university.,Ọ chọrọ ịga mahadum.
The university has many students.,Mahadum ahụ nwere ọtụtụ ụmụ akwụkwọ.
The student studies computer science.,Nwa akwụkwọ ahụ na-amụ sayensị kọmputa.
He is studying for his examination.,Ọ na-amụ maka ule ya.
University students conduct research.,Ụmụ akwụkwọ mahadum na-eme nchọpụta.
Research is important in education.,Nchọpụta dị mkpa na agụmakwụkwọ.
The university lecturer taught the class.,Onye nkuzi mahadum kụziri klaasị.
The students attended the lecture.,Ụmụ akwụkwọ gara nkuzi.
The lecture was useful.,Nkuzi ahụ bara uru.
They wrote down their lessons.,Ha debere ihe ọmụmụ ha.
The internet helps students learn.,Ịntanetị na-enyere ụmụ akwụkwọ aka ịmụ ihe.
Students use computers to learn.,Ụmụ akwụkwọ na-eji kọmputa amụ ihe.
Online learning is popular.,Ọmụmụ ihe n'ịntanetị na-ewu ewu.
The student attended an online class.,Nwa akwụkwọ ahụ gara klasị n'ịntanetị.
The teacher sent learning materials online.,Onye nkuzi zitere ihe ọmụmụ n'ịntanetị.
Students need good learning resources.,Ụmụ akwụkwọ chọrọ ezigbo akụrụngwa.
Books help students.,Akwụkwọ na-enyere ụmụ akwụkwọ aka.
Learning requires patience.,Ọmụmụ ihe chọrọ ndidi.
It is important to study every day.,Ọ dị mkpa ịmụ ihe kwa ụbọchị.
The students are doing well.,Ụmụ akwụkwọ na-eme nke ọma.
Education opens the way to the future.,Agụmakwụkwọ na-emeghe ụzọ maka ọdịnihu.
The student has a big dream.,Nwa akwụkwọ ahụ nwere nnukwu nrọ.
He wants to become a teacher.,Ọ chọrọ ịghọ onye nkuzi.
Learning helps a person achieve their goals.,Ọmụmụ ihe na-enyere mmadụ aka iru ihe mgbaru ọsọ ya.
Students should work hard.,Ụmụ akwụkwọ kwesịrị ịrụsi ọrụ ike.
Education is essential for community development.,Agụmakwụkwọ bụ isi ihe na mmepe obodo.
