id,igbo,english,domain
GEN001,Ụtụtụ ọma.,Good morning.,general
GEN002,Ekele dịrị gị.,Thank you.,general
GEN003,Biko.,Please.,general
GEN004,Ọ dị mma.,It is okay.,general
GEN005,Kedu ka ị mere?,How are you?,general
GEN006,Adị m mma.,I am fine.,general
GEN007,Kedu aha gị?,What is your name?,general
GEN008,Aha m bụ Chinedu.,My name is Chinedu.,general
GEN009,Ebee ka ị bi?,Where do you live?,general
GEN010,Ana m ebi n'obodo a.,I live in this town.,general
GEN011,Ị na-eme gịnị?,What are you doing?,general
GEN012,Ana m arụ ọrụ.,I am working.,general
GEN013,Ana m aga ụlọ.,I am going home.,general
GEN014,Ọ bịara n'ụtụtụ.,He came in the morning.,general
GEN015,Anyị ga-ahụ gị echi.,We will see you tomorrow.,general
GEN016,Achọrọ m enyemaka.,I need help.,general
GEN017,Biko nyere m aka.,Please help me.,general
GEN018,Aghọtara m.,I understand.,general
GEN019,Aghọtaghị m.,I do not understand.,general
GEN020,Biko kwuo ya ọzọ.,Please say it again.,general
GEN021,Kwuo nwayọọ.,Speak slowly.,general
GEN022,Ị nwere oge?,Do you have time?,general
GEN023,"Ee, enwere m oge.","Yes, I have time.",general
GEN024,"Mba, enweghị m oge.","No, I do not have time.",general
GEN025,Ị chọrọ ihe ọ bụla?,Do you need anything?,general
GEN026,"Eeh, achọrọ m mmiri.","Yes, I need water.",general
GEN027,"Mba, achọghị m ihe ọ bụla.","No, I do not need anything.",general
GEN028,Ị maara ebe a?,Do you know this place?,general
GEN029,Amaghị m ebe ahụ.,I do not know that place.,general
GEN030,Ị nwere ike ịgwa m?,Can you tell me?,general
GEN031,Enwere m ajụjụ.,I have a question.,general
GEN032,Gịnị ka nke a bụ?,What is this?,general
GEN033,Nke a bụ akwụkwọ.,This is a book.,general
GEN034,Ebee ka akwụkwọ ahụ dị?,Where is the book?,general
GEN035,Akwụkwọ ahụ dị na tebụl.,The book is on the table.,general
GEN036,Onye ka ị na-achọ?,Who are you looking for?,general
GEN037,Ana m achọ enyi m.,I am looking for my friend.,general
GEN038,Ọ nọ n'ụlọ.,He is at home.,general
GEN039,Ọ gara ahịa.,He went to the market.,general
GEN040,Anyị nọ ebe a.,We are here.,general
GEN041,Ka anyị gaa.,Let us go.,general
GEN042,Chere ntakịrị.,Wait a moment.,general
GEN043,Abịala ebe a.,Come here.,general
GEN044,Gaa ebe ahụ.,Go there.,general
GEN045,Nọdụ ala.,Sit down.,general
GEN046,Bilie.,Stand up.,general
GEN047,Mepee ụzọ.,Open the door.,general
GEN048,Mechie ụzọ.,Close the door.,general
GEN049,Mepee akwụkwọ.,Open the book.,general
GEN050,Dee aha gị.,Write your name.,general
GEN051,Gụọ akwụkwọ ahụ.,Read the book.,general
GEN052,Gee ntị.,Listen.,general
GEN053,Lee nke a.,Look at this.,general
GEN054,Ọ dị ọkụ taa.,It is hot today.,general
GEN055,Ọ dị oyi taa.,It is cold today.,general
GEN056,Mmiri na-ezo.,It is raining.,general
GEN057,Ihu igwe dị mma.,The weather is good.,general
GEN058,Ụbọchị ahụ mara mma.,The day is beautiful.,general
GEN059,Abalị dị jụụ.,The night is quiet.,general
GEN060,Achọrọ m iri nri.,I want to eat.,general
GEN061,Achọrọ m ịṅụ mmiri.,I want to drink water.,general
GEN062,Nri dị njikere.,The food is ready.,general
GEN063,Nri ahụ dị ụtọ.,The food is delicious.,general
GEN064,Agụụ na-agụ m.,I am hungry.,general
GEN065,Akpịrị na-akpọ m nkụ.,I am thirsty.,general
GEN066,Ana m enwe obi ụtọ.,I am happy.,general
GEN067,Ana m enwe mwute.,I am sad.,general
GEN068,Iwe na-ewe m.,I am angry.,general
GEN069,Atụrụ m egwu.,I am afraid.,general
GEN070,Enwere m olileanya.,I have hope.,general
GEN071,Ọ dị m ka ike gwụrụ m.,I feel tired.,general
GEN072,Ana m ehi ụra.,I am sleeping.,general
GEN073,Etetaala m.,I have woken up.,general
GEN074,Ọ bụ oge ịga.,It is time to go.,general
GEN075,Abịara m ugbu a.,I have arrived now.,general
GEN076,Ọ lọtara n'ụlọ.,He returned home.,general
GEN077,Anyị zutere taa.,We met today.,general
GEN078,Ọ bụ ezigbo enyi m.,He is my good friend.,general
GEN079,Ezinụlọ m dị mkpa nye m.,My family is important to me.,general
GEN080,Ana m ahụ ezinụlọ m n'anya.,I love my family.,general
GEN081,Nne m nọ n'ụlọ.,My mother is at home.,general
GEN082,Nna m gara ọrụ.,My father went to work.,general
GEN083,Ụmụaka na-egwu egwu.,The children are playing.,general
GEN084,Ha na-achị ọchị.,They are laughing.,general
GEN085,Ọ na-ekwu eziokwu.,He is telling the truth.,general
GEN086,Agaghị m echefu ya.,I will not forget it.,general
GEN087,Ana m echeta ya.,I remember it.,general
GEN088,Ọ dị mkpa.,It is important.,general
GEN089,Ọ bụghị nsogbu.,It is not a problem.,general
GEN090,Enweghị nsogbu.,No problem.,general
GEN091,Ọ dị mma nke ukwuu.,It is very good.,general
GEN092,Ọ dị njọ.,It is bad.,general
GEN093,Ọ masịrị m.,I like it.,general
GEN094,Ọ masịghị m.,I do not like it.,general
GEN095,Achọrọ m ịmụ ihe.,I want to learn.,general
GEN096,Ịmụ ihe dị mkpa.,Learning is important.,general
GEN097,Anyị kwesịrị ịrụkọ ọrụ ọnụ.,We should work together.,general
GEN098,Ọtụtụ ihe ka anyị nwere ike ime.,There are many things we can do.,general
GEN099,Anyị ga-aga n'ihu.,We will move forward.,general
GEN100,Ọdịnihu ga-adị mma.,The future will be good.,general
