id,igbo,english,domain,source
R1_00001,Ha yi uwe ọdịnala.,They wore traditional clothes.,culture,original_parallel
R1_00002,Ndị obodo kwadebere maka emume ahụ.,The community prepared for the celebration.,culture,original_parallel
R1_00003,Nkà kọmputa na-enyere mmadụ aka ịchọta ọrụ.,Computer skills help a person find a job.,technology,original_parallel
R1_00004,Anyị kwesịrị ịsa aka mgbe niile.,We should wash our hands regularly.,health,original_parallel
R1_00005,Ọ chọrọ izu ike.,He needs to rest.,health,original_parallel
R1_00006,Ị nwere oge taa?,do you have time?,daily_conversation,iterative_back_translation_round_1
R1_00007,Enweghị ụra nwere ike imetụta ahụike.,Lack of sleep can affect health.,health,original_parallel
R1_00008,Ka anyị kwụsị.,Let us stop.,daily_conversation,original_parallel
R1_00009,Ụlọ ọgwụ nwere akụrụngwa.,The hospital has equipment.,health,original_parallel
R1_00010,Ana m aga n'ụlọ.,i am going home.,daily_conversation,iterative_back_translation_round_1
R1_00011,Ọ gụrụ akwụkwọ nke ọma.,He studied well.,education,original_parallel
R1_00012,Onye ọbịa kwuru okwu.,The visitor gave a speech.,religion,original_parallel
R1_00013,Ọ na-eji ịntanetị kwa ụbọchị.,He uses the internet every day.,technology,original_parallel
R1_00014,Ha na-ekpe ekpere maka ezinụlọ ha.,they pray for their family.,religion,iterative_back_translation_round_1
R1_00015,Ha ji fatịlaịza mee ka ala dị mma.,They used fertilizer to improve the soil.,agriculture,original_parallel
R1_00016,Nọdụ ala.,Sit down.,general,original_parallel
R1_00017,Ofufe ahụ were otu awa.,The worship service lasted one hour.,religion,original_parallel
R1_00018,Biko nọdụ ala.,Please sit down.,daily_conversation,original_parallel
R1_00019,Akwụkwọ ahụ dị na tebụl.,The book is on the table.,education,original_parallel
R1_00020,Ọ dị mkpa izere ihe ndị na-emebi ahụ.,It is important to avoid things that harm the body.,health,original_parallel
R1_00021,Ndị mmadụ chọrọ ịma otú e si eji ego ha.,People want to know how their money is used.,government,original_parallel
R1_00022,Ngwaọrụ ahụ na-arụ ọrụ nke ọma.,The device works well.,technology,original_parallel
R1_00023,Ndị ọrụ ugbo na-eche ihu mgbanwe ihu igwe.,Farmers face climate change.,agriculture,original_parallel
R1_00024,Weebụsaịtị ahụ dị mfe iji.,The website is easy to use.,technology,original_parallel
R1_00025,Ọbịa bịara n'ụlọ ahụ.,A visitor came to the house.,culture,original_parallel
R1_00026,Ọ na-amụ asụsụ mmemme.,He is learning a programming language.,technology,original_parallel
R1_00027,Ọ mepere faịlụ ahụ.,He opened the file.,technology,original_parallel
R1_00028,Ọgwụ ahụ nyere aka belata ihe mgbu.,The medicine helped reduce the pain.,health,original_parallel
R1_00029,Nwa akwụkwọ ahụ na-eji pensụl ede ihe.,The student uses a pencil to write.,education,original_parallel
R1_00030,Ọ dị mkpa ịmụta ịgbaghara.,It is important to learn to forgive.,religion,original_parallel
R1_00031,Ndị okenye na-akọ akụkọ banyere oge gara aga.,Elders tell stories about the past.,culture,original_parallel
R1_00032,Nwa akwụkwọ na-aga ụlọ akwụkwọ.,The student is going to school.,education,original_parallel
R1_00033,Omenala anyị bụ ihe anyị kwesịrị iji kpọrọ ihe.,Our culture is something we should value.,culture,original_parallel
R1_00034,Ụkọ mmiri na-emetụta ọrụ ugbo.,Water shortage affects agriculture.,agriculture,original_parallel
R1_00035,Onye ọrụ ugbo gara n'ubi.,The farmer went to the farm.,agriculture,original_parallel
R1_00036,Gọọmenti na-arụ ụlọ ọgwụ.,The government builds hospitals.,government,original_parallel
R1_00037,Azụmahịa ahụ na-aga nke ọma.,The business is doing well.,business,original_parallel
R1_00038,Ị mehiere.,You are wrong.,daily_conversation,original_parallel
R1_00039,Ọtụtụ mmadụ na-ekpe ekpere kwa ụbọchị.,Many people pray every day.,religion,original_parallel
R1_00040,Ha na-agụ akwụkwọ nsọ.,They read the holy book.,religion,original_parallel
R1_00041,Ndị ọrụ ahụike na-arụsi ọrụ ike.,Health workers work hard.,health,original_parallel
R1_00042,Ndị mmadụ na-achọ ndụmọdụ.,People seek advice.,religion,original_parallel
R1_00043,Ha kpọsara ngwaahịa ọhụrụ.,They advertised a new product.,business,original_parallel
R1_00044,Ụzụ na-eme ka ọrụ dị mfe.,Technology makes work easier.,technology,original_parallel
R1_00045,Ịdị ọcha na-enyere aka igbochi nje.,Cleanliness helps prevent germs.,health,original_parallel
R1_00046,Ọ dị mkpa ige ntị na klaasị.,It is important to listen in class.,education,original_parallel
R1_00047,Onye ọrụ ugbo laghachiri n'ụlọ mgbe anyanwụ dara.,The farmer returned home after sunset.,agriculture,original_parallel
R1_00048,Onye ọrụ ahụ rụziri kọmputa.,The worker repaired the computer.,technology,original_parallel
R1_00049,Ama m.,I know.,daily_conversation,original_parallel
R1_00050,Ọ mepụtara paswọọdụ siri ike.,He created a strong password.,technology,original_parallel
R1_00051,Ụlọ ọrụ ahụ nwetara uru.,The company made a profit.,business,original_parallel
R1_00052,Ọ na-asụ ụkwara kemgbe ụnyaahụ.,He has been coughing since yesterday.,health,original_parallel
R1_00053,Ha chọrọ ịgbasa azụmahịa ha.,They want to expand their business.,business,original_parallel
R1_00054,Ọnụ ahịa ji dara.,The price of yam decreased.,agriculture,original_parallel
R1_00055,Ndị ọrụ ahụike na-enyere ndị ọrịa aka.,Health workers help patients.,government,original_parallel
R1_00056,Ndị inyom yi akwa mara mma.,The women wore beautiful clothing.,culture,original_parallel
R1_00057,Ịgba ọgwụ mgbochi ọrịa na-echebe ụmụaka.,Vaccination protects children from disease.,health,original_parallel
R1_00058,Ụzụ na-enyere mmepe obodo aka.,Technology helps community development.,technology,original_parallel
R1_00059,Gọọmenti na-echekwa ndekọ obodo.,The government keeps public records.,government,original_parallel
R1_00060,Ahịhịa na-emebi ihe ọkụkụ.,Weeds damage crops.,agriculture,original_parallel
R1_00061,Ọkụkọ ahụ tọrọ akwa.,The chicken laid an egg.,agriculture,original_parallel
R1_00062,Ọ budatara ngwa ọhụrụ.,He downloaded a new application.,technology,original_parallel
R1_00063,Obi dị m ụtọ izute gị.,I am happy to meet you.,daily_conversation,original_parallel
R1_00064,A chọrọ m mmiri.,I want water.,daily_conversation,original_parallel
R1_00065,Anyị chọrọ ịzụtakwu nri.,We want to buy more food.,agriculture,original_parallel
R1_00066,Gọọmenti nyere ndị ọrụ ugbo mkpụrụ.,The government gave farmers seeds.,agriculture,original_parallel
R1_00067,Obere azụmahịa na-emepụta ọrụ.,Small businesses create jobs.,government,original_parallel
R1_00068,Ọ dị m mkpa ịgwa gị ihe.,I need to tell you something.,daily_conversation,original_parallel
R1_00069,Onye mmemme meziri njehie ahụ.,The programmer fixed the error.,technology,original_parallel
R1_00070,Ụmụaka kwesịrị ịmụ asụsụ ha.,Children should learn their language.,culture,original_parallel
R1_00071,Ekpere dị mkpa nye ọtụtụ ndị mmadụ.,Prayer is important to many people.,religion,original_parallel
R1_00072,Azụmahịa ahụ nwere nnukwu ihe ịma aka.,The business has a major challenge.,business,original_parallel
R1_00073,Ha mụtara ụzọ ọhụrụ e si akụ ihe.,They learned new methods of planting.,agriculture,original_parallel
R1_00074,Ezinụlọ ahụ gara ụlọ ọgwụ.,the family went to the hospital.,health,iterative_back_translation_round_1
R1_00075,Ị dị mma?,Are you fine?,daily_conversation,original_parallel
R1_00076,Nwa akwụkwọ ahụ nwere nnukwu nrọ.,The student has a big dream.,education,original_parallel
R1_00077,Ọrụ siri ike na-eweta ihe ịga nke ọma.,Hard work brings success.,education,original_parallel
R1_00078,Achọrọ m iri nri.,I want to eat.,general,original_parallel
R1_00079,Ezinụlọ ahụ na-arụ ọrụ ọnụ.,The family works together.,agriculture,original_parallel
R1_00080,Onye ahịa kwụrụ ụgwọ ngwaahịa ahụ.,The customer paid for the product.,business,original_parallel
R1_00081,Ndị mmadụ na-echeta ụbọchị pụrụ iche.,People remember special days.,religion,original_parallel
R1_00082,Klaasị ahụ dị ọcha.,The classroom is clean.,education,original_parallel
R1_00083,Ụlọ ọrụ ahụ na-akwụ ụgwọ.,The company pays expenses.,business,original_parallel
R1_00084,Ọ gbaghara enyi ya.,He forgave his friend.,religion,original_parallel
