id,igbo,english,domain
EDU001,Nwa akwụkwọ na-aga ụlọ akwụkwọ.,The student is going to school.,education
EDU002,Ụmụ akwụkwọ na-amụ ihe.,The students are studying.,education
EDU003,Nwa akwụkwọ na-agụ akwụkwọ.,The student is reading a book.,education
EDU004,Onye nkuzi na-akụzi ụmụ akwụkwọ.,The teacher teaches the students.,education
EDU005,Ụlọ akwụkwọ ahụ dị n'obodo.,The school is in the town.,education
EDU006,Ụmụaka na-abịa n'ụlọ akwụkwọ n'oge.,The children come to school on time.,education
EDU007,Ụlọ akwụkwọ ahụ meghere n'ụtụtụ.,The school opened in the morning.,education
EDU008,Nwa akwụkwọ ahụ nwere akwụkwọ.,The student has a book.,education
EDU009,Akwụkwọ ahụ dị na tebụl.,The book is on the table.,education
EDU010,Ụmụ akwụkwọ nọ na klaasị.,The students are in the classroom.,education
EDU011,Onye nkuzi nọ na klaasị.,The teacher is in the classroom.,education
EDU012,Onye nkuzi dere n'elu bọọdụ.,The teacher wrote on the board.,education
EDU013,Ụmụ akwụkwọ na-ede ihe.,The students are writing.,education
EDU014,Nwa akwụkwọ ahụ na-eji pensụl ede ihe.,The student uses a pencil to write.,education
EDU015,Ha na-eji akwụkwọ ede ihe.,They use paper to write.,education
EDU016,Onye nkuzi jụrụ ajụjụ.,The teacher asked a question.,education
EDU017,Nwa akwụkwọ ahụ zara ajụjụ ahụ.,The student answered the question.,education
EDU018,Ajụjụ ahụ dị mfe.,The question is easy.,education
EDU019,Ajụjụ ahụ siri ike.,The question is difficult.,education
EDU020,Ụmụ akwụkwọ na-amụta ihe ọhụrụ.,The students are learning new things.,education
EDU021,Ọmụmụ ihe dị mkpa.,Learning is important.,education
EDU022,Agụmakwụkwọ na-enyere mmadụ aka.,Education helps people.,education
EDU023,Ụmụaka kwesịrị ịga ụlọ akwụkwọ.,Children should go to school.,education
EDU024,Ndị nne na nna na-akwado agụmakwụkwọ.,Parents support education.,education
EDU025,Onye nkuzi na-enyere ụmụ akwụkwọ aka.,The teacher helps the students.,education
EDU026,Nwa akwụkwọ ahụ chọrọ enyemaka.,The student needs help.,education
EDU027,Onye nkuzi kọwara ihe ahụ.,The teacher explained the topic.,education
EDU028,Ụmụ akwụkwọ ghọtara ihe ọmụmụ ahụ.,The students understood the lesson.,education
EDU029,Nwa akwụkwọ ahụ aghọtaghị ajụjụ ahụ.,The student did not understand the question.,education
EDU030,Onye nkuzi kọwara ya ọzọ.,The teacher explained it again.,education
EDU031,Ha na-amụ mgbakọ na mwepụ.,They study mathematics.,education
EDU032,Ha na-amụ sayensị.,They study science.,education
EDU033,Ụmụ akwụkwọ na-amụ asụsụ Igbo.,The students study the Igbo language.,education
EDU034,Ha na-amụ Bekee n'ụlọ akwụkwọ.,They study English at school.,education
EDU035,Akụkọ ihe mere eme bụ isiokwu dị mkpa.,History is an important subject.,education
EDU036,Geography na-akụzi banyere ụwa.,Geography teaches about the world.,education
EDU037,Nwa akwụkwọ ahụ hụrụ sayensị n'anya.,The student likes science.,education
EDU038,Ọ masịrị ya ịgụ akwụkwọ.,He likes reading.,education
EDU039,Ịgụ akwụkwọ na-eme ka mmadụ mara ihe.,Reading makes a person knowledgeable.,education
EDU040,Ụmụ akwụkwọ na-agụ akwụkwọ n'ọbá akwụkwọ.,The students read books in the library.,education
EDU041,Ọbá akwụkwọ ahụ nwere ọtụtụ akwụkwọ.,The library has many books.,education
EDU042,Nwa akwụkwọ ahụ gbaziri akwụkwọ.,The student borrowed a book.,education
EDU043,Ọ laghachiri akwụkwọ ahụ.,He returned the book.,education
