english,igbo
Hello.,Ndewo.
How are you?,Kedu ka ị mere?
I am fine.,Adị m mma.
Are you fine?,Ị dị mma?
I am well.,Ọ dị m mma.
What are you doing?,Kedu ihe ị na-eme?
I am at home.,Anọ m n'ụlọ.
I am at work.,Anọ m n'ọrụ.
Where are you going?,Ebee ka ị na-aga?
I am going to the market.,Anọ m na-aga ahịa.
I am going to school.,Aga m ụlọ akwụkwọ.
He is going to work.,Ọ na-aga ọrụ.
Where do you live?,Kedu ebe ị bi?
I live in this town.,Ana m ebi n'obodo a.
What is your name?,Kedu aha gị?
My name is Chinedu.,Aha m bụ Chinedu.
I am happy to meet you.,Obi dị m ụtọ izute gị.
I am also happy to meet you.,Obi dịkwa m ụtọ izute gị.
It has been a long time.,Ọ dịla anya.
Where are you?,Ebee ka ị nọ?
I am here.,Anọ m ebe a.
Come here.,Bịa ebe a.
Go there.,Gaa ebe ahụ.
Please sit down.,Biko nọdụ ala.
Please stand up.,Biko bilie.
Wait for a short while.,Chere obere oge.
I am coming now.,Abịa m ugbu a.
I will come tomorrow.,Aga m abịa echi.
I am leaving now.,Aga m aga ugbu a.
Goodbye.,Ka ọ dị.
Good morning.,Ka chi fo.
Good afternoon.,Ehihie ọma.
Good evening.,Ka chi bọọ.
Take care.,Jisie ike.
Thank you.,Daalụ.
Thank you very much.,Daalụ nke ukwuu.
Welcome.,Nnọọ.
Sorry.,Ndo.
It is nothing.,Ọ dịghị ihe.
Please help me.,Biko nyere m aka.
I will help you.,Aga m enyere gị aka.
Do you need help?,Ị chọrọ enyemaka?
"Yes, I need help.","Ee, achọrọ m enyemaka."
"No, I do not need help.","Mba, achọghị m enyemaka."
Do you understand?,Ị ghọtara?
"Yes, I understand.","Ee, aghọtara m."
"No, I do not understand.","Mba, aghọtaghị m."
Please say it again.,Biko kwuo ya ọzọ.
Speak slowly.,Kwuo nwayọọ.
Can you explain it?,Ị nwere ike ịkọwa ya?
I do not know.,Amaghị m.
I know.,Ama m.
Do you know the answer?,Ị ma azịza ya?
The answer is easy.,Azịza ya dị mfe.
This question is difficult.,Ajụjụ a siri ike.
What do you want?,Gịnị ka ị chọrọ?
I want water.,A chọrọ m mmiri.
I want food.,A chọrọ m nri.
I am hungry.,Agụụ na-agụ m.
I am thirsty.,Akpịrị na-akpọ m nkụ.
I am sleepy.,Ụra na-agụ m.
I am not feeling well.,Anaghị m enwe ahụ ike.
I am happy.,Enwere m obi ụtọ.
I am not happy.,Obi adịghị m ụtọ.
I am angry.,Iwe na-ewe m.
Do not be afraid.,Atụla egwu.
There is no problem.,Enweghị nsogbu.
It is okay.,Ọ dị mma.
It is not good.,Ọ dịghị mma.
You are right.,Ị kwuru eziokwu.
You are wrong.,Ị mehiere.
I have an idea.,Enwere m echiche.
That idea is good.,Echiche ahụ dị mma.
Let us go.,Ka anyị gaa.
Let us start.,Ka anyị malite.
Let us stop.,Ka anyị kwụsị.
What happened?,Gịnị mere?
Nothing happened.,Ọ dịghị ihe mere.
Who called you?,Ònye kpọrọ gị?
My mother called me.,Nne m kpọrọ m.
Do you have a phone?,Ị nwere ekwentị?
"Yes, I have a phone.","Ee, enwere m ekwentị."
Call me when you arrive.,Kpọọ m mgbe ị rutere.
I will call you tomorrow.,Aga m akpọ gị echi.
Send me a message.,Zipụ m ozi.
I will send you a message.,Aga m ezitere gị ozi.
What time is it?,Kedu oge ọ bụ?
It is time.,Oge eruola.
It is eight o'clock.,Ọ bụ elekere asatọ.
Will you come tomorrow?,Ị ga-abịa echi?
"Yes, I will come.","Ee, aga m abịa."
"No, I will not come.","Mba, agaghị m abịa."
Do you have time?,Ị nwere oge?
"Yes, I have time.","Ee, enwere m oge."
Let us talk.,Ka anyị kwuo okwu.
I need to tell you something.,Ọ dị m mkpa ịgwa gị ihe.
Tell me what happened.,Gwa m ihe merenụ.
I will see you later.,Aga m ahụ gị ma emechaa.
Have a good day.,Ka ụbọchị ọma.
See you again.,Ka anyị hụ ọzọ.
