id,igbo,english,domain
CON001,Ndewo.,Hello.,daily_conversation
CON002,Kedu ka ị mere?,How are you?,daily_conversation
CON003,Adị m mma.,I am fine.,daily_conversation
CON004,Ị dị mma?,Are you fine?,daily_conversation
CON005,Ọ dị m mma.,I am well.,daily_conversation
CON006,Kedu ihe ị na-eme?,What are you doing?,daily_conversation
CON007,Anọ m n'ụlọ.,I am at home.,daily_conversation
CON008,Anọ m n'ọrụ.,I am at work.,daily_conversation
CON009,Ebee ka ị na-aga?,Where are you going?,daily_conversation
CON010,Anọ m na-aga ahịa.,I am going to the market.,daily_conversation
CON011,Aga m ụlọ akwụkwọ.,I am going to school.,daily_conversation
CON012,Ọ na-aga ọrụ.,He is going to work.,daily_conversation
CON013,Kedu ebe ị bi?,Where do you live?,daily_conversation
CON014,Ana m ebi n'obodo a.,I live in this town.,daily_conversation
CON015,Kedu aha gị?,What is your name?,daily_conversation
CON016,Aha m bụ Chinedu.,My name is Chinedu.,daily_conversation
CON017,Obi dị m ụtọ izute gị.,I am happy to meet you.,daily_conversation
CON018,Obi dịkwa m ụtọ izute gị.,I am also happy to meet you.,daily_conversation
CON019,Ọ dịla anya.,It has been a long time.,daily_conversation
CON020,Ebee ka ị nọ?,Where are you?,daily_conversation
CON021,Anọ m ebe a.,I am here.,daily_conversation
CON022,Bịa ebe a.,Come here.,daily_conversation
CON023,Gaa ebe ahụ.,Go there.,daily_conversation
CON024,Biko nọdụ ala.,Please sit down.,daily_conversation
CON025,Biko bilie.,Please stand up.,daily_conversation
CON026,Chere obere oge.,Wait for a short while.,daily_conversation
CON027,Abịa m ugbu a.,I am coming now.,daily_conversation
CON028,Aga m abịa echi.,I will come tomorrow.,daily_conversation
CON029,Aga m aga ugbu a.,I am leaving now.,daily_conversation
CON030,Ka ọ dị.,Goodbye.,daily_conversation
CON031,Ka chi fo.,Good morning.,daily_conversation
CON032,Ehihie ọma.,Good afternoon.,daily_conversation
CON033,Ka chi bọọ.,Good evening.,daily_conversation
CON034,Jisie ike.,Take care.,daily_conversation
CON035,Daalụ.,Thank you.,daily_conversation
CON036,Daalụ nke ukwuu.,Thank you very much.,daily_conversation
CON037,Nnọọ.,Welcome.,daily_conversation
CON038,Ndo.,Sorry.,daily_conversation
CON039,Ọ dịghị ihe.,It is nothing.,daily_conversation
CON040,Biko nyere m aka.,Please help me.,daily_conversation
CON041,Aga m enyere gị aka.,I will help you.,daily_conversation
CON042,Ị chọrọ enyemaka?,Do you need help?,daily_conversation
CON043,"Ee, achọrọ m enyemaka.","Yes, I need help.",daily_conversation
CON044,"Mba, achọghị m enyemaka.","No, I do not need help.",daily_conversation
CON045,Ị ghọtara?,Do you understand?,daily_conversation
CON046,"Ee, aghọtara m.","Yes, I understand.",daily_conversation
CON047,"Mba, aghọtaghị m.","No, I do not understand.",daily_conversation
CON048,Biko kwuo ya ọzọ.,Please say it again.,daily_conversation
CON049,Kwuo nwayọọ.,Speak slowly.,daily_conversation
CON050,Ị nwere ike ịkọwa ya?,Can you explain it?,daily_conversation
CON051,Amaghị m.,I do not know.,daily_conversation
CON052,Ama m.,I know.,daily_conversation
CON053,Ị ma azịza ya?,Do you know the answer?,daily_conversation
CON054,Azịza ya dị mfe.,The answer is easy.,daily_conversation
CON055,Ajụjụ a siri ike.,This question is difficult.,daily_conversation
CON056,Gịnị ka ị chọrọ?,What do you want?,daily_conversation
CON057,A chọrọ m mmiri.,I want water.,daily_conversation
CON058,A chọrọ m nri.,I want food.,daily_conversation
CON059,Agụụ na-agụ m.,I am hungry.,daily_conversation
CON060,Akpịrị na-akpọ m nkụ.,I am thirsty.,daily_conversation
CON061,Ụra na-agụ m.,I am sleepy.,daily_conversation
CON062,Anaghị m enwe ahụ ike.,I am not feeling well.,daily_conversation
CON063,Enwere m obi ụtọ.,I am happy.,daily_conversation
CON064,Obi adịghị m ụtọ.,I am not happy.,daily_conversation
CON065,Iwe na-ewe m.,I am angry.,daily_conversation
CON066,Atụla egwu.,Do not be afraid.,daily_conversation
CON067,Enweghị nsogbu.,There is no problem.,daily_conversation
CON068,Ọ dị mma.,It is okay.,daily_conversation
CON069,Ọ dịghị mma.,It is not good.,daily_conversation
CON070,Ị kwuru eziokwu.,You are right.,daily_conversation
CON071,Ị mehiere.,You are wrong.,daily_conversation
CON072,Enwere m echiche.,I have an idea.,daily_conversation
CON073,Echiche ahụ dị mma.,That idea is good.,daily_conversation
CON074,Ka anyị gaa.,Let us go.,daily_conversation
CON075,Ka anyị malite.,Let us start.,daily_conversation
CON076,Ka anyị kwụsị.,Let us stop.,daily_conversation
CON077,Gịnị mere?,What happened?,daily_conversation
CON078,Ọ dịghị ihe mere.,Nothing happened.,daily_conversation
CON079,Ònye kpọrọ gị?,Who called you?,daily_conversation
CON080,Nne m kpọrọ m.,My mother called me.,daily_conversation
CON081,Ị nwere ekwentị?,Do you have a phone?,daily_conversation
CON082,"Ee, enwere m ekwentị.","Yes, I have a phone.",daily_conversation
CON083,Kpọọ m mgbe ị rutere.,Call me when you arrive.,daily_conversation
CON084,Aga m akpọ gị echi.,I will call you tomorrow.,daily_conversation
CON085,Zipụ m ozi.,Send me a message.,daily_conversation
CON086,Aga m ezitere gị ozi.,I will send you a message.,daily_conversation
CON087,Kedu oge ọ bụ?,What time is it?,daily_conversation
CON088,Oge eruola.,It is time.,daily_conversation
CON089,Ọ bụ elekere asatọ.,It is eight o'clock.,daily_conversation
CON090,Ị ga-abịa echi?,Will you come tomorrow?,daily_conversation
CON091,"Ee, aga m abịa.","Yes, I will come.",daily_conversation
CON092,"Mba, agaghị m abịa.","No, I will not come.",daily_conversation
CON093,Ị nwere oge?,Do you have time?,daily_conversation
CON094,"Ee, enwere m oge.","Yes, I have time.",daily_conversation
