igbo,english,source
Azịza ya dị mfe.,The answer is easy.,round1_training_data
Aha bụ akụkụ dị mkpa nke omenala.,Names are an important part of culture.,round1_training_data
A chọrọ m nri.,I want food.,round1_training_data
Ọ bụghị nsogbu.,It is not a problem.,round1_training_data
Ụfọdụ ọrụ na-eji igwe eme ihe.,Some jobs use machines.,round1_training_data
Ndị ntorobịa na-akwado omenala ha.,Young people support their culture.,round1_training_data
Ụbọchị ahụ mara mma.,The day is beautiful.,round1_training_data
Ndị mmadụ nwere obi ụtọ.,People were happy.,round1_training_data
Ọ laghachiri akwụkwọ ahụ.,He returned the book.,round1_training_data
Nwa ahụ nwere ahụ ọkụ.,The child has a fever.,round1_training_data
Obere azụmahịa na-emepụta ọrụ.,Small businesses create jobs.,round1_training_data
Aga m ahụ gị ma emechaa.,I will see you later.,round1_training_data
Ọrịa nwere ike imerụ ihe ọkụkụ.,Diseases can harm crops.,round1_training_data
Ndị mmadụ na-eji egwu eme emume.,People use music for celebrations.,round1_training_data
Ọ natara faịlụ ahụ.,He received the file.,round1_training_data
Ụmụaka mụtara ihe n'okpukpe.,Children learned about religion.,round1_training_data
Emume ahụ mere n'ụlọ.,The celebration took place at home.,round1_training_data
Ọ dị mkpa ịchọ enyemaka n'oge.,It is important to seek help early.,round1_training_data
Ọtụtụ mmadụ na-eji ụzọ a.,Many people use this road.,round1_training_data
Ala kpọrọ nkụ anaghị enyere ihe ọkụkụ aka.,Dry soil does not help crops.,round1_training_data
Onye isi obodo nwere ọrụ dị mkpa.,The community leader has an important responsibility.,round1_training_data
Ọ dị m mkpa ịgwa gị ihe.,I need to tell you something.,round1_training_data
Ọtụtụ mmadụ hụrụ egwu ọdịnala n'anya.,Many people love traditional music.,round1_training_data
Ịkwanyere ndị okenye ùgwù bụ omenala dị mkpa.,Respecting elders is an important tradition.,round1_training_data
Ha na-agụ akwụkwọ nsọ.,They read the holy book.,round1_training_data
Ndị okenye na-akọ akụkọ banyere oge gara aga.,Elders tell stories about the past.,round1_training_data
Nne m kpọrọ m.,My mother called me.,round1_training_data
Ụmụaka nọdụrụ gee akụkọ ahụ ntị.,The children sat and listened to the story.,round1_training_data
Ndị Igbo nwere ọtụtụ omenala.,The Igbo people have many traditions.,round1_training_data
Ezinụlọ ahụ na-arụ ọrụ ọnụ.,The family works together.,round1_training_data
Ọbara mgbali elu nwere ike ịdị ize ndụ.,High blood pressure can be dangerous.,round1_training_data
Ọ na-eji teknụzụ eme mmụta.,He uses technology for learning.,round1_training_data
Lee nke a.,Look at this.,round1_training_data
Ụlọ ọrụ ahụ natara iwu ahụ.,The company received the order.,round1_training_data
Nkwenkwe na-enye ụfọdụ mmadụ ume.,Beliefs give some people strength.,round1_training_data
Weebụsaịtị ahụ dị mfe iji.,The website is easy to use.,round1_training_data
Ụmụ akwụkwọ jụrụ ọtụtụ ajụjụ.,The students asked many questions.,round1_training_data
Ala a dị mma maka ịkụ ihe.,This soil is good for planting.,round1_training_data
A chọrọ m mmiri.,I want water.,round1_training_data
Ụzụ na-agbanwe ụwa.,Technology is changing the world.,round1_training_data
Gọọmenti nyere ndị ọrụ ugbo mkpụrụ.,The government gave farmers seeds.,round1_training_data
Ndị nne na nna na-akụziri ụmụ ha Igbo.,Parents teach their children Igbo.,round1_training_data
Ọ zitere email n'ụtụtụ.,He sent an email in the morning.,round1_training_data
Ịchekwa ahụike bụ ọrụ onye ọ bụla.,Protecting health is everyone's responsibility.,round1_training_data
Ị chọrọ ihe ọ bụla?,Do you need anything?,round1_training_data
Ụfọdụ omenala ka dị ndụ taa.,Some traditions are still alive today.,round1_training_data
Ọ na-amụ nkà dijitalụ.,He is learning digital skills.,round1_training_data
Ọ dị mkpa ilekọta ahụike anyị.,It is important to take care of our health.,round1_training_data
Ezi ọchịchị na-eme ka obodo sie ike.,Good governance makes a community strong.,round1_training_data
Kọmputa ahụ kwụsịrị ịrụ ọrụ.,The computer stopped working.,round1_training_data
Onye ọrụ na-arụsi ọrụ ike.,The employee works hard.,round1_training_data
Ndị mmadụ nwere ike isonye na mmemme ahụ.,People can participate in the program.,round1_training_data
Okpukpe bụ akụkụ nke ndụ ọtụtụ mmadụ.,Religion is part of the lives of many people.,round1_training_data
Ọdịnihu ga-adị mma.,The future will be good.,round1_training_data
Ịntanetị na-ejikọta ndị mmadụ.,The internet connects people.,round1_training_data
Azụmahịa na-enye ndị mmadụ ohere ọrụ.,Business provides people with job opportunities.,round1_training_data
Onye nkuzi zara ajụjụ ha.,The teacher answered their questions.,round1_training_data
Ọ dị mkpa izere nrụgide dị ukwuu.,It is important to avoid too much stress.,round1_training_data
Onye ọrụ ugbo na-arụsi ọrụ ike n'ubi.,the farmer works hard.,round1_training_data
Ọ kwụrụ ụgwọ ahụ n'oge.,He paid the debt on time.,round1_training_data
