id,igbo,domain,source
MON001,Onye ọrụ ugbo na-arụsi ọrụ ike n'ubi.,agriculture,manual
MON002,Ọka dị n'ubi ahụ toro nke ọma.,agriculture,manual
MON003,E nwere ọtụtụ osisi n'ugbo anyị.,agriculture,manual
MON004,Mmiri ozuzo nyere ihe ọkụkụ aka ito.,agriculture,manual
MON005,Onye ọrụ ugbo kụrụ akwụkwọ nri n'ubi.,agriculture,manual
MON006,A na-akụ ji mgbe oge ruru.,agriculture,manual
MON007,Ụmụ nwoke na-enyere nna ha aka n'ubi.,agriculture,manual
MON008,Ehi na-ata ahịhịa n'ala ubi.,agriculture,manual
MON009,Ọrụ ugbo chọrọ ndidi na ike.,agriculture,manual
MON010,A na-egbute ihe ubi mgbe ha tozuru.,agriculture,manual
MON011,Ọtụtụ ndị mmadụ na-adabere n'ọrụ ugbo.,agriculture,manual
MON012,Onye ọrụ ugbo zụtara mkpụrụ ọhụrụ.,agriculture,manual
MON013,A na-echekwa ọka n'ebe kpọrọ nkụ.,agriculture,manual
MON014,Ọkụ nwere ike imebi ihe ọkụkụ.,agriculture,manual
MON015,Nne m na-akụ akwụkwọ nri n'azụ ụlọ.,agriculture,manual
MON016,Ewu na ọkụkọ bụ anụ ụlọ ndị a na-ahụkarị.,agriculture,manual
MON017,Ọrụ ugbo bụ isi iyi nri maka ọtụtụ ezinụlọ.,agriculture,manual
MON018,A na-eji mmiri agba ihe ọkụkụ mmiri n'oge ọkọchị.,agriculture,manual
MON019,Onye ọrụ ugbo gara ahịa ree ihe ubi ya.,agriculture,manual
MON020,Ala ọma na-enyere ihe ọkụkụ aka ito ngwa ngwa.,agriculture,manual
MON021,Onye ahịa ahụ meghere ụlọ ahịa ya n'ụtụtụ.,business,manual
MON022,Ọtụtụ ndị mmadụ na-azụ ahịa n'ahịa a.,business,manual
MON023,Ọnụahịa ngwaahịa ahụ gbagoro n'izu a.,business,manual
MON024,Onye ahịa chọrọ ịmata ọnụ ahịa ihe ahụ.,business,manual
MON025,Ụlọ ọrụ ahụ nwere ọtụtụ ndị ọrụ.,business,manual
MON026,Ha na-eme atụmatụ ịmalite azụmahịa ọhụrụ.,business,manual
MON027,Onye ahịa ahụ rere ngwaahịa ya niile.,business,manual
MON028,Azụmahịa ọma chọrọ atụmatụ siri ike.,business,manual
MON029,Ọ na-ere uwe n'ahịa obodo.,business,manual
MON030,Onye ahịa ahụ nwetara uru n'azụmahịa ya.,business,manual
MON031,Ụlọ ahịa ahụ na-emeghe kwa ụbọchị.,business,manual
MON032,Ọtụtụ ndị mmadụ na-eji ekwentị eme azụmahịa.,business,manual
MON033,Onye ahịa ahụ nyere onye ahịa akwụkwọ nnata.,business,manual
MON034,Ọ dị mkpa ịkwado ndị ahịa nke ọma.,business,manual
MON035,Ụlọ ọrụ ahụ chọrọ ịgbasa azụmahịa ya.,business,manual
MON036,Ọtụtụ ụlọ ọrụ na-eji teknụzụ arụ ọrụ.,business,manual
MON037,Onye ahịa ahụ debere ego n'ụlọ akụ.,business,manual
MON038,Ahịa ngwaahịa ahụ dị elu taa.,business,manual
