igbo,english
Akaụntụ,Accounting
Data Breach,Data Breach
Ọrụ Ugbo,Farming
Ihe Nlereanya,Model
A na-eji fatịlaịza eme ka ala dị mma.,Fertilizer improves the soil.
Onye Nlekọta,Supervisor
Transcript,Transcript
Onye isi ala bịara obodo ahụ.,The president visited the town.
Anyi bụ ezinụlọ ọma,We are a good family
Anyi guru mgbako taa,We studied mathematics today
Character,Mkpụrụedemede
BLEU score na-atụ ogo ntụgharị asụsụ,BLEU score measures translation quality
Asụsụ mpaghara kwesịrị inweta nkwado teknụzụ,Local languages deserve technological support
Ịkụ Ihe,Planting
Anyi nwere ọtụtụ ọkụkọ,We have many chickens
Ngwanrọ ahụ dị mfe iji.,The software is easy to use.
Iwu ọhụrụ ahụ amalitela.,The new law has taken effect.
Ntụrụndụ Ahụ Ike,Recovery
Tebụl,Table
Enwetaram akara oma,I obtained a good score
Pensụl Mkpisi,Eraser
Ọmụmatụ,Algorithm
Authorization,Authorization
Ntụgharị Okwu N'otu Asụsụ,Paraphrasing
Biko nyere m aka,Please help me
Nwa akwukwo nile no na lecture,All students are in the lecture
Digital Certificate,Digital Certificate
Akwukwo ule di njikere,The examination papers are ready
Akara m di ala,My score is low
Nyocha Ọbara,Blood Test
Ọrịa Akụrụ,Kidney Disease
Data dị mkpa maka ịzụlite model,Data is important for training a model
Mmụta Site Na Kọmputa,Computer Based Learning
Semester,Semester
Nkọwapụta Okwu,Text Classification
Virus,Virus
Ahụ Ike,Health
Nkuzi Vidiyo,Video Lecture
Ụbụrụ,Brain
Onye Nkụzi,Teacher
Anyi na-elekọta anụmanụ nke ọma,We take good care of animals
Ọrịa Nkụchi Ume,Asthma
Anyi chọrọ ezigbo dataset,We need a quality dataset
Storage,Storage
Nkuzi a di na portal,This lesson is on the portal
Insulin,Insulin
Anyi nwere practical laboratory,We have a laboratory practical
A na-azụ ọkụkọ n'ebe a.,Chickens are raised here.
Aga m ebugo assignment m,I will upload my assignment
Natural Language Processing,Nhazi Asụsụ Nkịtị
Nhazi Asụsụ Nkịtị,Natural Language Processing
Nwa Akwụkwọ,Student
Nkwado Data,Data Augmentation
Aga m eme nke oma n'ule,I will perform well in the examination
Njem,Journey
NLP na-akwado ntụgharị asụsụ,NLP supports language translation
Nyocha Okwu,Word Analysis
Jisie ike,Take care
Mkparịta Ụka,Discussion
Nchịkọta Ahịa,Economics
Prọfesọ,Professor
Nnyocha,Research
Mmiri ozuzo dara nke ọma.,It rained well.
Ọmụmụ Nna Ukwu,Undergraduate Study
Audit,Audit
Anyi na-eji ọgụgụ isi arụ ọrụ ntụgharị asụsụ,We use artificial intelligence for translation
Ọrụ Ụlọ,Assignment
Token ID,Token ID
Nchoputa anyi gosiri ezigbo nsonaazu,Our research produced good results
API,API
Phishing,Phishing
Aro,Recommendation
Nwanne nwanyị,Sister
Ngalaba,Department
Akụkọ Ihe Mere Eme,History
Nyocha Mmetụta,Sentiment Analysis
Ọgwụ Na-enweghị Prescription,Over-the-Counter Drug
Cloud Security,Cloud Security
Ọgbụgbọ,Vomiting
Ọgwụ,Medicine
Ajụjụ nile sitere n'akwukwo,All questions came from the textbook
Nhazi Data,Data Processing
CPU,CPU
Index,Index
Vulnerability,Vulnerability
Nchọpụta Isi Akụkọ,Topic Modeling
Ụlọ Akwụkwọ Sekọndrị,Secondary School
Ọgụgụ,Reading
Parameter,Parameter
Ka ọ dị mma?,Is it okay?
Aha m bụ Chinedu,My name is Chinedu
Anyi na-amụ semantics na syntax,We study semantics and syntax
Ndewo,Hello
Ọrịa Obi,Heart Disease
Ụtụtụ ọma,Good morning
NLP na-enyere kọmputa ịghọta asụsụ,NLP helps computers understand language
Backend,Backend
Ọ dị mma,It is fine
Lifecycle,Lifecycle
Ha na-agụ akwụkwọ n'ọbá akwụkwọ.,They are reading books in the library.
Ogo ntụgharị asụsụ dị mkpa,Translation quality is important
Data Integrity,Data Integrity
Update,Update
Schema,Schema
Asụsụ,Language
Login,Login
Ụmụaka na-amụta Bekee.,Children are learning English.
Ọ bụghị eziokwu,It is not true
Insert,Insert
A na-asụ Igbo n'ebe a.,Igbo is spoken here.
Isiokwu oru ngo m bu ntụgharị asụsụ igwe,My project topic is machine translation
Gradient,Nkewa Gradient
Self Attention Mechanism,Self Attention Mechanism
Gaa ụlọ,Go home
Vocabulary Size,Nha Vocabulary
Transfer Learning,Transfer Learning
Ala,Land
Aga m ede report,I will write a report
Ule a siri ike,This examination is difficult
Anyi nyochara njehie ntụgharị asụsụ,We analyzed translation errors
Nwa nwanyị,Daughter
