id,igbo,english,domain
PAR00785,Ọ dị mkpa imelite ngwanrọ.,It is important to update software.,technology
PAR00911,Nna m gara ọrụ.,My father went to work.,general
PAR00034,Nri ahụ na-atọ ụtọ.,The food is delicious.,culture
PAR00032,Ọka dị njikere maka owuwe ihe ubi.,The maize is ready for harvest.,agriculture
PAR00732,Ọ na-enwe ahụ ọkụ kemgbe ụbọchị abụọ.,He has had a fever for two days.,health
PAR00193,Ọ mụtara otu esi eji kọmputa.,He learned how to use a computer.,technology
PAR00315,Ana m ehi ụra.,I am sleeping.,general
PAR00584,Ezinụlọ ahụ mere emume ọnụ.,The family celebrated together.,religion
PAR00236,Anyị kwesịrị ichekwa omenala anyị.,We should preserve our culture.,culture
PAR00306,Anọ m n'ọrụ.,I am at work.,daily_conversation
PAR00698,Iwu ọhụrụ ahụ malitere ịrụ ọrụ.,The new law came into effect.,government
PAR00500,Ndị mmadụ na-enyere ibe ha aka.,People help one another.,culture
PAR00110,Ndị mmadụ na-ezukọ n'ebe ofufe.,People gather at the place of worship.,religion
PAR00617,Ha nyere ezinụlọ ahụ nri.,They gave the family food.,religion
PAR00078,Ọ sere foto site na ekwentị ya.,He took a photo with his phone.,technology
PAR00929,Ha siri ji na ofe.,They cooked yam and soup.,culture
PAR00883,Omenala na-ejikọta ọgbọ dị iche iche.,Culture connects different generations.,culture
PAR00083,Atụla egwu.,Do not be afraid.,daily_conversation
PAR00216,Aga m abịa echi.,I will come tomorrow.,daily_conversation
PAR00328,Kọmputa ahụ dị ọhụrụ.,The computer is new.,technology
PAR00854,Ọmụmụ ihe n'ịntanetị na-enyere ụmụ akwụkwọ aka.,Online learning helps students.,technology
PAR00378,Enwere m olileanya.,I have hope.,general
PAR00573,Ọrịa nwere ike imetụta ezinụlọ.,Illness can affect a family.,health
PAR00372,Gọọmenti na-arụ ụlọ ọgwụ.,The government builds hospitals.,government
PAR00003,Ụlọ ọrụ ahụ mepere alaka ọhụrụ.,The company opened a new branch.,business
PAR00102,Enwere m obi ụtọ.,I am happy.,daily_conversation
PAR00824,Ọ na-aṅụ ọgwụ ugboro abụọ n'ụbọchị.,He takes the medicine twice a day.,health
PAR00457,Ha na-agba mmiri n'oge ọkọchị.,They irrigate during the dry season.,agriculture
PAR00260,Obere azụmahịa na-enyere ezinụlọ aka.,Small businesses help families.,business
PAR00209,Ha na-ere nri n'ahịa.,They sell food at the market.,business
PAR00267,Ọ na-amụ asụsụ mmemme.,He is learning a programming language.,technology
PAR00006,Nwa akwụkwọ ahụ nwere nnukwu nrọ.,The student has a big dream.,education
PAR00055,Anọ m na-aga ahịa.,I am going to the market.,daily_conversation
PAR00676,Ị dị mma?,Are you fine?,daily_conversation
PAR00853,Ụlọ ọrụ ahụ na-achọ ndị ọrụ ọhụrụ.,The company is looking for new employees.,business
PAR00381,Ụmụaka kwesịrị ịga ụlọ akwụkwọ.,Children should go to school.,education
PAR00494,Ndị mmadụ na-enweta nkasi obi site n'okpukpe.,People find comfort through religion.,religion
PAR00098,Ọ na-amụ nkà dijitalụ.,He is learning digital skills.,technology
PAR00594,Ọtụtụ ndị ntorobịa na-achọ ọrụ.,Many young people are looking for jobs.,government
PAR00205,Ọbịa bịara n'ụlọ ahụ.,A visitor came to the house.,culture
PAR00815,Ndidi bụ omume ọma.,Patience is a good quality.,religion
PAR00658,Onye ọrịa kọwara ihe mgbaàmà ya.,The patient described his symptoms.,health
PAR00940,Ha na-echekwa ihe ubi n'ụlọ nkwakọba ihe.,They store the harvest in a warehouse.,agriculture
PAR00524,Ebe ofufe ahụ dị nso n'ụlọ ya.,The place of worship is near his house.,religion
PAR00923,Gọọmenti malitere mmemme ọzụzụ.,The government started a training program.,government
PAR00850,Ọtụtụ ezinụlọ na-adabere n'ọrụ ugbo.,Many families depend on farming.,agriculture
PAR00026,Gọọmenti kwesịrị ige ndị mmadụ ntị.,The government should listen to the people.,government
PAR00085,Ọ nwere ekwentị ọhụrụ.,He has a new phone.,technology
PAR00011,Ezi omume na-enyere mmadụ na obodo aka.,Good behavior helps both the individual and the community.,religion
PAR00478,Ọ dị m mkpa ịgwa gị ihe.,I need to tell you something.,daily_conversation
PAR00360,Ndị Igbo na-akwanyere ndị ọbịa ùgwù.,The Igbo people respect visitors.,culture
PAR00635,Ọ natara email ọhụrụ.,He received a new email.,technology
PAR00634,Onye nkuzi nyere akara.,The teacher gave marks.,education
PAR00466,Onye nduzi nyere ndụmọdụ.,The leader gave advice.,religion
PAR00534,Onye ọrụ zara ajụjụ onye ahịa.,The employee answered the customer's question.,business
PAR00515,Ha na-ekpe ekpere maka ezinụlọ ha.,They pray for their family.,religion
PAR00248,Ụlọ ọrụ ahụ na-enye ọrụ ọha.,The office provides public services.,government
PAR00119,Onye ọrịa kwesịrị ịlele ahụike ya.,The patient should check his health.,health
PAR00542,Ndị mmadụ na-arụkọ ọrụ na gọọmenti.,People work together with the government.,government
PAR00383,Obodo chọrọ ọkụ eletrik.,The community needs electricity.,government
PAR00251,Mechie ụzọ.,Close the door.,general
PAR00322,Mmiri dị ọcha dị mkpa.,Clean water is important.,government
PAR00688,Ndekọ ahụ nwere ozi dị mkpa.,The record contains important information.,government
PAR00197,Ọtụtụ mmadụ na-ekpe ekpere kwa ụbọchị.,Many people pray every day.,religion
PAR00847,Iwu na-enyere aka idobe udo.,Laws help maintain peace.,government
PAR00082,Ndị ọrụ ahụike na-arụsi ọrụ ike.,Health workers work hard.,health
PAR00356,Ọ gụrụ akwụkwọ nke ọma.,He studied well.,education
PAR00452,Ngwaọrụ ahụ na-arụ ọrụ nke ọma.,The device works well.,technology
PAR00796,Ọtụtụ mmadụ na-achọ ndụ dị mma.,Many people seek a good life.,religion
PAR00240,Onye ka ị na-achọ?,Who are you looking for?,general
PAR00919,Ụfọdụ omenala ka dị ndụ taa.,Some traditions are still alive today.,culture
PAR00212,Ebe nchekwa data nwere ọtụtụ ozi.,The database contains a lot of information.,technology
PAR00704,Ọ gbaghara enyi ya.,He forgave his friend.,religion
PAR00480,Dọkịta gwara ya ka ọ zuru ike.,The doctor told him to rest.,health
PAR00426,Nzukọ ahụ mere n'ụlọ nzukọ.,The meeting took place in the meeting hall.,government
PAR00228,Ndị ọrụ ugbo na-arụ ọrụ n'ubi.,The farmers work on the farm.,agriculture
PAR00838,Ezi omume na-enyere obodo aka.,Good behavior helps the community.,religion
PAR00536,"Mba, enweghị m oge.","No, I do not have time.",general
PAR00781,Ọ dị mkpa ịmụta ịgbaghara.,It is important to learn to forgive.,religion
PAR00577,Ọrụ ahụ ka na-aga n'ihu.,The work is still continuing.,government
PAR00546,Ị kwuru eziokwu.,You are right.,daily_conversation
PAR00568,Ka anyị hụ ọzọ.,See you again.,daily_conversation
PAR00944,Ụmụaka kwesịrị iri nri dị mma.,Children should eat healthy food.,health
PAR00721,Ọtụtụ ọrịa na-agbasa site na nje.,Many diseases spread through germs.,health
PAR00774,Biko kwuo ya ọzọ.,Please say it again.,daily_conversation
PAR00008,Nri ahụ dị ụtọ.,The food is delicious.,general
PAR00156,Ụzụ na-enyere mmepe obodo aka.,Technology helps community development.,technology
PAR00531,Ndị ntorobịa na-akwado omenala ha.,Young people support their culture.,culture
PAR00465,Gọọmenti na-akwado ọrụ ugbo.,The government supports agriculture.,government
PAR00458,Ọ na-agba mmiri n'ubi.,He is watering the farm.,agriculture
PAR00935,Okpukpe bụ akụkụ nke ndụ ọtụtụ mmadụ.,Religion is part of the lives of many people.,religion
PAR00763,Akụkọ ndị nna nna dị mkpa.,The stories of ancestors are important.,culture
PAR00779,Ịntanetị na-ejikọta ndị mmadụ.,The internet connects people.,technology
PAR00916,Aha m bụ Chinedu.,My name is Chinedu.,daily_conversation
PAR00589,Ịkekọrịta ihe na-egosi ịhụnanya.,Sharing shows love.,religion
PAR00915,Akwụkwọ nri ahụ dị ọhụrụ.,The vegetables are fresh.,agriculture
PAR00429,Onye mmemme meziri njehie ahụ.,The programmer fixed the error.,technology
PAR00520,Nri dị njikere.,The food is ready.,general
PAR00571,Ha nwere ọtụtụ ọkụkọ.,They have many chickens.,agriculture
PAR00495,Isi na-arịa ya nke ukwuu.,He has a severe headache.,health
PAR00425,Gọọmenti na-akwado obere azụmahịa.,The government supports small businesses.,government
PAR00430,Ha kwụrụ ụgwọ ụlọ.,They paid the rent.,business
PAR00229,Onye ọrụ ugbo na-achọpụta ọrịa n'osisi.,The farmer detects disease in the plants.,agriculture
PAR00333,Paswọọdụ na-echekwa akaụntụ.,A password protects an account.,technology
PAR00715,Ọdịnala na-akụziri anyị ihe gbasara ndị nna nna anyị.,Tradition teaches us about our ancestors.,culture
PAR00213,Ọ na-eji kọmputa arụ ọrụ.,He uses a computer to work.,technology
