igbo,english,domain,source
Ndewo,Hello,general,manual
Ụtụtụ ọma,Good morning,general,manual
Ehihie ọma,Good afternoon,general,manual
Mgbede ọma,Good evening,general,manual
Ka chi fo,Good night,general,manual
Kedu?,How are you?,general,manual
Adị m mma,I am fine,general,manual
Daalụ,Thank you,general,manual
Nnọọ,Welcome,general,manual
Biko,Please,general,manual
Ka ọ dị?,How is it?,general,manual
Ọ dị mma,It is fine,general,manual
Ka emesia,See you later,general,manual
Nọrọ nke ọma,Stay well,general,manual
Jisie ike,Take care,general,manual
Ka ọ dị gị?,How are you doing?,general,manual
Ekele m gị,I greet you,general,manual
Daalụ nke ukwuu,Thank you very much,general,manual
Enwere m obi ụtọ,I am happy,general,manual
Ọ dị m nwute,I am sorry,general,manual
