id,igbo,english,domain
BUS001,Ọ na-arụ ọrụ n'ụlọ ọrụ.,He works in an office.,business
BUS002,Ụlọ ọrụ ahụ na-ere ngwaahịa.,The company sells products.,business
BUS003,Onye ọchụnta ego malitere azụmahịa ọhụrụ.,The entrepreneur started a new business.,business
BUS004,Azụmahịa ahụ na-aga nke ọma.,The business is doing well.,business
BUS005,Ọtụtụ mmadụ na-azụ ngwaahịa a.,Many people buy this product.,business
BUS006,Onye ahịa zụtara ngwaahịa ahụ.,The customer bought the product.,business
BUS007,Ụlọ ahịa ahụ meghere n'ụtụtụ.,The shop opened in the morning.,business
BUS008,Ụlọ ahịa ahụ mechiri n'abalị.,The shop closed at night.,business
BUS009,Onye na-ere ahịa na-ere uwe.,The trader sells clothes.,business
BUS010,Ha na-ere nri n'ahịa.,They sell food at the market.,business
BUS011,Ọnụ ahịa ngwaahịa ahụ dị elu.,The price of the product is high.,business
BUS012,Ọnụ ahịa ngwaahịa ahụ dị ala.,The price of the product is low.,business
BUS013,Ọnụ ahịa ahụ gbanwere.,The price changed.,business
BUS014,Ọtụtụ ndị mmadụ chọrọ ngwaahịa a.,Many people want this product.,business
BUS015,Ngwaahịa a dị mma.,This product is good.,business
BUS016,Ngwaahịa ahụ adịghị mma.,The product is not good.,business
BUS017,Onye ahịa nwere ajụjụ.,The customer has a question.,business
BUS018,Onye ọrụ zara ajụjụ onye ahịa.,The employee answered the customer's question.,business
BUS019,Onye ahịa kpọrọ ụlọ ọrụ ahụ.,The customer called the company.,business
BUS020,Ha nyere onye ahịa aka.,They helped the customer.,business
BUS021,Ọrụ ndị ahịa dị mkpa.,Customer service is important.,business
BUS022,Onye ọrụ na-arụsi ọrụ ike.,The employee works hard.,business
BUS023,Ndị ọrụ bịara n'oge.,The employees arrived on time.,business
BUS024,Onye njikwa nwere nzukọ.,The manager has a meeting.,business
BUS025,Nzukọ ahụ malitere n'elekere iri.,The meeting started at ten o'clock.,business
BUS026,Ha kwurịtara banyere azụmahịa.,They discussed the business.,business
BUS027,Onye njikwa nyere iwu ọhụrụ.,The manager gave a new instruction.,business
BUS028,Ụlọ ọrụ ahụ nwere ọtụtụ ndị ọrụ.,The company has many employees.,business
BUS029,Ụlọ ọrụ ahụ na-achọ ndị ọrụ ọhụrụ.,The company is looking for new employees.,business
BUS030,Ọ tinyere akwụkwọ maka ọrụ.,He applied for a job.,business
BUS031,Ọ gara ajụjụ ọnụ maka ọrụ.,He went for a job interview.,business
BUS032,Ụlọ ọrụ ahụ goro onye ọrụ ọhụrụ.,The company hired a new employee.,business
BUS033,Onye ọrụ ahụ nwetara ọrụ ahụ.,The employee got the job.,business
BUS034,Ọ na-arụ ọrụ oge niile.,He works full time.,business
BUS035,Ọ na-arụ ọrụ nwa oge.,He works part time.,business
BUS036,Onye ọrụ nwetara ụgwọ ọnwa ya.,The employee received his salary.,business
BUS037,Ụgwọ ọnwa ya dị mma.,His salary is good.,business
BUS038,Ọrụ a chọrọ ahụmahụ.,This job requires experience.,business
BUS039,Ọrụ a chọrọ nkà.,This job requires skills.,business
BUS040,Ọ mụtara nkà ọhụrụ.,He learned a new skill.,business
BUS041,Azụmahịa chọrọ ezigbo atụmatụ.,Business requires good planning.,business
BUS042,Onye ọchụnta ego mere atụmatụ.,The entrepreneur made a plan.,business
BUS043,Ha tụlere atụmatụ azụmahịa ahụ.,They discussed the business plan.,business
BUS044,Atụmatụ ahụ dị mma.,The plan is good.,business
BUS045,Azụmahịa ahụ nwere nnukwu ihe ịma aka.,The business has a major challenge.,business
BUS046,Ha chọtara ngwọta maka nsogbu ahụ.,They found a solution to the problem.,business
BUS047,Ụlọ ọrụ ahụ na-eme nyocha ahịa.,The company conducts market research.,business
BUS048,Nnyocha ahịa nyere aka.,The market research was helpful.,business
BUS049,Ha chọrọ ịmata ihe ndị ahịa chọrọ.,They want to know what customers want.,business
BUS050,Onye ahịa nyere echiche ya.,The customer gave his opinion.,business
BUS051,Ụlọ ọrụ ahụ na-eme mgbasa ozi.,The company advertises.,business
BUS052,Mgbasa ozi ahụ dọtara ọtụtụ ndị ahịa.,The advertisement attracted many customers.,business
BUS053,Ha kpọsara ngwaahịa ọhụrụ.,They advertised a new product.,business
BUS054,Ngwaahịa ọhụrụ ahụ dị n'ahịa.,The new product is in the market.,business
BUS055,Ụlọ ọrụ ahụ kwalitere ngwaahịa ya.,The company promoted its product.,business
BUS056,Ọtụtụ mmadụ hụrụ mgbasa ozi ahụ.,Many people saw the advertisement.,business
BUS057,Ha rere ọtụtụ ngwaahịa.,They sold many products.,business
BUS058,Ụlọ ọrụ ahụ nwetara uru.,The company made a profit.,business
BUS059,Azụmahịa ahụ nwetara nnukwu uru.,The business made a large profit.,business
BUS060,Ụlọ ọrụ ahụ tụfuru ego.,The company lost money.,business
BUS061,Ha chọrọ ịbawanye uru.,They want to increase profit.,business
BUS062,Ọnụ ego azụmahịa ahụ mụbara.,The cost of the business increased.,business
BUS063,Ụlọ ọrụ ahụ na-akwụ ụgwọ.,The company pays expenses.,business
BUS064,Ha kwụrụ ụgwọ ụlọ.,They paid the rent.,business
BUS065,Onye ahịa kwụrụ ụgwọ ngwaahịa ahụ.,The customer paid for the product.,business
BUS066,Ọ kwụrụ ụgwọ site na ụlọ akụ.,He paid through the bank.,business
BUS067,Onye ahịa jiri ego kwụọ ụgwọ.,The customer paid with cash.,business
BUS068,Ụlọ ọrụ ahụ nwere akaụntụ ụlọ akụ.,The company has a bank account.,business
BUS069,Ha debere ego n'ụlọ akụ.,They deposited money in the bank.,business
BUS070,Ọ wepụtara ego n'ụlọ akụ.,He withdrew money from the bank.,business
BUS071,Azụmahịa chọrọ ego.,Business requires money.,business
BUS072,Onye ọchụnta ego gbaziri ego.,The entrepreneur borrowed money.,business
