igbo,english,domain,source
Ụgbọ ala,Car,general,manual
Bọs,Bus,general,manual
Ụgbọ elu,Airplane,general,manual
Ụgbọ mmiri,Boat,general,manual
Okporo ụzọ,Road,general,manual
Onye ọkwọ ụgbọ ala,Driver,general,manual
Tiketi,Ticket,general,manual
Njem,Journey,general,manual
Ụzọ,Route,general,manual
Ebe ụgbọ ala na-akwụsị,Bus Stop,general,manual
Ọdụ ụgbọ elu,Airport,general,manual
Ọdụ ụgbọ mmiri,Seaport,general,manual
Ana m eje ije,I am walking,general,manual
Ana m ewere ụgbọ ala,I am taking a car,general,manual
Njem ahụ dị ogologo,The journey is long,general,manual
Kedu ebe ọdụ ụgbọ ala dị?,Where is the bus stop?,general,manual
Bọs ahụ eruola,The bus has arrived,general,manual
Anyi na-eme njem taa,We are travelling today,general,manual
Ụgbọ ala ahụ mebiri,The car broke down,general,manual
Njem ọma,Safe journey,general,manual
