igbo,english,domain,source
Aga m ede ule echi,I will write an examination tomorrow,Education,Manual
Nsonaazu ule aputala,The examination result has been released,Education,Manual
Anom na akwadebe maka ule,I am preparing for an examination,Education,Manual
Ule a siri ike,This examination is difficult,Education,Manual
Aga m agu akwukwo abalị a,I will study tonight,Education,Manual
Anyi nwere ule mgbako taa,We had a mathematics examination today,Education,Manual
Enwetaram akara oma,I obtained a good score,Education,Manual
Akara m ka mma ugbu a,My grades are better now,Education,Manual
Anyi natara nsonaazu anyi,We received our results,Education,Manual
Aga m eme nke oma n'ule,I will perform well in the examination,Education,Manual
Onye nkuzi nyochara akwukwo ule anyi,The teacher marked our examination scripts,Education,Manual
Anyi mechara ule anyi,We completed our examination,Education,Manual
Aga m ede ule ikpeazu,I will write the final examination,Education,Manual
Ule semester ga amalite n'izu na-abia,Semester examinations will begin next week,Education,Manual
Akwukwo ule di njikere,The examination papers are ready,Education,Manual

Aga m akwadebe nke oma maka ule,I will prepare properly for the examination,Education,Manual
Anyi malitere ule n'oge,We started the examination on time,Education,Manual
Onye nlekota ule nyochara akwukwo anyi,The invigilator checked our papers,Education,Manual
Nwa akwukwo ahu gafere ule,The student passed the examination,Education,Manual
O dara ule ahu,He failed the examination,Education,Manual
Akara m di elu,My score is high,Education,Manual
Akara m di ala,My score is low,Education,Manual
Ajụjụ nile sitere n'akwukwo,All questions came from the textbook,Education,Manual
Anyi nwetara nsonaazu n'izu a,We received results this week,Education,Manual
Nkwadebe na-eweta ezigbo nsonaazu,Preparation leads to good results,Education,Manual

Nnwale,Examination,education,manual
Nnyocha,Test,education,manual
Ajụjụ,Question,education,manual
Azịza,Answer,education,manual
Mpempe Ajụjụ,Question Paper,education,manual
Nsonaazụ,Result,education,manual
Akara,Score,education,manual
Pasent,Percentage,education,manual
Nnyocha N'etiti Semester,Mid Semester Test,education,manual
Nnwale Ikpeazụ,Final Examination,education,manual
Nnyocha Ọnụ,Oral Test,education,manual
Nnyocha Ederede,Written Test,education,manual
Nlekọta Nnwale,Examination Supervision,education,manual
Onye Nlekọta Nnwale,Invigilator,education,manual
Ndebanye Nnwale,Examination Registration,education,manual
Ụbọchị Nnwale,Examination Date,education,manual
Ụlọ Nnwale,Examination Hall,education,manual
Mmejọ Nnwale,Examination Malpractice,education,manual
Nsonaazụ Ọma,Good Result,education,manual
Nsonaazụ Ọjọọ,Poor Result,education,manual
Ịga Nke Ọma,Pass,education,manual
Ịda Nnwale,Fail,education,manual
Ntụle Akara,Grading,education,manual
A+,A Plus,education,manual
B+,B Plus,education,manual
C,Credit,education,manual
D,Pass Grade,education,manual
F,Fail Grade,education,manual
Nyocha Nsonaazụ,Result Analysis,education,manual
Asambodo Nsonaazụ,Statement of Result,education,manual
