id,igbo,english,domain,source,level,contributor,verified,date_added
GOV001,Gọvanọ kwuru okwu taa.,The governor spoke today.,government,manual,basic,groupA,Yes,2026-06-24
GOV002,A họpụtara onye isi ọhụrụ.,A new leader was elected.,government,manual,basic,groupA,Yes,2026-06-24
GOV003,Ụlọ omeiwu zukọrọ.,The parliament held a meeting.,government,manual,basic,groupA,Yes,2026-06-24
GOV004,Iwu ọhụrụ ahụ amalitela.,The new law has taken effect.,government,manual,basic,groupA,Yes,2026-06-24
GOV005,Ụmụ amaala nwere ikike.,Citizens have rights.,government,manual,basic,groupA,Yes,2026-06-24
GOV006,A ga-eme ntuli aka echi.,The election will take place tomorrow.,government,manual,basic,groupA,Yes,2026-06-24
GOV007,Onye isi ala bịara obodo ahụ.,The president visited the town.,government,manual,basic,groupA,Yes,2026-06-24
GOV008,Minista ahụ nyere akụkọ.,The minister gave a report.,government,manual,basic,groupA,Yes,2026-06-24
GOV009,A na-anakọta ụtụ isi.,Taxes are collected.,government,manual,basic,groupA,Yes,2026-06-24
GOV010,A ga-ewu ụzọ ọhụrụ.,A new road will be constructed.,government,manual,basic,groupA,Yes,2026-06-24
GOV011,Ọfịs ahụ meghere n'ụtụtụ.,The office opened in the morning.,government,manual,basic,groupA,Yes,2026-06-24
GOV012,A kwadoro mmefu ego.,The budget was approved.,government,manual,basic,groupA,Yes,2026-06-24
GOV013,A ga-eme nyocha.,An investigation will be conducted.,government,manual,basic,groupA,Yes,2026-06-24
GOV014,Ha bịanyere aka na nkwekọrịta.,They signed the agreement.,government,manual,basic,groupA,Yes,2026-06-24
GOV015,Obodo chọrọ mmepe.,The community needs development.,government,manual,basic,groupA,Yes,2026-06-24
