id,igbo,english,domain
CUL001,Ọdịnala bụ akụkụ dị mkpa nke ndụ ndị Igbo.,Tradition is an important part of Igbo life.,culture
CUL002,Ndị Igbo nwere ọtụtụ omenala.,The Igbo people have many traditions.,culture
CUL003,Ọdịnala na-akụziri anyị ihe gbasara ndị nna nna anyị.,Tradition teaches us about our ancestors.,culture
CUL004,Ezinụlọ ahụ na-asọpụrụ omenala ha.,The family respects their traditions.,culture
CUL005,Anyị kwesịrị ichekwa omenala anyị.,We should preserve our culture.,culture
CUL006,Ụmụaka na-amụta omenala n'aka ndị okenye.,Children learn traditions from elders.,culture
CUL007,Ndị okenye na-akụziri ụmụaka akụkọ ọdịnala.,Elders teach children traditional stories.,culture
CUL008,Akụkọ ọdịnala na-akụzi ọtụtụ ihe.,Traditional stories teach many things.,culture
CUL009,Nne ochie kọrọ akụkọ n'abalị.,The grandmother told a story at night.,culture
CUL010,Ụmụaka nọdụrụ gee akụkọ ahụ ntị.,The children sat and listened to the story.,culture
CUL011,Egwu bụ akụkụ nke omenala Igbo.,Music is part of Igbo culture.,culture
CUL012,Ndị mmadụ na-agba egwu n'emume.,People dance at celebrations.,culture
CUL013,Ha na-abụ abụ ọdịnala.,They sing traditional songs.,culture
CUL014,Egwu ahụ na-atọ ụtọ.,The music is enjoyable.,culture
CUL015,Ndị egwu na-akpọ ngwá egwu.,The musicians play musical instruments.,culture
CUL016,Ụbọ aka bụ otu n'ime ngwá egwu ọdịnala.,The ubo-aka is one of the traditional musical instruments.,culture
CUL017,Ọtụtụ mmadụ hụrụ egwu ọdịnala n'anya.,Many people love traditional music.,culture
CUL018,Egwu na-ejikọta ndị mmadụ ọnụ.,Music brings people together.,culture
CUL019,Ndị mmadụ na-eji egwu eme emume.,People use music for celebrations.,culture
CUL020,Ha na-akpọ egwu n'oge emume.,They play music during celebrations.,culture
CUL021,Ịgba egwu bụ akụkụ nke emume.,Dancing is part of the celebration.,culture
CUL022,Ụmụaka na-agba egwu nke ọma.,The children dance well.,culture
CUL023,Ha yi uwe ọdịnala.,They wore traditional clothes.,culture
CUL024,Uwe ọdịnala ahụ mara mma.,The traditional clothing is beautiful.,culture
CUL025,Ndị inyom yi akwa mara mma.,The women wore beautiful clothing.,culture
CUL026,Ndị nwoke yi uwe ọdịnala.,The men wore traditional clothes.,culture
CUL027,Uwe ọdịnala na-egosi omenala mmadụ.,Traditional clothing shows a person's culture.,culture
CUL028,Ndị mmadụ na-eji akwa eme emume.,People wear traditional clothing for celebrations.,culture
CUL029,Emume ọdịnala ahụ malitere n'ụtụtụ.,The traditional celebration began in the morning.,culture
CUL030,Ọtụtụ ndị mmadụ bịara emume ahụ.,Many people came to the celebration.,culture
CUL031,Emume ahụ mere n'obodo.,The celebration took place in the town.,culture
CUL032,Ndị obodo kwadebere maka emume ahụ.,The community prepared for the celebration.,culture
CUL033,Emume ahụ gara nke ọma.,The celebration went well.,culture
CUL034,Ha ji obi ụtọ mee emume ahụ.,They celebrated happily.,culture
CUL035,Ndị mmadụ na-enye ibe ha ekele n'emume.,People greet one another at celebrations.,culture
CUL036,Ọbịa bịara n'ụlọ ahụ.,A visitor came to the house.,culture
CUL037,Ha nabatara ọbịa nke ọma.,They welcomed the visitor warmly.,culture
CUL038,Ịnabata ọbịa bụ omenala dị mkpa.,Welcoming visitors is an important tradition.,culture
CUL039,Ndị Igbo na-akwanyere ndị ọbịa ùgwù.,The Igbo people respect visitors.,culture
CUL040,Ha nyere ọbịa nri.,They gave food to the visitor.,culture
CUL041,Nri ọdịnala bụ akụkụ nke omenala.,Traditional food is part of culture.,culture
CUL042,Ndị mmadụ na-esi nri ọdịnala n'emume.,People cook traditional food at celebrations.,culture
CUL043,Ụlọ ahụ jupụtara n'isi nri.,The house was filled with the smell of food.,culture
CUL044,Ha siri ji na ofe.,They cooked yam and soup.,culture
CUL045,Nri ahụ na-atọ ụtọ.,The food is delicious.,culture
CUL046,Ezinụlọ ahụ riri nri ọnụ.,The family ate together.,culture
CUL047,Ịkekọrịta nri na-eme ka ndị mmadụ dịrị n'otu.,Sharing food brings people together.,culture
CUL048,Ndị obodo na-akwadebe nri maka ndị ọbịa.,The community prepares food for visitors.,culture
CUL049,Ha na-eji ihe ọdịnala akwadebe nri.,They use traditional items to prepare food.,culture
CUL050,Nri ọdịnala na-egosi akụkọ obodo.,Traditional food reflects the history of a community.,culture
CUL051,Aha bụ akụkụ dị mkpa nke omenala.,Names are an important part of culture.,culture
CUL052,Ndị nne na nna na-ahọrọ aha ụmụ ha nke ọma.,Parents choose their children's names carefully.,culture
CUL053,Aha ahụ nwere ihe ọ pụtara.,The name has a meaning.,culture
CUL054,Ha kpọrọ nwa ahụ aha nna nna ya.,They named the child after his grandfather.,culture
CUL055,Aha ụfọdụ na-echeta ndị nna nna.,Some names remember ancestors.,culture
CUL056,Ndị Igbo na-asọpụrụ ndị nna nna ha.,The Igbo people respect their ancestors.,culture
CUL057,Anyị na-echeta akụkọ ndị nna nna anyị.,We remember the stories of our ancestors.,culture
CUL058,Ndị okenye na-akọ akụkọ banyere oge gara aga.,Elders tell stories about the past.,culture
CUL059,Akụkọ ndị nna nna dị mkpa.,The stories of ancestors are important.,culture
CUL060,Anyị kwesịrị ịmụta ihe n'akụkọ ihe mere eme.,We should learn from history.,culture
CUL061,Obodo ahụ nwere akụkọ ogologo.,The town has a long history.,culture
CUL062,Ụlọ ochie ahụ bụ akụkụ nke akụkọ obodo.,The old building is part of the town's history.,culture
CUL063,Ndị obodo na-echekwa ebe akụkọ ihe mere eme.,The community preserves historical places.,culture
CUL064,Akụkọ ihe mere eme na-akụziri anyị ihe.,History teaches us lessons.,culture
CUL065,Ụmụ akwụkwọ na-amụ banyere omenala ha.,Students study their culture.,culture
CUL066,Ụlọ akwụkwọ ahụ na-akụzi akụkọ ọdịnala.,The school teaches traditional history.,culture
CUL067,Ndị nkuzi na-akọ akụkọ banyere obodo.,Teachers tell stories about the community.,culture
CUL068,Ụmụaka kwesịrị ịma omenala ha.,Children should know their culture.,culture
CUL069,Ọmụmụ omenala na-enyere ụmụaka aka.,Learning about culture helps children.,culture
CUL070,Omenala na-ejikọta ọgbọ dị iche iche.,Culture connects different generations.,culture
CUL071,Ọgbọ ọhụrụ na-amụta ihe n'aka ndị okenye.,The new generation learns from elders.,culture
CUL072,Ndị ntorobịa na-akwado omenala ha.,Young people support their culture.,culture
CUL073,Omenala na-agbanwe ka oge na-aga.,Culture changes over time.,culture
CUL074,Ụfọdụ omenala ka dị ndụ taa.,Some traditions are still alive today.,culture
CUL075,Anyị kwesịrị ịkwanyere omenala dị iche iche ùgwù.,We should respect different cultures.,culture
CUL076,Obodo dị iche iche nwere omenala dị iche iche.,Different communities have different cultures.,culture
CUL077,Ndị mmadụ na-asụ asụsụ dị iche iche.,People speak different languages.,culture
CUL078,Asụsụ bụ akụkụ dị mkpa nke omenala.,Language is an important part of culture.,culture
CUL079,Igbo bụ asụsụ ndị Igbo.,Igbo is the language of the Igbo people.,culture
CUL080,Asụsụ na-echekwa akụkọ obodo.,Language preserves the history of a community.,culture
CUL081,Ndị nne na nna na-akụziri ụmụ ha Igbo.,Parents teach their children Igbo.,culture
CUL082,Ụmụaka kwesịrị ịmụ asụsụ ha.,Children should learn their language.,culture
CUL083,Asụsụ na-enyere ndị mmadụ aka ịkparịta ụka.,Language helps people communicate.,culture
CUL084,Ndị obodo na-eji Igbo eme emume.,The community uses Igbo during celebrations.,culture
CUL085,Ọtụtụ mmadụ na-asụ Igbo n'ụlọ.,Many people speak Igbo at home.,culture
CUL086,Ịkwanyere ndị okenye ùgwù bụ omenala dị mkpa.,Respecting elders is an important tradition.,culture
CUL087,Ụmụaka na-ekele ndị okenye.,Children greet elders.,culture
CUL088,Ndị okenye na-enye ndụmọdụ.,Elders give advice.,culture
CUL089,Anyị kwesịrị ige ndụmọdụ ndị okenye ntị.,We should listen to elders' advice.,culture
CUL090,Ndị mmadụ na-enyere ibe ha aka.,People help one another.,culture
CUL091,Ịrụkọ ọrụ ọnụ bụ omenala dị mma.,Working together is a good tradition.,culture
CUL092,Ndị obodo rụkọrọ ọrụ ọnụ.,The community worked together.,culture
CUL093,Ha nyere ezinụlọ ahụ aka.,They helped the family.,culture
CUL094,Ịdị n'otu na-eme ka obodo sie ike.,Unity makes a community strong.,culture
CUL095,Omenala na-akụzi ịdị n'otu.,Culture teaches unity.,culture
CUL096,Ndị Igbo ji ezinụlọ kpọrọ ihe.,The Igbo people value family.,culture
CUL097,Ezinụlọ bụ isi obodo.,The family is the foundation of the community.,culture
