id,igbo,english,domain
AGR001,Onye ọrụ ugbo gara n'ubi.,The farmer went to the farm.,agriculture
AGR002,Ha kụrụ ọka.,They planted maize.,agriculture
AGR003,Mmiri ozuzo dara nke ọma.,It rained well.,agriculture
AGR004,A na-akụ ji n'oge opupu ihe ubi.,Yam is planted during the planting season.,agriculture
AGR005,Onye ọrụ ugbo na-akụ mkpụrụ.,The farmer is planting seeds.,agriculture
AGR006,Ndị ọrụ ugbo na-arụ ọrụ n'ubi.,The farmers work on the farm.,agriculture
AGR007,Ọka toro nke ọma.,The maize grew well.,agriculture
AGR008,Ji ahụ buru ibu.,That yam is big.,agriculture
AGR009,Anyị kụrụ osikapa n'ubi.,We planted rice on the farm.,agriculture
AGR010,Ọrụ ugbo bụ ọrụ dị mkpa.,Farming is an important occupation.,agriculture
AGR011,Onye ọrụ ugbo na-eji hoe arụ ọrụ.,The farmer uses a hoe to work.,agriculture
AGR012,Ọ na-agba mmiri n'ubi.,He is watering the farm.,agriculture
AGR013,Ha na-akụ akwụkwọ nri.,They are planting vegetables.,agriculture
AGR014,Akwụkwọ nri ahụ dị ọhụrụ.,The vegetables are fresh.,agriculture
AGR015,Onye ọrụ ugbo zụtara mkpụrụ ọka.,The farmer bought maize seeds.,agriculture
AGR016,Anyị ga-akụ ihe ọkụkụ echi.,We will plant crops tomorrow.,agriculture
AGR017,Anụ ụlọ chọrọ nri.,Domestic animals need food.,agriculture
AGR018,Ọzụzụ anụ ụlọ na-eweta ego.,Livestock farming brings income.,agriculture
AGR019,Onye ọrụ ugbo na-azụ ehi.,The farmer raises cattle.,agriculture
AGR020,Ha nwere ọtụtụ ọkụkọ.,They have many chickens.,agriculture
AGR021,Ọkụkọ ahụ tọrọ akwa.,The chicken laid an egg.,agriculture
AGR022,Ehi ahụ na-enye mmiri ara.,The cow gives milk.,agriculture
AGR023,Onye ọrụ ugbo na-azụ ewu.,The farmer raises goats.,agriculture
AGR024,Ewu ahụ riri ahịhịa.,The goat ate grass.,agriculture
AGR025,Ha na-elekọta anụ ụlọ nke ọma.,They take good care of the livestock.,agriculture
AGR026,Ọrụ ugbo chọrọ ndidi.,Farming requires patience.,agriculture
AGR027,Onye ọrụ ugbo na-arụsi ọrụ ike.,The farmer works hard.,agriculture
AGR028,Anyị gara ịtụ ihe ubi.,We went to harvest the crops.,agriculture
AGR029,Ha na-ewe ihe ubi n'oge.,They harvest the crops on time.,agriculture
AGR030,Owuwe ihe ubi malitere.,The harvest began.,agriculture
AGR031,Ọka dị njikere maka owuwe ihe ubi.,The maize is ready for harvest.,agriculture
AGR032,Ha kpọkọtara ihe ubi.,They gathered the harvest.,agriculture
AGR033,Onye ọrụ ugbo rere ihe ubi ya.,The farmer sold his harvest.,agriculture
AGR034,Ahịa ihe ubi dị mma taa.,The market for farm produce is good today.,agriculture
AGR035,Ọnụ ahịa ọka mụbara.,The price of maize increased.,agriculture
AGR036,Ọnụ ahịa ji dara.,The price of yam decreased.,agriculture
AGR037,Ha rere akwụkwọ nri n'ahịa.,They sold vegetables at the market.,agriculture
