igbo,english,domain,source
Aga m ede WAEC,I will write WAEC,Education,Manual
Aga m ede NECO,I will write NECO,Education,Manual
Aga m ede JAMB,I will write JAMB,Education,Manual
Biology bu isiokwu m kacha amasiri,Biology is my favourite subject,Education,Manual
Kemistri siri ike,Chemistry is difficult,Education,Manual
Physics na-ato m uto,Physics interests me,Education,Manual
Anyi nwere practical taa,We have practical today,Education,Manual
Onye nkuzi sayensi abiara taa,The science teacher came today,Education,Manual
Akwukwo m di n'akwukwo nchekwa m,My notebook is in my school bag,Education,Manual
Anyi na akwadebe maka ule,We are preparing for examinations,Education,Manual

Ụlọ Akwụkwọ Sekọndrị,Secondary School,education,manual
Nwa Akwụkwọ,Student,education,manual
Isi Nkụzi,Principal,education,manual
Vice Principal,Vice Principal,education,manual
Nkuzi,Lesson,education,manual
Fiziks,Physics,education,manual
Kemistri,Chemistry,education,manual
Bayoloji,Biology,education,manual
Mgbakọ,Mathematics,education,manual
Bekee,English Language,education,manual
Igbo,Igbo Language,education,manual
Gọọmenti,Government,education,manual
Akụkọ Ihe Mere Eme,History,education,manual
Nchịkọta Ahịa,Economics,education,manual
Akaụntụ,Accounting,education,manual
Geography,Geography,education,manual
Nnyocha,Test,education,manual
Nnwale,Examination,education,manual
WAEC,WAEC,education,manual
NECO,NECO,education,manual
JAMB,JAMB,education,manual
Ụlọ Nkuzi,Classroom,education,manual
Ọbá Akwụkwọ,Library,education,manual
Laboratorị,Laboratory,education,manual
Ọrụ Ụlọ,Assignment,education,manual
Nsonaazụ,Result,education,manual
Asambodo,Certificate,education,manual
Ngụsị Akwụkwọ,Graduation,education,manual
Mmepe Nwa,Student Development,education,manual
Nduzi,Guidance,education,manual
