id,igbo,english,domain,source,level,contributor,verified,date_added
TEC001,Kọmputa ahụ na-arụ ọrụ nke ọma.,The computer is working properly.,technology,manual,basic,groupA,Yes,2026-06-24
TEC002,Ana m eji ekwentị m eme ihe.,I am using my phone.,technology,manual,basic,groupA,Yes,2026-06-24
TEC003,Ịntanetị ahụ dị ngwa.,The internet is fast.,technology,manual,basic,groupA,Yes,2026-06-24
TEC004,Ha wụnyere ngwanrọ ọhụrụ.,They installed new software.,technology,manual,basic,groupA,Yes,2026-06-24
TEC005,Paswọọdụ ahụ dị nchebe.,The password is secure.,technology,manual,basic,groupA,Yes,2026-06-24
TEC006,Sava ahụ kwụsịrị ịrụ ọrụ.,The server stopped working.,technology,manual,basic,groupA,Yes,2026-06-24
TEC007,Ana m ebudata faịlụ ahụ.,I am downloading the file.,technology,manual,basic,groupA,Yes,2026-06-24
TEC008,Ana m ezipu ozi email.,I am sending an email.,technology,manual,basic,groupA,Yes,2026-06-24
TEC009,Ekwentị ọhụrụ ahụ dị mma.,The new phone is good.,technology,manual,basic,groupA,Yes,2026-06-24
TEC010,Ngwa ahụ chọrọ mmelite.,The application needs an update.,technology,manual,basic,groupA,Yes,2026-06-24
TEC011,Ana m eji Wi-Fi.,I am using Wi-Fi.,technology,manual,basic,groupA,Yes,2026-06-24
TEC012,Nchekwa data dị mkpa.,Data security is important.,technology,manual,basic,groupA,Yes,2026-06-24
TEC013,Robot ahụ na-arụ ọrụ ngwa ngwa.,The robot works quickly.,technology,manual,basic,groupA,Yes,2026-06-24
TEC014,Ana m ede koodu ọhụrụ.,I am writing new code.,technology,manual,basic,groupA,Yes,2026-06-24
TEC015,Sistemụ ahụ malitere ọzọ.,The system restarted.,technology,manual,basic,groupA,Yes,2026-06-24
TEC016,Faịlụ ahụ echekwara nke ọma.,The file was saved successfully.,technology,manual,basic,groupA,Yes,2026-06-24
TEC017,Ngwaọrụ ahụ nwere batrị ọhụrụ.,The device has a new battery.,technology,manual,basic,groupA,Yes,2026-06-24
TEC018,Ha jikọtara netwọk ahụ.,They connected the network.,technology,manual,basic,groupA,Yes,2026-06-24
TEC019,Ngwanrọ ahụ dị mfe iji.,The software is easy to use.,technology,manual,basic,groupA,Yes,2026-06-24
TEC020,Ana m echekwa akwụkwọ ahụ n'igwe ojii.,I am saving the document to the cloud.,technology,manual,basic,groupA,Yes,2026-06-24
