id,igbo,english,domain
REL001,Okpukpe bụ akụkụ nke ndụ ọtụtụ mmadụ.,Religion is part of the lives of many people.,religion
REL002,Ndị mmadụ nwere nkwenkwe dị iche iche.,People have different beliefs.,religion
REL003,Ọtụtụ mmadụ na-ekpe ekpere kwa ụbọchị.,Many people pray every day.,religion
REL004,Ọ na-aga ebe ofufe kwa izu.,He goes to a place of worship every week.,religion
REL005,Ebe ofufe ahụ dị nso n'ụlọ ya.,The place of worship is near his house.,religion
REL006,Ndị mmadụ na-ezukọ n'ebe ofufe.,People gather at the place of worship.,religion
REL007,Onye ụkọchukwu na-eduzi ofufe.,The priest leads the worship service.,religion
REL008,Onye ụkọchukwu kọrọ ozi ọma.,The priest delivered a sermon.,religion
REL009,Ndị mmadụ gere ozi ọma ahụ ntị.,People listened to the sermon.,religion
REL010,Ekpere dị mkpa nye ọtụtụ ndị mmadụ.,Prayer is important to many people.,religion
REL011,Ha na-ekpe ekpere maka ezinụlọ ha.,They pray for their family.,religion
REL012,Nne na-ekpe ekpere maka ụmụ ya.,The mother prays for her children.,religion
REL013,Nna ahụ na-ekpe ekpere kwa ụtụtụ.,The father prays every morning.,religion
REL014,Ụmụaka na-ekpe ekpere tupu ha erie nri.,The children pray before they eat.,religion
REL015,Ha kelere Chineke maka nri.,They thanked God for the food.,religion
REL016,Ọ na-ekele Chineke kwa ụbọchị.,He thanks God every day.,religion
REL017,Ndị mmadụ na-arịọ maka enyemaka.,People ask for help.,religion
REL018,Ọ na-arịọ maka nduzi.,He asks for guidance.,religion
REL019,Ha nwere okwukwe.,They have faith.,religion
REL020,Okwukwe na-enye ọtụtụ mmadụ olileanya.,Faith gives many people hope.,religion
REL021,Olileanya dị mkpa n'oge nsogbu.,Hope is important during difficult times.,religion
REL022,Ndị mmadụ na-enweta nkasi obi site n'okpukpe.,People find comfort through religion.,religion
REL023,Okpukpe na-akụzi ịhụnanya.,Religion teaches love.,religion
REL024,Okpukpe na-akụzi ịdị mma.,Religion teaches goodness.,religion
REL025,Ọ dị mkpa ịkwanyere ndị ọzọ ùgwù.,It is important to respect others.,religion
REL026,Ndị mmadụ kwesịrị inyere ibe ha aka.,People should help one another.,religion
REL027,Ịhụnanya na-eme ka ndị mmadụ dịrị n'otu.,Love brings people together.,religion
REL028,Obodo ahụ nwere ọtụtụ ebe ofufe.,The town has many places of worship.,religion
REL029,Ndị mmadụ na-aga ofufe n'ụtụtụ.,People go to worship in the morning.,religion
REL030,Ofufe ahụ malitere n'oge.,The worship service started on time.,religion
REL031,Ofufe ahụ were otu awa.,The worship service lasted one hour.,religion
REL032,Ndị mmadụ bụrụ abụ n'oge ofufe.,People sang during the worship service.,religion
REL033,Ha na-agụ akwụkwọ nsọ.,They read the holy book.,religion
REL034,Onye nduzi gụrụ akụkụ akwụkwọ nsọ.,The leader read a passage from the holy book.,religion
REL035,Ụmụaka mụtara ihe n'okpukpe.,Children learned about religion.,religion
REL036,Ndị nne na nna na-akụziri ụmụ ha nkwenkwe ha.,Parents teach their children their beliefs.,religion
REL037,Ezinụlọ ahụ na-ekpe ekpere ọnụ.,The family prays together.,religion
REL038,Ezinụlọ na-aga ofufe ọnụ.,The family goes to worship together.,religion
REL039,Ndị enyi zutere n'ebe ofufe.,Friends met at the place of worship.,religion
REL040,Ndị obodo na-akwado ibe ha.,Members of the community support one another.,religion
REL041,Ha nyere ezinụlọ ahụ nri.,They gave the family food.,religion
REL042,Ndị mmadụ nyere onye ọrịa aka.,People helped the sick person.,religion
REL043,Ịrụ ọrụ ebere dị mkpa.,Charity work is important.,religion
REL044,Ha nyere ndị ogbenye ego.,They gave money to the poor.,religion
REL045,Ndị mmadụ kesara nri.,People shared food.,religion
REL046,Ịkekọrịta ihe na-egosi ịhụnanya.,Sharing shows love.,religion
REL047,Ọ na-enyere ndị ọzọ aka mgbe niile.,He always helps others.,religion
REL048,Obiọma dị mkpa n'etiti ndị mmadụ.,Kindness is important among people.,religion
REL049,Ndidi bụ omume ọma.,Patience is a good quality.,religion
REL050,Eziokwu dị mkpa na ndụ.,Truth is important in life.,religion
REL051,Ndị mmadụ kwesịrị ikwu eziokwu.,People should tell the truth.,religion
REL052,Ịgbaghara mmadụ bụ ihe ọma.,Forgiving a person is good.,religion
REL053,Ọ gbaghara enyi ya.,He forgave his friend.,religion
REL054,Ha rịọrọ mgbaghara.,They asked for forgiveness.,religion
REL055,Ọ dị mkpa ịmụta ịgbaghara.,It is important to learn to forgive.,religion
REL056,Ndị mmadụ na-echeta ụbọchị pụrụ iche.,People remember special days.,religion
REL057,Emume okpukpe na-ejikọta ezinụlọ ọnụ.,Religious celebrations bring families together.,religion
REL058,Ezinụlọ ahụ mere emume ọnụ.,The family celebrated together.,religion
REL059,Ndị mmadụ yi uwe mara mma maka emume.,People wore beautiful clothes for the celebration.,religion
REL060,Ha kwadebere nri maka ndị ọbịa.,They prepared food for the visitors.,religion
REL061,Ọtụtụ ndị mmadụ bịara emume ahụ.,Many people came to the celebration.,religion
REL062,Emume ahụ gara nke ọma.,The celebration went well.,religion
REL063,Ndị mmadụ nwere obi ụtọ.,People were happy.,religion
REL064,Ụmụaka nwere ọṅụ n'emume ahụ.,The children enjoyed the celebration.,religion
REL065,Emume ahụ mere n'ụlọ.,The celebration took place at home.,religion
REL066,Ndị obodo kwadebere ebe ahụ.,The community prepared the place.,religion
REL067,Onye nduzi kelere ndị mmadụ.,The leader thanked the people.,religion
REL068,Ndị mmadụ nabatara onye ọbịa.,The people welcomed the visitor.,religion
REL069,Onye ọbịa kwuru okwu.,The visitor gave a speech.,religion
REL070,Ha gere okwu ahụ ntị.,They listened to the speech.,religion
REL071,Ndị mmadụ na-agụ akwụkwọ okpukpe.,People read religious books.,religion
REL072,Akwụkwọ ahụ nwere ọtụtụ nkuzi.,The book contains many teachings.,religion
REL073,Nkuzi ahụ bara uru.,The teaching was useful.,religion
REL074,Ọ mụtara ihe ọhụrụ.,He learned something new.,religion
REL075,Okpukpe na-akụzi ịdị umeala n'obi.,Religion teaches humility.,religion
REL076,Ịdị umeala n'obi bụ omume ọma.,Humility is a good quality.,religion
REL077,Ndị mmadụ na-achọ ndụmọdụ.,People seek advice.,religion
REL078,Onye nduzi nyere ndụmọdụ.,The leader gave advice.,religion
REL079,Ọ gere ndụmọdụ ahụ ntị.,He listened to the advice.,religion
REL080,Ndị okenye na-akụzi ezi omume.,Elders teach good behavior.,religion
REL081,Ụmụaka kwesịrị ịmụta ezi omume.,Children should learn good behavior.,religion
REL082,Ezi omume na-enyere obodo aka.,Good behavior helps the community.,religion
REL083,Ndị mmadụ na-arụkọ ọrụ ọnụ.,People work together.,religion
REL084,Ịrụkọ ọrụ ọnụ na-eweta udo.,Working together brings peace.,religion
REL085,Udo dị mkpa n'obodo.,Peace is important in a community.,religion
REL086,Ndị mmadụ na-achọ udo.,People seek peace.,religion
REL087,Okpukpe na-akụzi udo.,Religion teaches peace.,religion
REL088,Ọ dị mkpa ibi ndụ n'udo.,It is important to live in peace.,religion
REL089,Ndị mmadụ na-akwanyere nkwenkwe ibe ha ùgwù.,People respect one another's beliefs.,religion
REL090,Anyị kwesịrị ịkwanyere ndị nwere nkwenkwe dị iche ùgwù.,We should respect people with different beliefs.,religion
REL091,Ọtụtụ mmadụ na-achọ ndụ dị mma.,Many people seek a good life.,religion
REL092,Nkwenkwe na-enye ụfọdụ mmadụ ume.,Beliefs give some people strength.,religion
REL093,Ọ na-enweta ume site n'okpukpe ya.,He gains strength from his religion.,religion
REL094,Ezinụlọ ya na-akwado ya.,His family supports him.,religion
REL095,Ndị enyi ya na-enye ya ndụmọdụ.,His friends give him advice.,religion
REL096,Ọ na-enweta nkasi obi n'oge nsogbu.,He finds comfort during difficult times.,religion
REL097,Olileanya na-enyere mmadụ aka ịga n'ihu.,Hope helps a person move forward.,religion
REL098,Ịhụnanya na obiọma na-eme ka ụwa ka mma.,Love and kindness make the world better.,religion
REL099,Ndị mmadụ kwesịrị ibi ndụ n'ịhụnanya na udo.,People should live in love and peace.,religion
REL100,Ezi omume na-enyere mmadụ na obodo aka.,Good behavior helps both the individual and the community.,religion
