id,igbo,english,domain
TEC001,Ụzụ na-enyere ndị mmadụ aka.,Technology helps people.,technology
TEC002,Kọmputa bụ ngwaọrụ dị mkpa.,A computer is an important device.,technology
TEC003,Ọ na-eji kọmputa arụ ọrụ.,He uses a computer to work.,technology
TEC004,Kọmputa ahụ dị ọhụrụ.,The computer is new.,technology
TEC005,Ọ mụtara otu esi eji kọmputa.,He learned how to use a computer.,technology
TEC006,Ịntanetị na-ejikọta ndị mmadụ.,The internet connects people.,technology
TEC007,Ọ na-eji ịntanetị kwa ụbọchị.,He uses the internet every day.,technology
TEC008,Ịntanetị na-enye ozi dị iche iche.,The internet provides different information.,technology
TEC009,Ọ chọtara ozi ahụ n'ịntanetị.,He found the information online.,technology
TEC010,Ịntanetị na-enyere ụmụ akwụkwọ aka.,The internet helps students.,technology
TEC011,Ekwentị bụ ngwaọrụ a na-ejikarị eme ihe.,A phone is a commonly used device.,technology
TEC012,Ọ nwere ekwentị ọhụrụ.,He has a new phone.,technology
TEC013,Ọ na-eji ekwentị kpọọ enyi ya.,He uses his phone to call his friend.,technology
TEC014,Ekwentị ahụ nwere igwefoto.,The phone has a camera.,technology
TEC015,Ọ sere foto site na ekwentị ya.,He took a photo with his phone.,technology
TEC016,Ọ na-eziga ozi site na ekwentị.,He sends messages by phone.,technology
TEC017,Ozi ahụ bịara n'oge.,The message arrived on time.,technology
TEC018,Ọ na-eji ngwa dị iche iche.,He uses different applications.,technology
TEC019,Ngwa ahụ na-enyere ndị mmadụ aka.,The application helps people.,technology
TEC020,Ọ budatara ngwa ọhụrụ.,He downloaded a new application.,technology
TEC021,Akụrụngwa kọmputa dị mkpa.,Computer hardware is important.,technology
TEC022,Ngwaọrụ ahụ na-arụ ọrụ nke ọma.,The device works well.,technology
TEC023,Kọmputa ahụ kwụsịrị ịrụ ọrụ.,The computer stopped working.,technology
TEC024,Ọ kpọrọ onye na-ahụ maka teknụzụ.,He called the technician.,technology
TEC025,Onye ọrụ ahụ rụziri kọmputa.,The worker repaired the computer.,technology
TEC026,Akụrụngwa nwere ike ịka nká.,Hardware can become old.,technology
TEC027,Ngwa kọmputa na-enyere ndị ọrụ aka.,Computer software helps workers.,technology
TEC028,Ọ wụnyere ngwanrọ ọhụrụ.,He installed new software.,technology
TEC029,Ngwanrọ ahụ dị mfe iji.,The software is easy to use.,technology
TEC030,Ngwanrọ ahụ nwere nsogbu.,The software has a problem.,technology
TEC031,Onye mmemme na-ede koodu.,The programmer writes code.,technology
TEC032,Ọ na-amụ mmemme kọmputa.,He studies computer programming.,technology
TEC033,Koodu ahụ na-arụ ọrụ nke ọma.,The code works well.,technology
