igbo,english,domain,source
Onye ugbo gara ugbo taa,The farmer went to the farm today,Agriculture,Manual
Anyi kụrụ ọka n'ubi,We planted maize on the farm,Agriculture,Manual
Ji toro nke ọma,Yam grew well,Agriculture,Manual
Mmiri ozuzo nyere aka n'ugbo,Rainfall helped the farm,Agriculture,Manual
A na-eji fatịlaịza eme ka ihe too nke ọma,Fertilizer helps crops grow well,Agriculture,Manual
Anyi ga-akọ ugbo n'afọ a,We will farm this year,Agriculture,Manual
Ubi ahụ buru ibu,The farm is large,Agriculture,Manual
A kụrụ osikapa n'ubi,Rice was planted on the farm,Agriculture,Manual
A ga-akpọkọta ihe ubi n'izu ọzọ,The harvest will be gathered next week,Agriculture,Manual
Onye ugbo nwere ọtụtụ ihe ubi,The farmer has many crops,Agriculture,Manual

Ọrụ Ugbo,Farming,agriculture,manual
Onye Ugbo,Farmer,agriculture,manual
Ubi,Farm,agriculture,manual
Ala,Land,agriculture,manual
Ịkụ Ihe,Planting,agriculture,manual
Owuwe Ihe,Uharvest,agriculture,manual
Fatịlaịza,Fertilizer,agriculture,manual
Mmiri,Irrigation Water,agriculture,manual
Ngwaọrụ Ugbo,Farm Tools,agriculture,manual
Traktọ,Tractor,agriculture,manual
Mkpụrụ Osisi,Seed,agriculture,manual
Nri Osisi,Plant Nutrients,agriculture,manual
Mmepe Ugbo,Agricultural Development,agriculture,manual
Ọrụ Ubi,Cultivation,agriculture,manual
Nlekọta Osisi,Crop Management,agriculture,manual
Ahịhịa,Weed,agriculture,manual
Ịkpụ Ahịhịa,Weeding,agriculture,manual
Ọrụ Ugbo Ọgbara Ọhụrụ,Modern Farming,agriculture,manual
Ngwaọrụ Ịkụ Ihe,Planting Equipment,agriculture,manual
Nsonaazụ Ugbo,Farm Yield,agriculture,manual
