igbo,english,domain,source
Ezinụlọ,Family,general,manual
Nna,Father,general,manual
Nne,Mother,general,manual
Nwa,Child,general,manual
Nwanne nwoke,Brother,general,manual
Nwanne nwanyị,Sister,general,manual
Nna nna,Grandfather,general,manual
Nne nne,Grandmother,general,manual
Di,Husband,general,manual
Nwunye,Wife,general,manual
Nwa nwoke,Son,general,manual
Nwa nwanyị,Daughter,general,manual
Nwanne,Relative,general,manual
Ezigbo enyi,Close friend,general,manual
Nwa nwanne,Nephew,general,manual
Nwa nwanne nwanyị,Niece,general,manual
Ezinụlọ m,My family,general,manual
A hụrụ m ezinụlọ m n'anya,I love my family,general,manual
Anyi bụ ezinụlọ ọma,We are a good family,general,manual
Nna m nọ n'ụlọ,My father is at home,general,manual
