
igbo,english,domain,source
Anom na klaasi otu,I am in primary one,Education,Manual
Anom na klaasi abuo,I am in primary two,Education,Manual
Anom na klaasi ato,I am in primary three,Education,Manual
Anom na klaasi ano,I am in primary four,Education,Manual
Anom na klaasi ise,I am in primary five,Education,Manual
Anom na klaasi isii,I am in primary six,Education,Manual
Onye nkuzi anyi mara ezigbo ihe,Our teacher is knowledgeable,Education,Manual
Anyi gara ulo akwukwo taa,We went to school today,Education,Manual
Anyi guru sayensi taa,We studied science today,Education,Manual
Anyi guru mgbako taa,We studied mathematics today,Education,Manual

Ụlọ Akwụkwọ Praịmarị,Primary School,education,manual
Nwa Akwụkwọ,Pupil,education,manual
Onye Nkụzi,Teacher,education,manual
Klas,Class,education,manual
Ihe Omụmụ,Lesson,education,manual
Akwụkwọ,Book,education,manual
Pensụl,Pencil,education,manual
Pensụl Mkpisi,Eraser,education,manual
Tebụl,Table,education,manual
Oche,Chair,education,manual
Bọdụ,Board,education,manual
Nnyocha,Test,education,manual
Nnwale,Examination,education,manual
Ọgụgụ,Reading,education,manual
Ide Ihe,Writing,education,manual
Mgbakọ,Mathematics,education,manual
Sayensị,Science,education,manual
Bekee,English Language,education,manual
Igbo,Igbo Language,education,manual
Akụkọ Ihe Mere Eme,History,education,manual
Egwuregwu,Sports,education,manual
Ọmụmụ Ihe,Learning,education,manual
Nkuzi,Teaching,education,manual
Ụbọchị Akwụkwọ,School Day,education,manual
Ezumike,Break Time,education,manual
Ọrụ Ụlọ,Homework,education,manual
Ndị Mụrụ Ụmụakwụkwọ,Parents,education,manual
Nlekọta Nwa,Child Care,education,manual
Akwụkwọ Ndebanye,Attendance Register,education,manual
Ụlọ Klas,Classroom,education,manual
