id,igbo,english,domain,source,verified,review_notes
MON001,Onye ọrụ ugbo na-arụsi ọrụ ike n'ubi.,the farmer works hard.,agriculture,baseline_model_round_1,yes,Correct translation.
MON002,Ọka dị n'ubi ahụ toro nke ọma.,the maize is ready for a good.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON003,E nwere ọtụtụ osisi n'ugbo anyị.,many we will a person love.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON004,Mmiri ozuzo nyere ihe ọkụkụ aka ito.,the crops.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON005,Onye ọrụ ugbo kụrụ akwụkwọ nri n'ubi.,the farmer raises cattle.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON006,A na-akụ ji mgbe oge ruru.,this soil is not help.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON007,Ụmụ nwoke na-enyere nna ha aka n'ubi.,they helped the students.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON008,Ehi na-ata ahịhịa n'ala ubi.,weeds damage farm.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON009,Ọrụ ugbo chọrọ ndidi na ike.,farming requires patience.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON010,A na-egbute ihe ubi mgbe ha tozuru.,they gave good for the body.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON011,Ọtụtụ ndị mmadụ na-adabere n'ọrụ ugbo.,many people depend on farming.,agriculture,baseline_model_round_1,yes,Correct translation.
MON012,Onye ọrụ ugbo zụtara mkpụrụ ọhụrụ.,the farmer bought a new seeds.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON013,A na-echekwa ọka n'ebe kpọrọ nkụ.,this place of a place of worship is a place of worship in a place of worship.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON014,Ọkụ nwere ike imebi ihe ọkụkụ.,can damage crops.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON015,Nne m na-akụ akwụkwọ nri n'azụ ụlọ.,my mother is at home.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON016,Ewu na ọkụkọ bụ anụ ụlọ ndị a na-ahụkarị.,this is a person ' s names.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON017,Ọrụ ugbo bụ isi iyi nri maka ọtụtụ ezinụlọ.,farming is a good for many people together.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON018,A na-eji mmiri agba ihe ọkụkụ mmiri n'oge ọkọchị.,this soil during the dry season.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON019,Onye ọrụ ugbo gara ahịa ree ihe ubi ya.,the farmer went to the farm.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON020,Ala ọma na-enyere ihe ọkụkụ aka ito ngwa ngwa.,good governance helps a person.,agriculture,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON021,Onye ahịa ahụ meghere ụlọ ahịa ya n'ụtụtụ.,the customer takes the customer is satisfied.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON022,Ọtụtụ ndị mmadụ na-azụ ahịa n'ahịa a.,many people saw the market.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON023,Ọnụahịa ngwaahịa ahụ gbagoro n'izu a.,a person achieve their studies.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON024,Onye ahịa chọrọ ịmata ọnụ ahịa ihe ahụ.,the customer want to the customer is satisfied.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON025,Ụlọ ọrụ ahụ nwere ọtụtụ ndị ọrụ.,the company has many young people.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON026,Ha na-eme atụmatụ ịmalite azụmahịa ọhụrụ.,they discussed the business.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON027,Onye ahịa ahụ rere ngwaahịa ya niile.,the customer paid for the product.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON028,Azụmahịa ọma chọrọ atụmatụ siri ike.,business requires good planning.,business,baseline_model_round_1,yes,Correct translation.
MON029,Ọ na-ere uwe n'ahịa obodo.,he returned the market.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON030,Onye ahịa ahụ nwetara uru n'azụmahịa ya.,the customer has a question.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON031,Ụlọ ahịa ahụ na-emeghe kwa ụbọchị.,the market day.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON032,Ọtụtụ ndị mmadụ na-eji ekwentị eme azụmahịa.,many people use this business.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON033,Onye ahịa ahụ nyere onye ahịa akwụkwọ nnata.,the customer gave the customer.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON034,Ọ dị mkpa ịkwado ndị ahịa nke ọma.,it is important to avoid too good for planting.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON035,Ụlọ ọrụ ahụ chọrọ ịgbasa azụmahịa ya.,the company want to the company are fresh.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON036,Ọtụtụ ụlọ ọrụ na-eji teknụzụ arụ ọrụ.,many young people use technology responsibly.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON037,Onye ahịa ahụ debere ego n'ụlọ akụ.,the customer paid the shop.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON038,Ahịa ngwaahịa ahụ dị elu taa.,the customer is high.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
MON039,Ha nwere nzukọ gbasara azụmahịa ha.,they has a business.,business,baseline_model_round_1,no,"Incorrect, incomplete, or semantically unrelated to the Igbo sentence."
