english,igbo
Good morning.,Ụtụtụ ọma.
Thank you.,Ekele dịrị gị.
Please.,Biko.
It is okay.,Ọ dị mma.
How are you?,Kedu ka ị mere?
I am fine.,Adị m mma.
What is your name?,Kedu aha gị?
My name is Chinedu.,Aha m bụ Chinedu.
Where do you live?,Ebee ka ị bi?
I live in this town.,Ana m ebi n'obodo a.
What are you doing?,Ị na-eme gịnị?
I am working.,Ana m arụ ọrụ.
I am going home.,Ana m aga ụlọ.
He came in the morning.,Ọ bịara n'ụtụtụ.
We will see you tomorrow.,Anyị ga-ahụ gị echi.
I need help.,Achọrọ m enyemaka.
Please help me.,Biko nyere m aka.
I understand.,Aghọtara m.
I do not understand.,Aghọtaghị m.
Please say it again.,Biko kwuo ya ọzọ.
Speak slowly.,Kwuo nwayọọ.
Do you have time?,Ị nwere oge?
"Yes, I have time.","Ee, enwere m oge."
"No, I do not have time.","Mba, enweghị m oge."
Do you need anything?,Ị chọrọ ihe ọ bụla?
"Yes, I need water.","Eeh, achọrọ m mmiri."
"No, I do not need anything.","Mba, achọghị m ihe ọ bụla."
Do you know this place?,Ị maara ebe a?
I do not know that place.,Amaghị m ebe ahụ.
Can you tell me?,Ị nwere ike ịgwa m?
I have a question.,Enwere m ajụjụ.
What is this?,Gịnị ka nke a bụ?
This is a book.,Nke a bụ akwụkwọ.
Where is the book?,Ebee ka akwụkwọ ahụ dị?
The book is on the table.,Akwụkwọ ahụ dị na tebụl.
Who are you looking for?,Onye ka ị na-achọ?
I am looking for my friend.,Ana m achọ enyi m.
He is at home.,Ọ nọ n'ụlọ.
He went to the market.,Ọ gara ahịa.
We are here.,Anyị nọ ebe a.
Let us go.,Ka anyị gaa.
Wait a moment.,Chere ntakịrị.
Come here.,Abịala ebe a.
Go there.,Gaa ebe ahụ.
Sit down.,Nọdụ ala.
Stand up.,Bilie.
Open the door.,Mepee ụzọ.
Close the door.,Mechie ụzọ.
Open the book.,Mepee akwụkwọ.
Write your name.,Dee aha gị.
Read the book.,Gụọ akwụkwọ ahụ.
Listen.,Gee ntị.
Look at this.,Lee nke a.
It is hot today.,Ọ dị ọkụ taa.
It is cold today.,Ọ dị oyi taa.
It is raining.,Mmiri na-ezo.
The weather is good.,Ihu igwe dị mma.
The day is beautiful.,Ụbọchị ahụ mara mma.
The night is quiet.,Abalị dị jụụ.
I want to eat.,Achọrọ m iri nri.
I want to drink water.,Achọrọ m ịṅụ mmiri.
The food is ready.,Nri dị njikere.
The food is delicious.,Nri ahụ dị ụtọ.
I am hungry.,Agụụ na-agụ m.
I am thirsty.,Akpịrị na-akpọ m nkụ.
I am happy.,Ana m enwe obi ụtọ.
I am sad.,Ana m enwe mwute.
I am angry.,Iwe na-ewe m.
I am afraid.,Atụrụ m egwu.
I have hope.,Enwere m olileanya.
I feel tired.,Ọ dị m ka ike gwụrụ m.
I am sleeping.,Ana m ehi ụra.
I have woken up.,Etetaala m.
It is time to go.,Ọ bụ oge ịga.
I have arrived now.,Abịara m ugbu a.
He returned home.,Ọ lọtara n'ụlọ.
We met today.,Anyị zutere taa.
He is my good friend.,Ọ bụ ezigbo enyi m.
My family is important to me.,Ezinụlọ m dị mkpa nye m.
I love my family.,Ana m ahụ ezinụlọ m n'anya.
My mother is at home.,Nne m nọ n'ụlọ.
My father went to work.,Nna m gara ọrụ.
The children are playing.,Ụmụaka na-egwu egwu.
They are laughing.,Ha na-achị ọchị.
He is telling the truth.,Ọ na-ekwu eziokwu.
I will not forget it.,Agaghị m echefu ya.
I remember it.,Ana m echeta ya.
It is important.,Ọ dị mkpa.
It is not a problem.,Ọ bụghị nsogbu.
No problem.,Enweghị nsogbu.
It is very good.,Ọ dị mma nke ukwuu.
It is bad.,Ọ dị njọ.
I like it.,Ọ masịrị m.
I do not like it.,Ọ masịghị m.
I want to learn.,Achọrọ m ịmụ ihe.
Learning is important.,Ịmụ ihe dị mkpa.
We should work together.,Anyị kwesịrị ịrụkọ ọrụ ọnụ.
There are many things we can do.,Ọtụtụ ihe ka anyị nwere ike ime.
We will move forward.,Anyị ga-aga n'ihu.
The future will be good.,Ọdịnihu ga-adị mma.
