id,igbo,english,domain
PAR00001,Azụmahịa dị mkpa maka mmepe obodo.,Business is important for community development.,business
PAR00002,Ụbọchị ahụ mara mma.,The day is beautiful.,general
PAR00003,Ụlọ ọrụ ahụ mepere alaka ọhụrụ.,The company opened a new branch.,business
PAR00004,Onye nchịkwa na-elekọta nchekwa data.,The administrator manages the database.,technology
PAR00005,Ha nwetara ngwá ọrụ ugbo ọhụrụ.,They received new farming equipment.,agriculture
PAR00006,Nwa akwụkwọ ahụ nwere nnukwu nrọ.,The student has a big dream.,education
PAR00007,Ọrịa ụfọdụ nwere ike igbochi.,Some diseases can be prevented.,health
PAR00008,Nri ahụ dị ụtọ.,The food is delicious.,general
PAR00009,Gọọmenti na-arụ ụzọ.,The government builds roads.,government
PAR00010,Azụmahịa ahụ nwetara nnukwu uru.,The business made a large profit.,business
PAR00011,Ezi omume na-enyere mmadụ na obodo aka.,Good behavior helps both the individual and the community.,religion
PAR00012,Traktọ na-enyere ndị ọrụ ugbo aka.,A tractor helps farmers.,agriculture
PAR00013,Bilie.,Stand up.,general
PAR00014,Ndị obodo kwadebere maka emume ahụ.,The community prepared for the celebration.,culture
PAR00015,Nwa ahụ nwere ahụ ọkụ.,The child has a fever.,health
PAR00016,Akwụkwọ ahụ dị na tebụl.,The book is on the table.,education
PAR00017,Ụzọ ọgbara ọhụrụ na-eme ka ọrụ ugbo dị mfe.,Modern methods make farming easier.,agriculture
PAR00018,Ịmụ ihe dị mkpa.,Learning is important.,general
PAR00019,Ndị mmadụ kwesịrị iji teknụzụ mee ihe n'ụzọ ziri ezi.,People should use technology responsibly.,technology
PAR00020,Omenala na-akụzi ịdị n'otu.,Culture teaches unity.,culture
PAR00021,Onye ọrụ ugbo nwere ahụmahụ.,The farmer has experience.,agriculture
PAR00022,Onye ọrụ ugbo na-elekọta ubi ya kwa ụbọchị.,The farmer takes care of his farm every day.,agriculture
PAR00023,Akwụkwọ ahụ nwere ọtụtụ nkuzi.,The book contains many teachings.,religion
PAR00024,Anọ m n'ụlọ.,I am at home.,daily_conversation
PAR00025,Ị chọrọ ihe ọ bụla?,Do you need anything?,general
PAR00026,Gọọmenti kwesịrị ige ndị mmadụ ntị.,The government should listen to the people.,government
PAR00027,Dọkịta nyochara ọbara ya.,The doctor tested his blood.,health
PAR00028,Onye ọbịa kwuru okwu.,The visitor gave a speech.,religion
PAR00029,A chọrọ m nri.,I want food.,daily_conversation
PAR00030,Ụmụaka na-ekele ndị okenye.,Children greet elders.,culture
PAR00031,Ewu ahụ riri ahịhịa.,The goat ate grass.,agriculture
PAR00032,Ọka dị njikere maka owuwe ihe ubi.,The maize is ready for harvest.,agriculture
