english,igbo
business is important for community development.,Azụmahịa dị mkpa maka mmepe obodo.
the day is beautiful.,Ụbọchị ahụ mara mma.
the company opened a new branch.,Ụlọ ọrụ ahụ mepere alaka ọhụrụ.
the administrator manages the database.,Onye nchịkwa na-elekọta nchekwa data.
they received new farming equipment.,Ha nwetara ngwá ọrụ ugbo ọhụrụ.
the student has a big dream.,Nwa akwụkwọ ahụ nwere nnukwu nrọ.
some diseases can be prevented.,Ọrịa ụfọdụ nwere ike igbochi.
the food is delicious.,Nri ahụ dị ụtọ.
the government builds roads.,Gọọmenti na-arụ ụzọ.
the business made a large profit.,Azụmahịa ahụ nwetara nnukwu uru.
good behavior helps both the individual and the community.,Ezi omume na-enyere mmadụ na obodo aka.
a tractor helps farmers.,Traktọ na-enyere ndị ọrụ ugbo aka.
stand up.,Bilie.
the community prepared for the celebration.,Ndị obodo kwadebere maka emume ahụ.
the child has a fever.,Nwa ahụ nwere ahụ ọkụ.
the book is on the table.,Akwụkwọ ahụ dị na tebụl.
modern methods make farming easier.,Ụzọ ọgbara ọhụrụ na-eme ka ọrụ ugbo dị mfe.
learning is important.,Ịmụ ihe dị mkpa.
people should use technology responsibly.,Ndị mmadụ kwesịrị iji teknụzụ mee ihe n'ụzọ ziri ezi.
culture teaches unity.,Omenala na-akụzi ịdị n'otu.
the farmer has experience.,Onye ọrụ ugbo nwere ahụmahụ.
the farmer takes care of his farm every day.,Onye ọrụ ugbo na-elekọta ubi ya kwa ụbọchị.
the book contains many teachings.,Akwụkwọ ahụ nwere ọtụtụ nkuzi.
i am at home.,Anọ m n'ụlọ.
do you need anything?,Ị chọrọ ihe ọ bụla?
the government should listen to the people.,Gọọmenti kwesịrị ige ndị mmadụ ntị.
the doctor tested his blood.,Dọkịta nyochara ọbara ya.
the visitor gave a speech.,Onye ọbịa kwuru okwu.
i want food.,A chọrọ m nri.
children greet elders.,Ụmụaka na-ekele ndị okenye.
the goat ate grass.,Ewu ahụ riri ahịhịa.
the maize is ready for harvest.,Ọka dị njikere maka owuwe ihe ubi.
the student is preparing for an examination.,Nwa akwụkwọ ahụ na-akwadebe maka ule.
the food is delicious.,Nri ahụ na-atọ ụtọ.
open the door.,Mepee ụzọ.
do you know this place?,Ị maara ebe a?
new technology appears every year.,Ụzụ ọhụrụ na-apụta kwa afọ.
his family supports him.,Ezinụlọ ya na-akwado ya.
he opened the file.,Ọ mepere faịlụ ahụ.
the students read books in the library.,Ụmụ akwụkwọ na-agụ akwụkwọ n'ọbá akwụkwọ.
preserving culture helps future generations.,Ịchekwa omenala na-enyere ọgbọ na-abịa aka.
our culture is something we should value.,Omenala anyị bụ ihe anyị kwesịrị iji kpọrọ ihe.
different communities have different cultures.,Obodo dị iche iche nwere omenala dị iche iche.
the music is enjoyable.,Egwu ahụ na-atọ ụtọ.
people registered their names.,Ndị mmadụ debara aha ha.
we met today.,Anyị zutere taa.
adequate sleep is important.,Ụra zuru oke dị mkpa.
customer service is important.,Ọrụ ndị ahịa dị mkpa.
the citizens have rights.,Ndị obodo nwere ikike.
