id,igbo,english,corrected_english,domain,source,verified,review_notes
MON001,Onye ọrụ ugbo na-arụsi ọrụ ike n'ubi.,the farmer works hard.,,agriculture,iterative_back_translation_round_2,yes,Accepted original translation.
MON002,Ọka dị n'ubi ahụ toro nke ọma.,the product is on the farm.,the maize in the farm has grown well.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON003,E nwere ọtụtụ osisi n'ugbo anyị.,we can many people depend at home.,there are many trees on our farm.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON004,Mmiri ozuzo nyere ihe ọkụkụ aka ito.,we helps crops crops crops crops crops.,the rain helped the crops to grow.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON005,Onye ọrụ ugbo kụrụ akwụkwọ nri n'ubi.,the farmer raises cattle.,the farmer planted vegetables on the farm.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON006,A na-akụ ji mgbe oge ruru.,what is this?,yam is planted when the time is right.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON007,Ụmụ nwoke na-enyere nna ha aka n'ubi.,they helps the students study at home.,the boys help their father on the farm.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON008,Ehi na-ata ahịhịa n'ala ubi.,the farmer returned home.,the cow is grazing on the farmland.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON009,Ọrụ ugbo chọrọ ndidi na ike.,farming requires patience.,,agriculture,iterative_back_translation_round_2,yes,Accepted original translation.
MON010,A na-egbute ihe ubi mgbe ha tozuru.,they sold,the crops are harvested when they are ripe.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON011,Ọtụtụ ndị mmadụ na-adabere n'ọrụ ugbo.,many people depend on farming.,,agriculture,iterative_back_translation_round_2,yes,Accepted original translation.
MON012,Onye ọrụ ugbo zụtara mkpụrụ ọhụrụ.,the farmer bought a tractor.,the farmer bought new seeds.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON013,A na-echekwa ọka n'ebe kpọrọ nkụ.,come here.,maize is stored in a dry place.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON014,Ọkụ nwere ike imebi ihe ọkụkụ.,can damage crops.,fire can damage crops.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON015,Nne m na-akụ akwụkwọ nri n'azụ ụlọ.,i am going home.,my mother plants vegetables behind the house.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON016,Ewu na ọkụkọ bụ anụ ụlọ ndị a na-ahụkarị.,this is a commonly.,goats and chickens are common domestic animals.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON017,Ọrụ ugbo bụ isi iyi nri maka ọtụtụ ezinụlọ.,the family is for family.,farming is a main source of food for many families.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON018,A na-eji mmiri agba ihe ọkụkụ mmiri n'oge ọkọchị.,water is important to use of the crops.,crops are watered with water during the dry season.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON019,Onye ọrụ ugbo gara ahịa ree ihe ubi ya.,the farmer went to the market.,,agriculture,iterative_back_translation_round_2,yes,Accepted original translation.
MON020,Ala ọma na-enyere ihe ọkụkụ aka ito ngwa ngwa.,sunlight helps crops grow.,good soil helps crops grow quickly.,agriculture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON021,Onye ahịa ahụ meghere ụlọ ahịa ya n'ụtụtụ.,the customer paid on the customer ' s at the morning.,the trader opened his shop in the morning.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON022,Ọtụtụ ndị mmadụ na-azụ ahịa n'ahịa a.,many people depend on traditional food at the market.,many people trade in this market.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON023,Ọnụahịa ngwaahịa ahụ gbagoro n'izu a.,the product arrived on time.,the price of the product increased this week.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON024,Onye ahịa chọrọ ịmata ọnụ ahịa ihe ahụ.,the customer paid to the product.,the customer wants to know the price of the item.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON025,Ụlọ ọrụ ahụ nwere ọtụtụ ndị ọrụ.,the company has many company has many classrooms.,the company has many employees.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON026,Ha na-eme atụmatụ ịmalite azụmahịa ọhụrụ.,they business requires new business.,they are planning to start a new business.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON027,Onye ahịa ahụ rere ngwaahịa ya niile.,the customer paid for the product.,the customer sold all of the products.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON028,Azụmahịa ọma chọrọ atụmatụ siri ike.,business requires good planning.,,business,iterative_back_translation_round_2,yes,Accepted original translation.
MON029,Ọ na-ere uwe n'ahịa obodo.,he has a person ' s in the market.,he sells clothes in the local market.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON030,Onye ahịa ahụ nwetara uru n'azụmahịa ya.,the customer paid on the market.,the customer made a profit from the business.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON031,Ụlọ ahịa ahụ na-emeghe kwa ụbọchị.,the price of the product.,the shop opens every day.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON032,Ọtụtụ ndị mmadụ na-eji ekwentị eme azụmahịa.,many people use jobs for the igbo people.,many people use phones to conduct business.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON033,Onye ahịa ahụ nyere onye ahịa akwụkwọ nnata.,the customer gave the market.,the trader gave the customer a receipt.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON034,Ọ dị mkpa ịkwado ndị ahịa nke ọma.,it is important to avoid too much stress.,it is important to serve customers well.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON035,Ụlọ ọrụ ahụ chọrọ ịgbasa azụmahịa ya.,the business is good planning.,the company wants to expand its business.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON036,Ọtụtụ ụlọ ọrụ na-eji teknụzụ arụ ọrụ.,many people work.,many companies use technology to operate.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON037,Onye ahịa ahụ debere ego n'ụlọ akụ.,the customer paid on the bank.,the trader deposited money in the bank.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON038,Ahịa ngwaahịa ahụ dị elu taa.,the price of the product is high.,,business,iterative_back_translation_round_2,yes,Accepted original translation.
MON039,Ha nwere nzukọ gbasara azụmahịa ha.,they want to improve their culture.,they held a meeting about their business.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON040,Onye nwe ụlọ ahịa ahụ na-elekọta ndị ọrụ ya.,the customer paid for the company.,the shop owner takes care of his employees.,business,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON041,Omenala Igbo nwere ọtụtụ ihe pụrụ iche.,many people have different beliefs.,Igbo culture has many unique features.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON042,Ndị obodo na-eme emume kwa afọ.,the community prepares food for community.,the community holds celebrations every year.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON043,Ezinụlọ ahụ kwadebere maka emume ọdịnala.,the family ate together.,the family prepared for the traditional celebration.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON044,Ndị okenye na-akụziri ụmụaka omenala.,children learn their culture.,,culture,iterative_back_translation_round_2,yes,Accepted original translation.
MON045,A na-asọpụrụ ndị okenye n'obodo.,the town has a community meeting.,elders are respected in the community.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON046,Egwu ọdịnala na-atọ ọtụtụ mmadụ ụtọ.,many people depend on traditional music.,traditional music is enjoyed by many people.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON047,Ndị mmadụ gbakọtara maka emume ahụ.,people use music for the celebrations.,people gathered for the celebration.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON048,Akụkọ ndị nna nna bara uru nke ukwuu.,the stories of ancestors are s names remember.,the stories of our ancestors are very valuable.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON049,Ụmụaka na-amụta egwu ọdịnala n'ụlọ akwụkwọ.,children are playing.,children learn traditional music at school.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON050,Omenala na-ejikọta ndị mmadụ ọnụ.,people help one another.,culture brings people together.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON051,Ndị obodo na-akwado emume ha nke ọma.,they want to the community development.,the community supports its celebrations well.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON052,A na-eji egwu eme emume dị iche iche.,this different communities.,music is used for different celebrations.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON053,Ndị okenye kọọrọ ụmụaka akụkọ n'abalị.,the children enjoyed the celebration.,the elders told the children stories at night.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON054,Asụsụ bụ akụkụ dị mkpa nke omenala.,tradition is an important part of culture.,,culture,iterative_back_translation_round_2,yes,Accepted original translation.
MON055,Ọtụtụ ezinụlọ na-echekwa omenala ha.,they sold many culture.,many families preserve their culture.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON056,Emume ahụ malitere n'ehihie.,the celebration took place in the morning.,the celebration began in the afternoon.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON057,Ndị mmadụ yi uwe ọdịnala n'emume ahụ.,people wore traditional clothes.,,culture,iterative_back_translation_round_2,yes,Accepted original translation.
MON058,A na-akụziri ụmụaka nkwanye ùgwù.,children are playing.,children are taught respect.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON059,Omenala na-agbanwe nwayọọ nwayọọ.,culture teaches unity.,culture changes gradually.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON060,Obodo ahụ nwere ọtụtụ akụkọ ihe mere eme.,the many places of the community.,the town has many historical stories.,culture,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON061,Kedu ka ị mere taa?,where are you?,how are you today?,daily_conversation,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON062,A mere m nke ọma.,i am well.,,daily_conversation,iterative_back_translation_round_2,yes,Accepted original translation.
MON063,Ebee ka ị na-aga?,where are you?,,daily_conversation,iterative_back_translation_round_2,yes,Accepted original translation.
MON064,Ana m aga n'ụlọ.,i am going home.,,daily_conversation,iterative_back_translation_round_2,yes,Accepted original translation.
MON065,Biko nyere m aka.,please help me.,,daily_conversation,iterative_back_translation_round_2,yes,Accepted original translation.
MON066,Achọrọ m ịjụ gị ajụjụ.,i want to learn.,I want to ask you a question.,daily_conversation,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON067,Gịnị ka ị na-eme ugbu a?,what are you doing?,,daily_conversation,iterative_back_translation_round_2,yes,Accepted original translation.
MON068,Ana m agụ akwụkwọ.,i am going to school.,I am reading.,daily_conversation,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON069,Ị nwere oge taa?,do you have time?,,daily_conversation,iterative_back_translation_round_2,yes,Accepted original translation.
MON070,"Ee, enwere m oge.","yes, i have time.",,daily_conversation,iterative_back_translation_round_2,yes,Accepted original translation.
MON071,Biko chere obere oge.,please for a short.,please wait for a short while.,daily_conversation,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON072,A ga m alaghachi echi.,i am going to school.,I will return tomorrow.,daily_conversation,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON073,Echegbula onwe gị.,you know this?,do not worry.,daily_conversation,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON074,Aghọtara m ihe ị kwuru.,i you are you are right.,I understand what you said.,daily_conversation,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON075,Amaghị m azịza ya.,i do not know.,,daily_conversation,iterative_back_translation_round_2,yes,Accepted original translation.
MON076,Ka anyị gaa ọnụ.,let us go.,,daily_conversation,iterative_back_translation_round_2,yes,Accepted original translation.
MON077,"Ọ dị mma, enweghị nsogbu.",it is important to take care of good.,"it is okay, there is no problem.",daily_conversation,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON078,Kpọọ m mgbe ị rutere.,call me when you arrive.,,daily_conversation,iterative_back_translation_round_2,yes,Accepted original translation.
MON079,A hụrụ m gị n'anya.,i am afraid.,I love you.,daily_conversation,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON080,Ka chi fo.,do not know.,good night.,daily_conversation,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON081,Ụmụ akwụkwọ na-amụ ihe n'ụlọ akwụkwọ.,the students study at home.,,education,iterative_back_translation_round_2,yes,Accepted original translation.
MON082,Onye nkuzi na-akọwa ihe ọhụrụ.,the teacher explained the new skills.,the teacher explains something new.,education,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
MON083,Akwụkwọ a nwere ọtụtụ ihe ọmụma.,many this has many students.,this book contains a lot of information.,education,iterative_back_translation_round_2,no,Original synthetic translation rejected; corrected translation provided.
