id,igbo,english,domain
GOV001,Gọọmenti na-elekọta obodo.,The government manages the community.,government
GOV002,Gọọmenti na-enye ọrụ ọha.,The government provides public services.,government
GOV003,Ndị mmadụ na-ahọpụta ndị isi.,People elect leaders.,government
GOV004,Ndị isi na-eje ozi nye obodo.,Leaders serve the community.,government
GOV005,Onye isi obodo nwere ọrụ dị mkpa.,The community leader has an important responsibility.,government
GOV006,Ndị mmadụ họpụtara onye isi ọhụrụ.,The people elected a new leader.,government
GOV007,Onye isi ahụ na-ege ndị mmadụ ntị.,The leader listens to the people.,government
GOV008,Ndị obodo nwere ikike.,The citizens have rights.,government
GOV009,Onye ọ bụla kwesịrị ịkwanyere iwu ùgwù.,Everyone should respect the law.,government
GOV010,Iwu na-enyere aka idobe udo.,Laws help maintain peace.,government
GOV011,Polis na-echekwa obodo.,The police protect the community.,government
GOV012,Ndị uwe ojii na-arụ ọrụ ha.,The police officers do their work.,government
GOV013,Obodo chọrọ nchekwa.,The community needs security.,government
GOV014,Ndị mmadụ chọrọ ibi n'udo.,People want to live in peace.,government
GOV015,Gọọmenti na-arụ ụlọ akwụkwọ.,The government builds schools.,government
GOV016,Gọọmenti na-arụ ụlọ ọgwụ.,The government builds hospitals.,government
GOV017,Ụlọ ọgwụ ọha na-enyere ndị mmadụ aka.,Public hospitals help people.,government
GOV018,Ụlọ akwụkwọ ọha na-enye agụmakwụkwọ.,Public schools provide education.,government
GOV019,Gọọmenti na-arụ ụzọ.,The government builds roads.,government
GOV020,Ụzọ ọma na-enyere njem aka.,Good roads help transportation.,government
GOV021,Ọtụtụ mmadụ na-eji ụzọ a.,Many people use this road.,government
GOV022,Gọọmenti na-enye mmiri ọṅụṅụ.,The government provides drinking water.,government
GOV023,Mmiri dị ọcha dị mkpa.,Clean water is important.,government
GOV024,Obodo chọrọ ọkụ eletrik.,The community needs electricity.,government
GOV025,Gọọmenti na-arụ ọrụ iji meziwanye ndụ.,The government works to improve life.,government
GOV026,Ndị isi kwesịrị ịrụ ọrụ maka ndị mmadụ.,Leaders should work for the people.,government
GOV027,Ndị mmadụ na-atụ anya ezi ọchịchị.,People expect good governance.,government
GOV028,Ezi ọchịchị na-enyere obodo aka.,Good governance helps the community.,government
GOV029,Gọọmenti kwesịrị ige ndị mmadụ ntị.,The government should listen to the people.,government
GOV030,Ndị mmadụ nwere ike ikwu echiche ha.,People can express their opinions.,government
GOV031,Ndị mmadụ gara nzukọ obodo.,The people attended a community meeting.,government
GOV032,Ndị isi kpọrọ nzukọ.,The leaders called a meeting.,government
GOV033,Nzukọ ahụ mere n'ụlọ nzukọ.,The meeting took place in the meeting hall.,government
GOV034,Ha kwurịtara banyere nsogbu obodo.,They discussed community problems.,government
GOV035,Ndị mmadụ nyere ndụmọdụ.,The people gave advice.,government
GOV036,Onye isi ahụ kwere nkwa.,The leader made a promise.,government
GOV037,Gọọmenti kwere nkwa ịrụ ụzọ.,The government promised to build roads.,government
GOV038,Ha malitere ọrụ ahụ.,They started the work.,government
GOV039,Ọrụ ahụ ka na-aga n'ihu.,The work is still continuing.,government
GOV040,Ụlọ ọhụrụ ahụ na-ewu.,The new building is being constructed.,government
GOV041,Gọọmenti na-anakọta ụtụ isi.,The government collects taxes.,government
GOV042,Ndị mmadụ na-akwụ ụtụ isi.,People pay taxes.,government
GOV043,Ụtụ isi na-enyere gọọmenti aka.,Taxes help the government.,government
GOV044,Gọọmenti na-eji ego ọha arụ ọrụ.,The government uses public money for projects.,government
GOV045,Ọ dị mkpa iji ego ọha mee ihe nke ọma.,It is important to use public money properly.,government
GOV046,Ndị mmadụ chọrọ ịma otú e si eji ego ha.,People want to know how their money is used.,government
GOV047,Nghọta dị mkpa na ọchịchị.,Transparency is important in governance.,government
GOV048,Ndị isi kwesịrị ịza ajụjụ.,Leaders should be accountable.,government
GOV049,Gọọmenti na-enye akwụkwọ ikike.,The government issues licenses.,government
GOV050,Onye ahụ chọrọ akwụkwọ ikike.,That person needs a license.,government
GOV051,Ọ gara ụlọ ọrụ gọọmenti.,He went to a government office.,government
GOV052,Ụlọ ọrụ ahụ na-enye ọrụ ọha.,The office provides public services.,government
GOV053,Ndị mmadụ na-achọ akwụkwọ dị mkpa.,People seek important documents.,government
GOV054,Ọ natara akwụkwọ ya.,He received his document.,government
GOV055,Ọ dị mkpa ịdebanye aha.,It is important to register.,government
GOV056,Ndị mmadụ debara aha ha.,People registered their names.,government
GOV057,Gọọmenti na-echekwa ndekọ obodo.,The government keeps public records.,government
GOV058,Ndekọ ahụ nwere ozi dị mkpa.,The record contains important information.,government
GOV059,Ndị obodo chọrọ ọrụ.,The citizens need jobs.,government
GOV060,Gọọmenti na-emepụta ohere ọrụ.,The government creates job opportunities.,government
GOV061,Ọrụ na-enyere ezinụlọ aka.,Jobs help families.,government
GOV062,Ọtụtụ ndị ntorobịa na-achọ ọrụ.,Many young people are looking for jobs.,government
GOV063,Ọzụzụ na-enyere ndị ntorobịa aka.,Training helps young people.,government
GOV064,Gọọmenti malitere mmemme ọzụzụ.,The government started a training program.,government
GOV065,Mmemme ahụ na-enyere ọtụtụ mmadụ aka.,The program helps many people.,government
GOV066,Ndị mmadụ nwere ike isonye na mmemme ahụ.,People can participate in the program.,government
GOV067,Gọọmenti na-akwado ọrụ ugbo.,The government supports agriculture.,government
GOV068,Ndị ọrụ ugbo nwetara enyemaka.,The farmers received assistance.,government
GOV069,Enyemaka ahụ nyere ndị ọrụ ugbo aka.,The assistance helped the farmers.,government
GOV070,Gọọmenti na-akwado obere azụmahịa.,The government supports small businesses.,government
GOV071,Obere azụmahịa na-emepụta ọrụ.,Small businesses create jobs.,government
GOV072,Ọtụtụ mmadụ na-adabere n'obere azụmahịa.,Many people depend on small businesses.,government
GOV073,Gọọmenti na-echekwa gburugburu ebe obibi.,The government protects the environment.,government
GOV074,Gbururu na-emebi gburugburu ebe obibi.,Pollution damages the environment.,government
GOV075,Ndị mmadụ kwesịrị ichekwa gburugburu ebe obibi.,People should protect the environment.,government
GOV076,Gọọmenti mere iwu ọhụrụ.,The government made a new law.,government
GOV077,Iwu ọhụrụ ahụ malitere ịrụ ọrụ.,The new law came into effect.,government
GOV078,Ndị mmadụ mụtara banyere iwu ahụ.,People learned about the law.,government
GOV079,Ọ dị mkpa ịgbaso iwu.,It is important to follow the law.,government
GOV080,Onye mebiri iwu nwere ike ịta ahụhụ.,A person who breaks the law may be punished.,government
GOV081,Ụlọ ikpe na-eleba anya n'okwu iwu.,The court handles legal matters.,government
GOV082,Onye ọka iwu na-enyere ndị mmadụ aka.,A lawyer helps people.,government
GOV083,Ndị mmadụ chọrọ ikpe ziri ezi.,People want justice.,government
GOV084,Ikpe ziri ezi dị mkpa n'obodo.,Justice is important in a community.,government
GOV085,Gọọmenti na-akwado ahụike ọha.,The government supports public health.,government
GOV086,Ndị ọrụ ahụike na-enyere ndị ọrịa aka.,Health workers help patients.,government
GOV087,Ọrịa nwere ike imetụta obodo.,Disease can affect a community.,government
GOV088,Gọọmenti na-eme mkpọsa ahụike.,The government conducts health campaigns.,government
GOV089,Mkpọsa ahụike na-enye ozi dị mkpa.,Health campaigns provide important information.,government
GOV090,Ndị mmadụ kwesịrị ịgbaso ndụmọdụ ahụike.,People should follow health advice.,government
GOV091,Gọọmenti na-akwado agụmakwụkwọ.,The government supports education.,government
