english,igbo
the company operates in different cities. later,Ụlọ ọrụ ahụ na-arụ ọrụ n'obodo dị iche iche.
the product came from another city.,Ngwaahịa ahụ sitere n'obodo ọzọ.
lack of sleep can affect health. later,Enweghị ụra nwere ike imetụta ahụike.
we import products.,Ha na-ebubata ngwaahịa.
listen. today,Gee ntị.
leaders make plans for the future. now,Ndị isi na-eme atụmatụ maka ọdịnihu.
smoking damages health. now,Ise siga na-emebi ahụike.
i am sad. later,Ana m enwe mwute.
language is an important part of culture.,Asụsụ bụ akụkụ dị mkpa nke omenala.
the students listened to the teacher.,Ụmụ akwụkwọ gere onye nkuzi ntị.
he went for a job interview. now,Ọ gara ajụjụ ọnụ maka ọrụ.
the igbo people respect their ancestors.,Ndị Igbo na-asọpụrụ ndị nna nna ha.
training helps young people.,Ọzụzụ na-enyere ndị ntorobịa aka.
the customer paid with cash. later,Onye ahịa jiri ego kwụọ ụgwọ.
they cooked yam and soup.,Ha siri ji na ofe.
the children sat and listened to the story. later,Ụmụaka nọdụrụ gee akụkọ ahụ ntị.
they gave money to the poor. today,Ha nyere ndị ogbenye ego.
many people speak igbo at home.,Ọtụtụ mmadụ na-asụ Igbo n'ụlọ.
we found a solution to the problem.,Ha chọtara ngwọta maka nsogbu ahụ.
hello.,Ndewo.
grass grows quickly. now,Ahịhịa na-eto ngwa ngwa.
they have faith.,Ha nwere okwukwe.
customer service is important. now,Ọrụ ndị ahịa dị mkpa.
people cook traditional food at celebrations. today,Ndị mmadụ na-esi nri ọdịnala n'emume.
training helps farmers.,Ọzụzụ na-enyere ndị ọrụ ugbo aka.
it is important.,Ọ dị mkpa.
culture connects different generations. tomorrow,Omenala na-ejikọta ọgbọ dị iche iche.
prayer is important to many people.,Ekpere dị mkpa nye ọtụtụ ndị mmadụ.
i need to tell you something.,Ọ dị m mkpa ịgwa gị ihe.
the child received a vaccination. later,Nwa ahụ nwetara ọgwụ mgbochi ọrịa.
the plan is for community development.,Atụmatụ ahụ bụ maka mmepe obodo.
the teacher is in the classroom.,Onye nkuzi nọ na klaasị.
it is important to keep a password secret.,Ọ dị mkpa izobe paswọọdụ.
the igbo people respect visitors.,Ndị Igbo na-akwanyere ndị ọbịa ùgwù.
plants need sunlight.,Osisi chọrọ ìhè anyanwụ.
we transported the product to the shop.,Ha bufere ngwaahịa ahụ n'ụlọ ahịa.
they need money to expand the business. now,Ha chọrọ ego iji gbasaa azụmahịa.
she needs the support of his family.,Ọ chọrọ nkwado nke ezinụlọ ya.
he is learning digital skills.,Ọ na-amụ nkà dijitalụ.
she has stomach pain.,Ọ na-enwe ihe mgbu n'afọ.
religion teaches love.,Okpukpe na-akụzi ịhụnanya.
we have hope.,Enwere m olileanya.
they advertised a new product. tomorrow,Ha kpọsara ngwaahịa ọhụrụ.
people learned about the law.,Ndị mmadụ mụtara banyere iwu ahụ.
people seek advice. now,Ndị mmadụ na-achọ ndụmọdụ.
the book contains many teachings. today,Akwụkwọ ahụ nwere ọtụtụ nkuzi.
