igbo,english,domain,source
Ọrịa,Disease,health,manual
Ịba,Malaria,health,manual
Typhoid,Typhoid Fever,health,manual
Ọrịa Shuga,Diabetes,health,manual
Ọbara Mgbali Elu,Hypertension,health,manual
Ọrịa Obi,Heart Disease,health,manual
Ọrịa Cancer,Cancer,health,manual
Ọrịa Akpịrị,Throat Infection,health,manual
Ọrịa Ntị,Ear Infection,health,manual
Ọrịa Anya,Eye Disease,health,manual
Ọrịa Akpụkpọ Ahụ,Skin Disease,health,manual
COVID-19,COVID-19,health,manual
Ọrịa Nkụchi Ume,Asthma,health,manual
Ọrịa Ume,Pneumonia,health,manual
Tuberculosis,Tuberculosis,health,manual
Ọrịa Akụrụ,Kidney Disease,health,manual
Ọrịa Imeju,Liver Disease,health,manual
Ọrịa Obi Ọjọọ,Heart Failure,health,manual
Mgbu Isi,Headache,health,manual
Ọkụ Ahụ,Fever,health,manual
Ntụrụndụ Ahụ Ike,Recovery,health,manual
Mgbu Afọ,Stomach Pain,health,manual
Ọgbụgbọ,Vomiting,health,manual
Ọsịsa,Diarrhea,health,manual
Nsogbu Ura,Sleep Disorder,health,manual
Nsogbu Nri,Malnutrition,health,manual
Nsogbu Uche,Mental Illness,health,manual
Ịda Mbà N'obi,Depression,health,manual
Nchekasị,Anxiety,health,manual
Ọrịa Na-efe Efe,Infectious Disease,health,manual
