id,igbo,english,domain,source
MON001,Onye ọrụ ugbo na-arụsi ọrụ ike n'ubi.,the farmer works hard.,agriculture,iterative_back_translation_round_2
MON002,Ọka dị n'ubi ahụ toro nke ọma.,the product is on the farm.,agriculture,iterative_back_translation_round_2
MON003,E nwere ọtụtụ osisi n'ugbo anyị.,we can many people depend at home.,agriculture,iterative_back_translation_round_2
MON004,Mmiri ozuzo nyere ihe ọkụkụ aka ito.,we helps crops crops crops crops crops.,agriculture,iterative_back_translation_round_2
MON005,Onye ọrụ ugbo kụrụ akwụkwọ nri n'ubi.,the farmer raises cattle.,agriculture,iterative_back_translation_round_2
MON006,A na-akụ ji mgbe oge ruru.,what is this?,agriculture,iterative_back_translation_round_2
MON007,Ụmụ nwoke na-enyere nna ha aka n'ubi.,they helps the students study at home.,agriculture,iterative_back_translation_round_2
MON008,Ehi na-ata ahịhịa n'ala ubi.,the farmer returned home.,agriculture,iterative_back_translation_round_2
MON009,Ọrụ ugbo chọrọ ndidi na ike.,farming requires patience.,agriculture,iterative_back_translation_round_2
MON010,A na-egbute ihe ubi mgbe ha tozuru.,they sold,agriculture,iterative_back_translation_round_2
MON011,Ọtụtụ ndị mmadụ na-adabere n'ọrụ ugbo.,many people depend on farming.,agriculture,iterative_back_translation_round_2
MON012,Onye ọrụ ugbo zụtara mkpụrụ ọhụrụ.,the farmer bought a tractor.,agriculture,iterative_back_translation_round_2
MON013,A na-echekwa ọka n'ebe kpọrọ nkụ.,come here.,agriculture,iterative_back_translation_round_2
MON014,Ọkụ nwere ike imebi ihe ọkụkụ.,can damage crops.,agriculture,iterative_back_translation_round_2
MON015,Nne m na-akụ akwụkwọ nri n'azụ ụlọ.,i am going home.,agriculture,iterative_back_translation_round_2
MON016,Ewu na ọkụkọ bụ anụ ụlọ ndị a na-ahụkarị.,this is a commonly.,agriculture,iterative_back_translation_round_2
MON017,Ọrụ ugbo bụ isi iyi nri maka ọtụtụ ezinụlọ.,the family is for family.,agriculture,iterative_back_translation_round_2
MON018,A na-eji mmiri agba ihe ọkụkụ mmiri n'oge ọkọchị.,water is important to use of the crops.,agriculture,iterative_back_translation_round_2
MON019,Onye ọrụ ugbo gara ahịa ree ihe ubi ya.,the farmer went to the market.,agriculture,iterative_back_translation_round_2
MON020,Ala ọma na-enyere ihe ọkụkụ aka ito ngwa ngwa.,sunlight helps crops grow.,agriculture,iterative_back_translation_round_2
MON021,Onye ahịa ahụ meghere ụlọ ahịa ya n'ụtụtụ.,the customer paid on the customer ' s at the morning.,business,iterative_back_translation_round_2
MON022,Ọtụtụ ndị mmadụ na-azụ ahịa n'ahịa a.,many people depend on traditional food at the market.,business,iterative_back_translation_round_2
MON023,Ọnụahịa ngwaahịa ahụ gbagoro n'izu a.,the product arrived on time.,business,iterative_back_translation_round_2
MON024,Onye ahịa chọrọ ịmata ọnụ ahịa ihe ahụ.,the customer paid to the product.,business,iterative_back_translation_round_2
MON025,Ụlọ ọrụ ahụ nwere ọtụtụ ndị ọrụ.,the company has many company has many classrooms.,business,iterative_back_translation_round_2
MON026,Ha na-eme atụmatụ ịmalite azụmahịa ọhụrụ.,they business requires new business.,business,iterative_back_translation_round_2
MON027,Onye ahịa ahụ rere ngwaahịa ya niile.,the customer paid for the product.,business,iterative_back_translation_round_2
MON028,Azụmahịa ọma chọrọ atụmatụ siri ike.,business requires good planning.,business,iterative_back_translation_round_2
MON029,Ọ na-ere uwe n'ahịa obodo.,he has a person ' s in the market.,business,iterative_back_translation_round_2
MON030,Onye ahịa ahụ nwetara uru n'azụmahịa ya.,the customer paid on the market.,business,iterative_back_translation_round_2
MON031,Ụlọ ahịa ahụ na-emeghe kwa ụbọchị.,the price of the product.,business,iterative_back_translation_round_2
MON032,Ọtụtụ ndị mmadụ na-eji ekwentị eme azụmahịa.,many people use jobs for the igbo people.,business,iterative_back_translation_round_2
MON033,Onye ahịa ahụ nyere onye ahịa akwụkwọ nnata.,the customer gave the market.,business,iterative_back_translation_round_2
MON034,Ọ dị mkpa ịkwado ndị ahịa nke ọma.,it is important to avoid too much stress.,business,iterative_back_translation_round_2
MON035,Ụlọ ọrụ ahụ chọrọ ịgbasa azụmahịa ya.,the business is good planning.,business,iterative_back_translation_round_2
MON036,Ọtụtụ ụlọ ọrụ na-eji teknụzụ arụ ọrụ.,many people work.,business,iterative_back_translation_round_2
MON037,Onye ahịa ahụ debere ego n'ụlọ akụ.,the customer paid on the bank.,business,iterative_back_translation_round_2
MON038,Ahịa ngwaahịa ahụ dị elu taa.,the price of the product is high.,business,iterative_back_translation_round_2
MON039,Ha nwere nzukọ gbasara azụmahịa ha.,they want to improve their culture.,business,iterative_back_translation_round_2
