igbo
Gọọmenti malitere ọrụ ọhụrụ.
A ga-arụ ụzọ ọhụrụ.
Ndị omeiwu zutere taa.
A kwadoro iwu ọhụrụ.
Ndị ọchịchị gara mpaghara ahụ.
A na-arụ ọrụ mmepe.
A ga-ewu ụlọ ọgwụ ọhụrụ.
Ndị mmadụ chọrọ mgbanwe.
A kwadoro mmefu ego.
A ga-arụ ọrụ mmiri.
Ndị ọrụ gọọmenti nọ n'ọfịs.
A malitere ọrụ ọkụ eletrik.
A na-atụ anya mmepe.
Ndị obodo nwere olileanya.
A ga-ewu ụlọ akwụkwọ ọhụrụ.
Ọtụtụ ọrụ dị n'ihu.
Ndị isi obodo zutere.
A ga-eme ntuli aka.
Ndị mmadụ gara votu.
Ndị ọchịchị kwupụtara atụmatụ ọhụrụ.
A na-arụ ọrụ nchekwa.
Ndị uwe ojii nọ n'ọrụ.
A ga-eme mgbanwe iwu.
Ndị mmadụ nabatara atụmatụ ahụ.
A ga-enye enyemaka.
Ọrụ owuwu amalitela.
Ndị mmadụ chọrọ ọrụ.
E nwere ọtụtụ atụmatụ mmepe.
A ga-eme nyocha.
Mmepe obodo dị mkpa.
