igbo,english,domain,source
Anom na klas online,I am attending an online class,Education,Manual
Ebudaram ihe omumu ahu,I downloaded the course material,Education,Manual
Aga m elele vidio nkuzi,I will watch the lecture video,Education,Manual
Anyi jiri Zoom mee klas,We used Zoom for the class,Education,Manual
Onye nkuzi zipuru ihe omumu,The teacher sent the learning material,Education,Manual
Aga m ebugo assignment m,I will upload my assignment,Education,Manual
Anyi nwere ule online,We have an online test,Education,Manual
M natara ozi email sitere n'aka onye nkuzi,I received an email from the lecturer,Education,Manual
Ikpo okwu mmuta a bara uru,This learning platform is useful,Education,Manual
Anyi sonyeere webinar taa,We attended a webinar today,Education,Manual
Aga m abanye na portal ulo akwukwo,I will log into the school portal,Education,Manual
Aga m ebudata akwukwo dijital,I will download the digital textbook,Education,Manual
Enwere nsogbu internet,There is an internet problem,Education,Manual
Anyi kparita uka na forum mmuta,We discussed in the learning forum,Education,Manual
Nkuzi a di na sistemu online,This lesson is available online,Education,Manual

Anyi jiri Google Classroom muta ihe,We used Google Classroom to learn,Education,Manual
Nkuzi a di na portal,This lesson is on the portal,Education,Manual
Aga m ebudata akwukwo PDF,I will download the PDF document,Education,Manual
Vidiyo a bara uru nke ukwuu,This video is very useful,Education,Manual
Anyi jiri email nata ozi,We received information through email,Education,Manual
Onye nkuzi bulitere ihe omumu,The instructor uploaded learning materials,Education,Manual
Anyi gara webinar taa,We attended a webinar today,Education,Manual
Aga m lelee vidiyo ahu ozo,I will watch the video again,Education,Manual
Anyi mere quiz online,We completed an online quiz,Education,Manual
Portal ulo akwukwo na aru oru nke oma,The school portal is functioning properly,Education,Manual

Mmụta N'Ịntanet,Online Learning,education,manual
Nkuzi N'Ịntanet,Online Teaching,education,manual
Ụlọ Akwụkwọ Dijitalụ,Digital Classroom,education,manual
Nkuzi N'ebe Dị Iche,Ict Based Learning,education,manual
Mmụta Site Na Ekwentị,Mobile Learning,education,manual
Mmụta Site Na Kọmputa,Computer Based Learning,education,manual
Nyocha N'Ịntanet,Online Assessment,education,manual
Nnwale N'Ịntanet,Online Examination,education,manual
Ọbá Akwụkwọ Dijitalụ,Digital Library,education,manual
Ndekọ Mmụta,Learning Record,education,manual
Ọmụmụ N'onwe Onye,Self Learning,education,manual
Nkuzi Vidiyo,Video Lecture,education,manual
Nkuzi Ọnụ,Audio Lecture,education,manual
Nkuzi Dị Ndụ,Live Class,education,manual
Nnyefe Ihe Omụmụ,Course Delivery,education,manual
Nlekọta Mmụta,Learning Management,education,manual
Ndebanye Akwụkwọ,Course Registration,education,manual
Ihe Omụmụ,Course Material,education,manual
Nkwukọrịta Nkuzi,Educational Communication,education,manual
Ntụle Mmụta,Learning Evaluation,education,manual
