english,igbo
He works in an office.,Ọ na-arụ ọrụ n'ụlọ ọrụ.
The company sells products.,Ụlọ ọrụ ahụ na-ere ngwaahịa.
The entrepreneur started a new business.,Onye ọchụnta ego malitere azụmahịa ọhụrụ.
The business is doing well.,Azụmahịa ahụ na-aga nke ọma.
Many people buy this product.,Ọtụtụ mmadụ na-azụ ngwaahịa a.
The customer bought the product.,Onye ahịa zụtara ngwaahịa ahụ.
The shop opened in the morning.,Ụlọ ahịa ahụ meghere n'ụtụtụ.
The shop closed at night.,Ụlọ ahịa ahụ mechiri n'abalị.
The trader sells clothes.,Onye na-ere ahịa na-ere uwe.
They sell food at the market.,Ha na-ere nri n'ahịa.
The price of the product is high.,Ọnụ ahịa ngwaahịa ahụ dị elu.
The price of the product is low.,Ọnụ ahịa ngwaahịa ahụ dị ala.
The price changed.,Ọnụ ahịa ahụ gbanwere.
Many people want this product.,Ọtụtụ ndị mmadụ chọrọ ngwaahịa a.
This product is good.,Ngwaahịa a dị mma.
The product is not good.,Ngwaahịa ahụ adịghị mma.
The customer has a question.,Onye ahịa nwere ajụjụ.
The employee answered the customer's question.,Onye ọrụ zara ajụjụ onye ahịa.
The customer called the company.,Onye ahịa kpọrọ ụlọ ọrụ ahụ.
They helped the customer.,Ha nyere onye ahịa aka.
Customer service is important.,Ọrụ ndị ahịa dị mkpa.
The employee works hard.,Onye ọrụ na-arụsi ọrụ ike.
The employees arrived on time.,Ndị ọrụ bịara n'oge.
The manager has a meeting.,Onye njikwa nwere nzukọ.
The meeting started at ten o'clock.,Nzukọ ahụ malitere n'elekere iri.
They discussed the business.,Ha kwurịtara banyere azụmahịa.
The manager gave a new instruction.,Onye njikwa nyere iwu ọhụrụ.
The company has many employees.,Ụlọ ọrụ ahụ nwere ọtụtụ ndị ọrụ.
The company is looking for new employees.,Ụlọ ọrụ ahụ na-achọ ndị ọrụ ọhụrụ.
He applied for a job.,Ọ tinyere akwụkwọ maka ọrụ.
He went for a job interview.,Ọ gara ajụjụ ọnụ maka ọrụ.
The company hired a new employee.,Ụlọ ọrụ ahụ goro onye ọrụ ọhụrụ.
The employee got the job.,Onye ọrụ ahụ nwetara ọrụ ahụ.
He works full time.,Ọ na-arụ ọrụ oge niile.
He works part time.,Ọ na-arụ ọrụ nwa oge.
The employee received his salary.,Onye ọrụ nwetara ụgwọ ọnwa ya.
His salary is good.,Ụgwọ ọnwa ya dị mma.
This job requires experience.,Ọrụ a chọrọ ahụmahụ.
This job requires skills.,Ọrụ a chọrọ nkà.
He learned a new skill.,Ọ mụtara nkà ọhụrụ.
Business requires good planning.,Azụmahịa chọrọ ezigbo atụmatụ.
The entrepreneur made a plan.,Onye ọchụnta ego mere atụmatụ.
They discussed the business plan.,Ha tụlere atụmatụ azụmahịa ahụ.
The plan is good.,Atụmatụ ahụ dị mma.
The business has a major challenge.,Azụmahịa ahụ nwere nnukwu ihe ịma aka.
They found a solution to the problem.,Ha chọtara ngwọta maka nsogbu ahụ.
The company conducts market research.,Ụlọ ọrụ ahụ na-eme nyocha ahịa.
The market research was helpful.,Nnyocha ahịa nyere aka.
They want to know what customers want.,Ha chọrọ ịmata ihe ndị ahịa chọrọ.
The customer gave his opinion.,Onye ahịa nyere echiche ya.
The company advertises.,Ụlọ ọrụ ahụ na-eme mgbasa ozi.
The advertisement attracted many customers.,Mgbasa ozi ahụ dọtara ọtụtụ ndị ahịa.
They advertised a new product.,Ha kpọsara ngwaahịa ọhụrụ.
The new product is in the market.,Ngwaahịa ọhụrụ ahụ dị n'ahịa.
The company promoted its product.,Ụlọ ọrụ ahụ kwalitere ngwaahịa ya.
Many people saw the advertisement.,Ọtụtụ mmadụ hụrụ mgbasa ozi ahụ.
They sold many products.,Ha rere ọtụtụ ngwaahịa.
The company made a profit.,Ụlọ ọrụ ahụ nwetara uru.
The business made a large profit.,Azụmahịa ahụ nwetara nnukwu uru.
The company lost money.,Ụlọ ọrụ ahụ tụfuru ego.
They want to increase profit.,Ha chọrọ ịbawanye uru.
The cost of the business increased.,Ọnụ ego azụmahịa ahụ mụbara.
The company pays expenses.,Ụlọ ọrụ ahụ na-akwụ ụgwọ.
They paid the rent.,Ha kwụrụ ụgwọ ụlọ.
The customer paid for the product.,Onye ahịa kwụrụ ụgwọ ngwaahịa ahụ.
He paid through the bank.,Ọ kwụrụ ụgwọ site na ụlọ akụ.
The customer paid with cash.,Onye ahịa jiri ego kwụọ ụgwọ.
The company has a bank account.,Ụlọ ọrụ ahụ nwere akaụntụ ụlọ akụ.
They deposited money in the bank.,Ha debere ego n'ụlọ akụ.
He withdrew money from the bank.,Ọ wepụtara ego n'ụlọ akụ.
Business requires money.,Azụmahịa chọrọ ego.
The entrepreneur borrowed money.,Onye ọchụnta ego gbaziri ego.
He paid the debt on time.,Ọ kwụrụ ụgwọ ahụ n'oge.
They need money to expand the business.,Ha chọrọ ego iji gbasaa azụmahịa.
The company opened a new branch.,Ụlọ ọrụ ahụ mepere alaka ọhụrụ.
The branch is in another city.,Alaka ahụ dị n'obodo ọzọ.
They want to expand their business.,Ha chọrọ ịgbasa azụmahịa ha.
The business grew quickly.,Azụmahịa ahụ toro ngwa ngwa.
The company operates in different cities.,Ụlọ ọrụ ahụ na-arụ ọrụ n'obodo dị iche iche.
