igbo,english,domain,source
Kedu aha gị?,What is your name?,general,manual
Aha m bụ Chinedu,My name is Chinedu,general,manual
Ebee ka ị si?,Where are you from?,general,manual
Abụ m onye Enugu,I am from Enugu,general,manual
Kedu ebe ị na-aga?,Where are you going?,general,manual
Ana m aga ahịa,I am going to the market,general,manual
Ị riela nri?,Have you eaten?,general,manual
Ee eriela m,Yes I have eaten,general,manual
Mba eribeghị m,No I have not eaten,general,manual
Kedu ihe ị chọrọ?,What do you want?,general,manual
Achọrọ m mmiri,I want water,general,manual
Achọrọ m nri,I want food,general,manual
Enwere m agụụ,I am hungry,general,manual
Enwere m akpịrị ịkpọ nkụ,I am thirsty,general,manual
Biko nyere m aka,Please help me,general,manual
Enweghị nsogbu,No problem,general,manual
Kedu oge ọ bụ?,What time is it?,general,manual
Ọ bụ elekere atọ,It is three o'clock,general,manual
Anyi ga-ahụ echi,We will meet tomorrow,general,manual
Ka ọ dị ugbu a?,How is everything now?,general,manual
