igbo
A malitere ọrụ ọhụrụ n'obodo ahụ.
Ndị mmadụ nwere obi ụtọ.
A ga-ewu ahịa ọhụrụ.
Ọtụtụ ndị sonyere n'emume ahụ.
Nzukọ ahụ gara nke ọma.
Ndị isi obodo kwuru okwu.
A malitere ọrụ ugbo ọhụrụ.
E nyere ndị ọrụ ụgwọ ha.
A ga-eme nyocha n'izu ọzọ.
A malitere ọrụ mmiri ọhụrụ.
Ndị mmadụ natara enyemaka.
A ga-eme mmezi ụzọ.
Ndị ọchịchị kwadoro atụmatụ ahụ.
A na-arụ ọrụ n'ụlọ akwụkwọ.
A ga-ewu ụlọ ọhụrụ.
Ọtụtụ mmadụ gara nzukọ ahụ.
A malitere ọrụ mmepe obodo.
A ga-eme atụmatụ ọhụrụ.
Ndị obodo kwadoro ọrụ ahụ.
A na-atụ anya nsonaazụ ọma.
Ọtụtụ ụlọ ahịa mepere.
A ga-ewu ebe egwuregwu.
Ndị mmadụ nwere olileanya.
Ọrụ ahụ na-aga nke ọma.
A ga-arụ ọrụ ọzọ n'afọ ọzọ.
Ndị mmadụ nabatara mgbanwe ahụ.
A na-eme atụmatụ mmepe ọhụrụ.
Ndị isi obodo gara nyocha.
A ga-eme emume pụrụ iche.
Ọtụtụ mmadụ sonyeere.
